n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,ptheta = 0,0.688491,1.477788,80.207533,81.895670,-0.069555,0.000000,0.017264,-1.208950,-0.015149,2.28e-04
2,beta = 0,2.077926,1.269487,73.961361,134.078629,-0.226135,-0.223817,0.081862,0.000245,-0.015693,7.72e-04
3,collision,3.062962,1.000000,66.215105,165.729698,-0.441246,-0.155989,0.027401,0.888547,-0.014922,6.81e-13
4,pphi = 0,3.314238,1.076796,64.933291,166.997806,0.385727,-0.107572,0.000000,0.962626,-0.015222,3.00e-04
5,ptheta = 0,3.978418,1.272960,63.670977,154.783817,0.267484,0.000000,-0.062785,0.799656,-0.015527,6.06e-04
6,beta = 0,5.023865,1.450800,64.329690,110.461374,0.125190,0.023301,-0.094663,0.000001,-0.015463,5.42e-04
7,ptheta = 0,5.328082,1.484308,64.438421,92.956379,0.082372,0.000000,-0.091340,-0.309848,-0.015489,5.67e-04
8,pr = 0,5.981652,1.517590,63.405395,53.756544,0.000000,-0.103619,-0.059476,-0.953158,-0.014926,4.33e-06
9,pphi = 0,7.076804,1.488114,58.583790,35.304145,-0.050901,-0.256462,0.000000,-1.092293,-0.015228,3.07e-04
10,beta = 0,8.666819,1.339001,43.484504,68.877216,-0.183258,-0.450912,0.066486,0.000370,-0.015901,9.79e-04
11,pphi = 0,9.422748,1.099944,28.517209,92.426778,-0.373401,-0.397257,0.000000,0.850163,-0.015558,6.36e-04
12,collision,9.797272,1.000000,23.902402,89.340945,-0.459541,-0.331592,-0.050211,0.924047,-0.014922,6.95e-13
13,beta = 0,10.880400,1.255686,14.082462,21.232409,0.092124,-0.195857,-0.161963,0.000013,-0.017011,2.09e-03
14,phi = 0,11.091201,1.267014,12.396177,0.000000,0.010041,-0.211676,-0.155737,-0.325812,-0.017279,2.36e-03
15,pr = 0,11.091201,1.267163,12.169174,-2.683279,0.000000,-0.214884,-0.154105,-0.366632,-0.017247,2.33e-03
16,theta = 0,12.076024,1.136489,0.000000,-58.999858,-0.230376,-0.432252,-0.017352,-1.029742,-0.016585,1.66e-03
17,pphi = 0,12.252235,1.115687,-1.747961,-59.636862,-0.247007,-0.458182,-0.000000,-0.995095,-0.015796,8.74e-04
18,collision,12.677811,1.000000,-11.986343,-51.002073,-0.368699,-0.568847,0.078038,-0.575195,-0.014922,2.01e-12
19,beta = 0,13.099328,1.093965,-21.829593,-33.164692,0.223855,-0.589485,0.103991,-0.000165,-0.016736,1.81e-03
20,phi = 0,13.948711,1.183224,-39.395954,0.000000,0.043429,-0.410591,0.024933,1.077239,-0.015380,4.59e-04
21,phi = 0,14.135341,1.193050,-44.338130,0.000000,0.016044,-0.310711,-0.025253,1.228316,-0.015244,3.22e-04
22,pphi = 0,14.135341,1.189308,-42.040589,1.302458,0.028706,-0.360965,0.000000,1.180034,-0.015015,9.36e-05
23,pr = 0,14.351847,1.194482,-46.495822,-4.512438,0.000000,-0.254232,-0.053129,1.217616,-0.015874,9.53e-04
24,ptheta = 0,15.221987,1.124350,-51.077096,-62.139329,-0.207594,0.000000,-0.158485,0.361309,-0.014972,5.01e-05
25,beta = 0,15.534300,1.066665,-50.829010,-82.366511,-0.317355,0.038539,-0.164615,-0.000005,-0.017048,2.13e-03
26,collision,15.812350,1.000000,-50.366336,-99.598915,-0.431914,0.054360,-0.158985,-0.316154,-0.014922,1.55e-12
27,ptheta = 0,16.384874,1.142676,-49.573778,-134.514208,0.231242,0.000000,-0.105245,-0.951719,-0.015362,4.40e-04
28,pphi = 0,17.241043,1.281692,-52.261058,-158.227855,0.130900,-0.172447,0.000000,-1.275900,-0.015910,9.88e-04
29,pr = 0,18.526808,1.381384,-63.179694,-115.678133,0.000000,-0.298840,0.089435,-0.136423,-0.016106,1.18e-03
30,beta = 0,18.804727,1.381545,-64.160843,-110.079457,-0.014921,-0.295300,0.090742,-0.000045,-0.015068,1.46e-04
31,ptheta = 0,20.274838,1.212234,-72.937283,-58.829572,-0.177379,0.000000,-0.002802,1.266477,-0.015676,7.55e-04
32,pphi = 0,20.274838,1.217190,-72.952190,-58.710311,-0.175202,-0.007844,0.000000,1.269232,-0.015418,4.97e-04
33,collision,21.256028,1.000000,-66.535947,-86.002532,-0.343326,0.306118,-0.105238,0.516113,-0.014922,1.85e-12
34,beta = 0,21.584190,1.078249,-61.494650,-104.158142,0.232322,0.371473,-0.117765,-0.000494,-0.016817,1.90e-03
35,pphi = 0,22.669868,1.188876,-45.497892,-150.034784,0.029626,0.222440,0.000000,-1.353877,-0.015633,7.11e-04
36,pr = 0,23.293847,1.196290,-42.511610,-141.505305,0.000000,0.109675,0.068157,-1.297988,-0.015109,1.88e-04
37,ptheta = 0,23.723315,1.169280,-41.438112,-106.045745,-0.114900,0.000000,0.145430,-0.711936,-0.017009,2.09e-03
38,beta = 0,24.190346,1.082729,-41.674199,-65.667090,-0.310785,-0.007634,0.173272,-0.000000,-0.016274,1.35e-03
39,ptheta = 0,24.190346,1.065852,-41.681203,-60.653627,-0.342107,0.000000,0.172468,0.087715,-0.016945,2.02e-03
40,collision,24.448584,1.000000,-41.552340,-44.163231,-0.457626,0.037705,0.163636,0.371597,-0.014922,5.34e-13
41,phi = 0,25.075190,1.189330,-37.672684,0.000000,0.206444,0.233813,0.079417,1.025947,-0.014961,3.96e-05
42,pphi = 0,25.671169,1.287542,-30.839415,13.039306,0.135088,0.385018,0.000000,1.055932,-0.015072,1.50e-04
43,phi = 0,26.409191,1.353273,-21.356188,0.000000,0.065232,0.504623,-0.063220,0.565807,-0.016110,1.19e-03
44,beta = 0,26.838441,1.367962,-13.556152,-20.434326,-0.007197,0.544395,-0.080508,-0.000068,-0.015883,9.61e-04
45,pr = 0,26.838441,1.367869,-14.296322,-18.377839,0.000000,0.542708,-0.080107,0.055495,-0.016239,1.32e-03
46,theta = 0,27.748685,1.310577,0.000000,-50.019163,-0.124906,0.477530,-0.030193,-0.872999,-0.016405,1.48e-03
47,pphi = 0,27.982621,1.277082,3.757961,-52.138973,-0.151690,0.431702,0.000000,-1.008415,-0.016555,1.63e-03
48,phi = 0,29.069839,1.000269,17.026913,0.000000,-0.477680,0.144594,0.173648,-0.449118,-0.014922,6.89e-09
49,collision,29.070320,1.000000,17.031577,0.056065,-0.478159,0.144436,0.173727,-0.448264,-0.014922,6.39e-13
50,beta = 0,29.387179,1.098191,18.647077,28.224375,0.282024,0.102574,0.190200,0.000004,-0.016826,1.90e-03
51,pr = 0,30.006548,1.173575,21.920349,88.824772,0.000000,0.167716,0.129544,0.969149,-0.016337,1.42e-03
52,pphi = 0,30.796368,1.130678,29.700315,115.757434,-0.102459,0.355352,0.000000,1.224157,-0.016130,1.21e-03
