n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,ptheta = 0,0.689183,1.474353,80.252855,82.573013,-0.071170,0.000000,0.019674,-1.199376,-0.015201,4.43e-04
2,beta = 0,2.084853,1.268169,74.270361,134.891166,-0.227030,-0.218619,0.082630,0.000227,-0.015509,7.51e-04
3,collision,3.071136,1.000000,66.764108,166.794338,-0.441643,-0.151013,0.029045,0.884575,-0.014759,7.03e-13
4,pphi = 0,3.336657,1.082358,65.460932,168.259448,0.382524,-0.099143,0.000000,0.963382,-0.015056,2.98e-04
5,ptheta = 0,4.009304,1.259286,64.378039,158.839728,0.277883,0.000000,-0.056640,0.842438,-0.014760,1.26e-06
6,beta = 0,5.066769,1.457072,65.271206,112.622644,0.126993,0.031177,-0.092843,0.000001,-0.015142,3.83e-04
7,ptheta = 0,5.368826,1.497978,65.449528,91.007446,0.075491,0.000000,-0.087588,-0.384459,-0.015421,6.62e-04
8,pr = 0,6.377404,1.527996,64.355588,54.072867,0.000000,-0.106056,-0.054080,-0.985195,-0.015238,4.80e-04
9,pphi = 0,7.134492,1.504019,60.014585,37.962190,-0.045103,-0.246682,0.000000,-1.098902,-0.014985,2.27e-04
10,beta = 0,8.774275,1.361041,45.249093,72.037029,-0.172888,-0.440499,0.065108,0.000403,-0.015734,9.75e-04
11,pphi = 0,9.572227,1.124256,30.511747,96.122165,-0.353797,-0.388860,0.000000,0.858567,-0.015283,5.24e-04
12,collision,10.057229,1.000000,24.996394,91.164934,-0.458595,-0.307393,-0.062179,0.925834,-0.014759,2.48e-13
13,beta = 0,10.945346,1.241635,16.326645,24.659263,0.097999,-0.185198,-0.165992,0.000003,-0.015207,4.48e-04
14,phi = 0,11.356306,1.253763,14.433974,0.000000,0.000869,-0.207099,-0.157291,-0.379911,-0.016026,1.27e-03
15,pr = 0,11.356306,1.253711,14.413369,-0.231485,0.000000,-0.207466,-0.157097,-0.383403,-0.016096,1.34e-03
16,pphi = 0,12.279790,1.104489,0.639300,-56.773313,-0.247158,-0.459630,0.000000,-1.007618,-0.014941,1.82e-04
17,theta = 0,12.450763,1.097302,0.000000,-56.562770,-0.253539,-0.468287,0.005808,-0.987207,-0.015645,8.86e-04
18,collision,12.857953,1.000000,-8.831958,-49.134738,-0.357232,-0.568002,0.074661,-0.625882,-0.014759,1.88e-12
19,beta = 0,13.219853,1.097281,-19.612761,-29.717661,0.202997,-0.598821,0.106271,-0.000046,-0.015427,6.68e-04
20,phi = 0,13.862814,1.164359,-34.372242,0.000000,0.044066,-0.469111,0.049317,0.929440,-0.015913,1.15e-03
21,pphi = 0,14.238087,1.172340,-39.989471,4.438100,0.009824,-0.372209,0.000000,1.172520,-0.016211,1.45e-03
22,pr = 0,14.430877,1.173115,-41.795662,4.001583,0.000000,-0.334996,-0.019081,1.219655,-0.015402,6.44e-04
23,phi = 0,14.658341,1.171426,-44.293003,0.000000,-0.016879,-0.273675,-0.050130,1.226907,-0.015681,9.23e-04
24,ptheta = 0,15.435263,1.080775,-49.420805,-58.688207,-0.247674,0.000000,-0.166473,0.366668,-0.016427,1.67e-03
25,beta = 0,15.777372,1.018342,-49.182449,-79.248872,-0.371443,0.044998,-0.175311,-0.000000,-0.014769,1.05e-05
26,collision,15.809854,1.000000,-49.053837,-83.990299,-0.405700,0.051567,-0.174808,-0.086963,-0.014759,2.24e-12
27,ptheta = 0,16.569391,1.145618,-47.810436,-135.171965,0.135502,0.000000,-0.113532,-1.020656,-0.015269,5.11e-04
28,pphi = 0,17.421249,1.210127,-50.733827,-160.253632,0.052915,-0.189997,0.000000,-1.362564,-0.015125,3.66e-04
29,pr = 0,17.917062,1.229233,-57.005381,-145.537798,0.000000,-0.315743,0.074940,-0.888946,-0.016669,1.91e-03
30,beta = 0,18.500646,1.197805,-64.985169,-111.990183,-0.114873,-0.337891,0.107215,-0.000478,-0.016350,1.59e-03
31,collision,19.573186,1.000000,-74.651280,-69.626176,-0.320539,-0.077477,0.030599,1.156452,-0.014759,1.66e-12
32,ptheta = 0,19.863088,1.051535,-74.989715,-68.037880,0.289298,0.000000,0.004029,1.199878,-0.015019,2.60e-04
33,pphi = 0,19.863088,1.059602,-74.957855,-68.098052,0.284891,0.011717,0.000000,1.197346,-0.015395,6.36e-04
34,beta = 0,21.237583,1.298705,-65.341672,-112.796035,0.087191,0.319912,-0.094285,-0.000183,-0.015286,5.28e-04
35,pr = 0,21.727544,1.322460,-58.926330,-142.504212,0.000000,0.310070,-0.072431,-0.766106,-0.015936,1.18e-03
36,pphi = 0,22.519603,1.295400,-52.159766,-160.153719,-0.058731,0.190486,0.000000,-1.312943,-0.015992,1.23e-03
37,ptheta = 0,23.500805,1.196963,-48.861125,-126.573228,-0.168646,0.000000,0.117233,-0.836472,-0.015793,1.03e-03
38,beta = 0,24.109809,1.042247,-49.414296,-79.684478,-0.408500,-0.015642,0.156637,-0.000000,-0.015558,8.00e-04
39,ptheta = 0,24.109809,1.003663,-49.467231,-71.611950,-0.468812,0.000000,0.155504,0.142630,-0.014888,1.30e-04
40,collision,24.334382,1.000000,-49.468908,-70.892131,-0.474545,0.001677,0.155284,0.155249,-0.014759,1.68e-12
41,pphi = 0,25.957563,1.323783,-38.551167,-1.571469,0.106972,0.379013,0.000000,1.024585,-0.016127,1.37e-03
42,pr = 0,26.944123,1.383724,-24.097252,-25.908700,0.000000,0.533113,-0.071454,0.188396,-0.015858,1.10e-03
43,beta = 0,27.163398,1.382185,-21.493077,-32.636444,-0.023311,0.542155,-0.073538,-0.000089,-0.015473,7.14e-04
44,pphi = 0,28.063284,1.281403,-4.343807,-61.663943,-0.161376,0.450834,0.000000,-0.962464,-0.015432,6.73e-04
45,theta = 0,28.493158,1.230753,0.000000,-58.535630,-0.197229,0.391333,0.040131,-1.021639,-0.015275,5.17e-04
46,collision,29.266870,1.000000,9.986538,-12.384160,-0.482700,0.186531,0.169659,-0.478258,-0.014759,1.25e-12
47,phi = 0,29.399566,1.052368,11.119899,0.000000,0.386662,0.160948,0.183436,-0.292041,-0.015356,5.97e-04
48,beta = 0,29.646094,1.107791,12.393442,18.663762,0.268085,0.144736,0.189638,0.000005,-0.016637,1.88e-03
49,pr = 0,30.298224,1.176043,16.498033,75.923138,0.000000,0.205804,0.136663,0.890144,-0.016307,1.55e-03
50,pphi = 0,30.897310,1.122812,25.993328,106.362951,-0.121940,0.400893,0.000000,1.163585,-0.015109,3.51e-04
51,collision,31.797264,1.000000,41.968664,83.435959,-0.293629,0.531870,-0.109733,0.301131,-0.014759,2.09e-12
52,beta = 0,31.962572,1.037775,46.243975,73.829348,0.225629,0.519753,-0.114974,0.000209,-0.015724,9.65e-04
53,pphi = 0,33.126217,1.130866,64.655753,33.715185,0.022210,0.194932,0.000000,-1.352477,-0.015969,1.21e-03
54,pr = 0,33.581069,1.135504,66.907558,39.157080,-0.000000,0.065697,0.052082,-1.349039,-0.015032,2.74e-04
55,ptheta = 0,33.581069,1.133708,67.163028,46.434263,-0.018906,0.000000,0.077489,-1.232609,-0.015524,7.66e-04
56,beta = 0,34.488116,1.040203,61.795460,104.804795,-0.259016,-0.240974,0.150745,0.000268,-0.017369,2.61e-03
57,collision,34.775280,1.000000,59.886884,117.016141,-0.332987,-0.255336,0.147689,0.285622,-0.014759,3.32e-12
58,ptheta = 0,36.000824,1.193785,51.368563,164.760542,0.095604,0.000000,-0.015768,1.420008,-0.015861,1.10e-03
59,pphi = 0,36.000824,1.183051,51.437036,165.219134,0.101201,-0.028799,0.000000,1.425714,-0.015999,1.24e-03
60,pr = 0,36.928475,1.242637,54.283382,131.642481,0.000000,0.164533,-0.115150,0.742540,-0.015943,1.18e-03
61,beta = 0,37.323004,1.214409,57.484961,95.599793,-0.123871,0.169122,-0.136737,0.000080,-0.016291,1.53e-03
62,ptheta = 0,38.043840,1.057302,60.417426,48.342053,-0.336135,0.000000,-0.086503,-0.932851,-0.016586,1.83e-03
63,collision,38.322813,1.000000,60.179098,41.271894,-0.386760,-0.070357,-0.059900,-1.047298,-0.014759,6.14e-12
64,pphi = 0,38.732048,1.124709,57.403779,35.488292,0.301815,-0.221083,0.000000,-1.046130,-0.015393,6.35e-04
65,beta = 0,39.974626,1.357059,43.231939,68.424494,0.121406,-0.444441,0.078238,0.000286,-0.015773,1.01e-03
66,pr = 0,40.986259,1.413974,28.978015,104.021583,0.000000,-0.386437,0.015672,1.039622,-0.015642,8.83e-04
67,pphi = 0,41.269472,1.413096,27.197299,104.693972,-0.009848,-0.364577,0.000000,1.101077,-0.015773,1.01e-03
68,beta = 0,42.928421,1.225530,13.729904,20.695521,-0.309645,-0.178606,-0.143141,0.000012,-0.016222,1.46e-03
69,phi = 0,43.205711,1.133242,11.788993,0.000000,-0.429582,-0.198524,-0.135506,-0.309736,-0.015275,5.17e-04
70,collision,43.522328,1.000000,8.851049,-18.553446,-0.597823,-0.253545,-0.104883,-0.556002,-0.014759,6.58e-12
