n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,beta = 0,1.965484,1.291911,71.700245,128.232375,-0.161035,-0.269065,0.079543,0.000242,-0.021696,6.02e-04
2,pphi = 0,2.956845,1.015592,60.942083,161.330881,-0.386665,-0.163540,0.000000,1.019368,-0.021210,1.16e-04
3,collision,3.034870,1.000000,60.584325,161.281329,-0.398713,-0.151190,-0.007207,1.032026,-0.021094,6.13e-13
4,ptheta = 0,3.930125,1.227861,58.343893,133.775583,0.210905,-0.000000,-0.103551,0.635144,-0.022089,9.95e-04
5,beta = 0,4.387762,1.306721,58.479511,97.668888,0.082528,0.000018,-0.122650,0.000000,-0.022150,1.06e-03
6,ptheta = 0,4.387762,1.306753,58.479568,97.646025,0.082452,0.000000,-0.122653,-0.000401,-0.022145,1.05e-03
7,pr = 0,4.892973,1.321856,58.220041,71.299461,0.000000,-0.044607,-0.114057,-0.450745,-0.022303,1.21e-03
8,pphi = 0,6.054644,1.194912,49.980484,22.523926,-0.178426,-0.335082,0.000000,-1.016285,-0.021754,6.60e-04
9,collision,6.984623,1.000000,33.773382,42.964193,-0.386898,-0.556083,0.086913,-0.162286,-0.021094,1.10e-12
10,beta = 0,7.141650,1.032571,30.923634,47.610032,0.339888,-0.569205,0.088319,0.000213,-0.022435,1.34e-03
11,pphi = 0,7.943096,1.196740,11.130058,72.404233,0.118354,-0.475163,0.000000,0.971383,-0.022347,1.25e-03
12,theta = 0,8.766082,1.245333,0.000000,47.620452,0.001192,-0.312882,-0.111050,0.831134,-0.023111,2.02e-03
13,pr = 0,8.766082,1.245316,-0.057645,47.286608,0.000000,-0.311925,-0.111686,0.826816,-0.023149,2.06e-03
14,phi = 0,9.354088,1.195765,-5.949102,-0.000000,-0.194194,-0.232409,-0.162039,0.155887,-0.022790,1.70e-03
15,beta = 0,9.354088,1.171825,-6.993143,-10.503064,-0.246383,-0.227497,-0.164080,-0.000005,-0.022189,1.09e-03
16,collision,9.978049,1.000000,-12.272510,-50.855230,-0.524592,-0.268453,-0.128049,-0.565055,-0.021094,2.60e-13
17,pphi = 0,10.935291,1.317371,-26.288815,-81.795913,0.226652,-0.432057,0.000000,-0.726634,-0.021170,7.61e-05
18,beta = 0,12.220526,1.484241,-40.296886,-63.289943,0.096919,-0.460700,0.044608,-0.000295,-0.021635,5.41e-04
19,pr = 0,13.539421,1.537374,-52.647998,-41.047237,0.000000,-0.347661,0.009969,0.782430,-0.021122,2.75e-05
20,pphi = 0,13.539421,1.535374,-54.267611,-40.847480,-0.011515,-0.321601,-0.000000,0.841584,-0.021636,5.42e-04
21,beta = 0,15.812217,1.306035,-64.352962,-110.514709,-0.248332,-0.035593,-0.090147,-0.000006,-0.021665,5.71e-04
22,collision,16.738544,1.000000,-65.421779,-148.496553,-0.514942,-0.053153,-0.049168,-0.620038,-0.021094,2.80e-14
23,pphi = 0,17.391035,1.229032,-67.650122,-155.307361,0.345601,-0.121399,0.000000,-0.647299,-0.021155,6.08e-05
24,beta = 0,18.962844,1.574663,-73.787050,-133.612134,0.168129,-0.153520,0.038140,-0.000087,-0.021256,1.62e-04
25,pphi = 0,21.189509,1.802640,-78.054592,-101.564691,0.038376,-0.004190,0.000000,0.760189,-0.021166,7.14e-05
26,ptheta = 0,21.688396,1.805139,-78.065743,-101.501588,0.036154,0.000000,-0.001252,0.761830,-0.021116,2.19e-05
27,pr = 0,22.208949,1.823132,-77.497922,-107.800264,0.000000,0.064823,-0.020346,0.624514,-0.021127,3.30e-05
28,beta = 0,23.786290,1.768999,-74.551970,-135.622924,-0.072152,0.134863,-0.036176,-0.000004,-0.021104,9.68e-06
29,pphi = 0,25.836021,1.508045,-69.249823,-163.318925,-0.198510,0.094275,0.000000,-0.719455,-0.021229,1.35e-04
30,collision,27.573618,1.000000,-67.323112,-128.033065,-0.538283,0.006321,0.078747,-0.184908,-0.021094,1.11e-12
31,beta = 0,27.934644,1.112786,-67.137855,-116.997753,0.424965,0.026615,0.082593,-0.000001,-0.021096,1.79e-06
32,pphi = 0,30.296882,1.594614,-55.523187,-56.525895,0.092214,0.329836,0.000000,0.611860,-0.021478,3.83e-04
