n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,beta = 0,5.248874,2.419779,76.811715,141.703165,-0.042456,-0.121797,0.036514,0.000039,-0.003814,1.09e-04
2,phi = 0,7.237619,2.299554,74.274306,-0.000000,-0.072073,-0.105771,0.024760,-2.354250,0.017406,2.11e-02
3,beta = 0,7.237619,2.318116,74.570262,135.672265,-0.068786,-0.111409,0.027554,0.000019,-0.007415,3.71e-03
4,pphi = 0,9.246032,2.154269,72.631270,-165.856021,-0.092459,-0.051840,0.000000,-5.174180,-0.003798,9.33e-05
5,ptheta = 0,10.301360,2.022646,72.194941,-174.486101,-0.110952,0.000000,-0.023618,-5.305232,-0.003790,8.56e-05
6,phi = 0,10.795589,1.954838,72.292848,0.000000,-0.124073,0.021682,-0.034386,-2.264256,0.029790,3.35e-02
7,beta = 0,10.795589,1.932188,72.352826,129.886309,-0.128939,0.028081,-0.037725,0.000001,-0.010562,6.86e-03
8,beta = 0,12.197188,1.703071,73.402669,132.602509,-0.196151,0.041783,-0.053637,0.000001,-0.003721,1.63e-05
9,ptheta = 0,13.244867,1.527658,73.812305,109.768667,-0.257527,0.000000,-0.045951,-0.417216,-0.003743,3.85e-05
10,pphi = 0,14.064613,1.175774,71.204218,92.739081,-0.408745,-0.165040,0.000000,-0.597293,-0.003704,4.08e-07
11,collision,14.577091,1.000000,67.224826,95.642473,-0.534851,-0.268833,0.027381,-0.376329,-0.003704,4.88e-13
12,beta = 0,15.066095,1.179532,61.331339,103.789320,0.394960,-0.343188,0.039663,0.000287,-0.003856,1.51e-04
13,pphi = 0,16.216615,1.515028,48.799239,119.169912,0.231757,-0.334657,0.000000,0.709279,-0.003924,2.20e-04
14,beta = 0,18.898160,1.905111,34.904325,54.139823,0.084127,-0.271161,-0.069570,0.000063,-0.004004,3.00e-04
15,phi = 0,20.193398,1.978329,28.039322,0.000000,0.017517,-0.332244,-0.046298,-0.749634,-0.003808,1.04e-04
16,pr = 0,21.095967,1.984019,24.191248,-14.900405,0.000000,-0.373928,-0.024261,-0.903228,-0.004000,2.96e-04
17,pphi = 0,21.998536,1.978910,19.800019,-20.323714,-0.013430,-0.417308,0.000000,-0.878395,-0.003926,2.22e-04
18,phi = 0,23.269521,1.929443,8.843317,0.000000,-0.054136,-0.487469,0.039147,-0.231980,-0.003718,1.40e-05
19,beta = 0,24.006354,1.905889,5.918123,8.885223,-0.068938,-0.492265,0.041191,0.000002,-0.003741,3.63e-05
20,theta = 0,24.745979,1.843121,0.000000,25.226012,-0.099882,-0.480967,0.032724,0.440277,-0.003770,6.52e-05
21,pphi = 0,25.485604,1.733063,-7.565595,34.546625,-0.136932,-0.429666,0.000000,0.801308,-0.004157,4.52e-04
22,phi = 0,26.848830,1.457960,-19.738500,0.000000,-0.253048,-0.287603,-0.082394,0.522018,-0.003739,3.44e-05
23,beta = 0,27.636019,1.227701,-25.331480,-38.648953,-0.429118,-0.227503,-0.104191,-0.000025,-0.003794,8.97e-05
24,collision,28.094548,1.000000,-29.674927,-63.183632,-0.664277,-0.219939,-0.087763,-0.307286,-0.003704,8.21e-13
25,pphi = 0,29.754535,1.604942,-42.250011,-94.059327,0.278644,-0.283987,0.000000,-0.477928,-0.003730,2.59e-05
26,beta = 0,31.193247,1.959089,-50.344177,-81.444388,0.185294,-0.278420,0.020285,-0.000033,-0.003717,1.25e-05
27,pphi = 0,33.950202,2.353756,-58.323578,-62.742247,0.118556,-0.196065,0.000000,0.603878,-0.003724,1.97e-05
28,beta = 0,39.538029,2.778542,-64.131590,-110.011241,0.062220,-0.099481,-0.026190,-0.000015,-0.003732,2.79e-05
29,pphi = 0,45.333920,3.021459,-68.666149,-167.801806,0.020422,-0.129288,0.000000,-0.822575,-0.003735,3.03e-05
