n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,beta = 0,19.208325,5.760869,79.355788,148.755259,-0.005438,-0.035503,0.010745,0.000001,-0.000304,7.55e-06
2,phi = 0,23.936255,5.730707,79.070061,0.000000,-0.007531,-0.034566,0.009688,-2.582255,0.001306,1.60e-03
3,beta = 0,23.936255,5.738330,79.131114,148.123692,-0.007106,-0.035414,0.010138,0.000000,-0.000370,7.30e-05
4,pphi = 0,36.657616,5.610044,78.525284,-145.186502,-0.011087,-0.010998,0.000000,-5.089648,-0.000304,7.75e-06
5,ptheta = 0,42.005922,5.556599,78.478105,-150.769146,-0.012083,0.000000,-0.004296,-5.184789,-0.000302,5.81e-06
6,phi = 0,47.354228,5.478228,78.550807,0.000000,-0.014165,0.011717,-0.009219,-2.556907,0.001422,1.72e-03
7,beta = 0,47.354228,5.462176,78.576613,146.571981,-0.014681,0.013348,-0.009981,0.000000,-0.000472,1.76e-04
8,beta = 0,53.670259,5.379499,78.725554,146.987809,-0.017626,0.014957,-0.011548,0.000000,-0.000304,7.67e-06
9,ptheta = 0,62.353903,5.220906,78.872610,100.365651,-0.022251,0.000000,-0.007705,-0.820888,-0.000297,5.95e-07
10,pphi = 0,67.271971,5.053547,78.693047,84.094810,-0.025075,-0.024041,0.000000,-1.096105,-0.000298,1.00e-06
11,beta = 0,81.561433,4.663408,77.088173,142.457381,-0.034266,-0.066664,0.012353,0.000008,-0.000310,1.33e-05
12,phi = 0,86.931746,4.467688,76.128454,0.000000,-0.040023,-0.063123,0.009091,-2.440736,0.002861,3.16e-03
13,beta = 0,86.931746,4.495542,76.254687,140.185867,-0.039299,-0.064739,0.009935,0.000003,-0.000614,3.18e-04
14,pphi = 0,92.401462,4.230827,75.221146,-168.055831,-0.045380,-0.043594,0.000000,-5.331272,-0.000313,1.64e-05
15,phi = 0,97.280116,3.993005,74.677310,0.000000,-0.051331,-0.022127,-0.010003,-2.372863,0.003903,4.20e-03
16,beta = 0,97.280116,3.963012,74.630991,135.832185,-0.052264,-0.019919,-0.011133,0.000000,-0.000948,6.52e-04
17,beta = 0,102.986692,3.689137,74.344994,135.075250,-0.063559,-0.015481,-0.016270,0.000001,-0.000312,1.54e-05
18,pphi = 0,109.365942,3.131973,72.862508,89.703343,-0.088912,-0.077077,0.000000,-0.724250,-0.000306,9.70e-06
19,beta = 0,115.297100,2.580853,68.542902,120.377689,-0.126950,-0.147559,0.017033,0.000094,-0.000334,3.75e-05
20,pphi = 0,117.964394,2.110641,63.653106,141.487763,-0.180283,-0.142157,0.000000,0.568300,-0.000324,2.75e-05
21,beta = 0,121.014850,1.237114,55.482398,91.501981,-0.455684,-0.142602,-0.050569,0.000025,-0.000089,2.07e-04
22,collision,121.590757,1.000000,52.043344,79.066798,-0.649118,-0.204327,-0.045819,-0.098353,-0.000297,1.44e-12
23,beta = 0,127.530165,2.321272,15.097165,22.783112,0.125942,-0.433413,-0.007834,0.000070,-0.000295,1.84e-06
24,theta = 0,131.139834,2.697556,0.000000,2.392587,0.076863,-0.436517,-0.011114,0.041759,-0.000302,5.39e-06
25,phi = 0,132.171993,2.726617,-1.297414,0.000000,0.073393,-0.436116,-0.011391,0.033968,-0.000298,1.01e-06
26,beta = 0,133.303768,2.802720,-4.915969,-7.379263,0.064419,-0.434942,-0.011687,-0.000014,-0.000300,2.87e-06
27,beta = 0,142.516418,3.173099,-31.925926,-49.236885,0.016700,-0.420456,-0.003340,-0.000126,-0.000301,4.11e-06
