n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,collision,0.646136,1.000000,1.225735,0.161799,-0.410486,0.051008,0.001972,-0.029267,-0.247564,8.66e-13
2,pr = 0,1.219934,1.100937,2.443883,1.597547,0.000000,0.039533,0.007251,-0.036108,-0.248559,9.95e-04
3,collision,1.867463,1.000000,3.351281,4.429477,-0.410676,0.028522,0.010862,-0.010452,-0.247564,1.05e-12
4,beta = 0,2.098259,1.049234,3.566379,5.351299,0.280114,0.026152,0.011087,0.000000,-0.248001,4.37e-04
5,pr = 0,2.516736,1.100835,4.026961,7.696613,0.000000,0.023323,0.009616,0.028862,-0.248616,1.05e-03
6,collision,3.128380,1.000000,4.658284,9.827257,-0.410322,0.024371,0.003399,0.049497,-0.247564,1.58e-12
7,pphi = 0,3.478404,1.072302,4.973387,10.043859,0.205658,0.025003,0.000000,0.045014,-0.247895,3.31e-04
8,pr = 0,3.772631,1.100775,5.323135,9.773415,0.000000,0.024286,-0.002887,0.031118,-0.248696,1.13e-03
9,beta = 0,4.177812,1.030290,5.808366,8.720032,-0.332172,0.018374,-0.004750,0.000000,-0.248176,6.12e-04
10,collision,4.387407,1.000000,5.891967,8.486498,-0.410367,0.016259,-0.004697,-0.006270,-0.247564,2.06e-12
11,pr = 0,4.935809,1.101842,6.122281,7.433283,0.000000,0.000258,-0.001732,-0.030699,-0.247987,4.23e-04
12,ptheta = 0,4.935809,1.102173,6.123105,7.422925,-0.005644,0.000000,-0.001671,-0.030901,-0.247747,1.84e-04
13,pphi = 0,5.256076,1.084599,6.086063,7.331858,-0.150289,-0.006736,0.000000,-0.031518,-0.248713,1.15e-03
14,collision,5.604221,1.000000,5.887752,7.555898,-0.410313,-0.017739,0.002560,-0.022402,-0.247564,2.61e-12
15,beta = 0,5.959147,1.090127,5.480080,8.226401,0.128534,-0.026918,0.003760,0.000000,-0.247787,2.23e-04
16,pr = 0,6.254586,1.100890,5.225856,8.614771,0.000000,-0.029691,0.003413,0.013448,-0.248609,1.04e-03
17,pphi = 0,6.657955,1.030228,4.529403,9.144520,-0.332407,-0.032188,0.000000,0.040961,-0.248141,5.77e-04
18,collision,6.866110,1.000000,4.378831,9.129468,-0.410337,-0.032061,-0.001123,0.044646,-0.247564,3.14e-12
19,pr = 0,7.527016,1.101149,3.552995,7.675383,0.000000,-0.029475,-0.007884,0.040914,-0.248417,8.54e-04
20,collision,8.132607,1.000000,2.769142,4.609989,-0.410730,-0.030010,-0.011553,0.007949,-0.247564,3.73e-12
21,beta = 0,8.261394,1.038688,2.585926,3.879548,0.310664,-0.031015,-0.011678,0.000000,-0.247845,2.82e-04
22,pr = 0,8.792015,1.101084,1.886647,1.187676,0.000000,-0.036779,-0.010030,-0.028668,-0.248434,8.70e-04
