n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,collision,0.644920,1.000000,1.286502,0.168150,-0.410695,0.053830,0.002061,-0.030747,-0.247308,8.69e-13
2,pr = 0,1.218387,1.101137,2.573765,1.677474,0.000000,0.041735,0.007627,-0.038115,-0.248284,9.77e-04
3,collision,1.866736,1.000000,3.532606,4.663611,-0.410906,0.030103,0.011448,-0.011117,-0.247308,1.05e-12
4,beta = 0,2.052671,1.049358,3.760626,5.642968,0.279812,0.027594,0.011684,0.000000,-0.247833,5.25e-04
5,pr = 0,2.452516,1.100847,4.246223,8.114769,0.000000,0.024608,0.010138,0.030413,-0.248468,1.16e-03
6,collision,3.095404,1.000000,4.912773,10.364560,-0.410512,0.025704,0.003587,0.052201,-0.247308,1.28e-12
7,pphi = 0,3.395604,1.071935,5.246668,10.585968,0.205421,0.026355,0.000000,0.047306,-0.248076,7.68e-04
8,pr = 0,3.677509,1.101001,5.615126,10.306559,0.000000,0.025618,-0.003049,0.032762,-0.248407,1.10e-03
9,beta = 0,4.098878,1.031219,6.126218,9.198108,-0.330525,0.019429,-0.005018,0.000000,-0.247739,4.31e-04
10,collision,4.322815,1.000000,6.215234,8.948844,-0.410563,0.017127,-0.004948,-0.006688,-0.247308,1.49e-12
11,pr = 0,4.972218,1.101064,6.455223,7.847285,0.000000,0.000221,-0.001807,-0.032216,-0.248381,1.07e-03
12,ptheta = 0,4.972218,1.100900,6.454912,7.841533,-0.004480,0.000000,-0.001752,-0.032308,-0.248482,1.17e-03
13,pphi = 0,5.134856,1.084717,6.418665,7.738069,-0.148693,-0.007081,0.000000,-0.033162,-0.248727,1.42e-03
14,collision,5.585403,1.000000,6.208418,7.974728,-0.410502,-0.018761,0.002712,-0.023510,-0.247308,2.00e-12
15,beta = 0,5.949256,1.089554,5.780462,8.678068,0.130653,-0.028349,0.003953,0.000000,-0.247776,4.69e-04
16,pr = 0,6.246766,1.101331,5.508752,9.094145,0.000000,-0.031347,0.003596,0.014393,-0.248172,8.64e-04
17,pphi = 0,6.647530,1.031221,4.777480,9.648481,-0.330328,-0.033940,0.000000,0.043251,-0.247790,4.82e-04
18,collision,6.853580,1.000000,4.614213,9.629102,-0.410529,-0.033790,-0.001224,0.047194,-0.247308,2.59e-12
19,pr = 0,7.513710,1.101278,3.743173,8.079225,0.000000,-0.031056,-0.008358,0.042978,-0.248192,8.84e-04
20,collision,8.120376,1.000000,2.915841,4.834184,-0.410967,-0.031674,-0.012188,0.008019,-0.247308,3.18e-12
21,beta = 0,8.263241,1.036955,2.730632,4.096726,0.315272,-0.032707,-0.012299,0.000000,-0.247744,4.36e-04
22,pr = 0,8.802003,1.102027,1.983488,1.222054,-0.000000,-0.038864,-0.010548,-0.030604,-0.247652,3.44e-04
23,phi = 0,8.963558,1.082846,1.538176,0.000000,-0.156785,-0.043315,-0.008451,-0.040272,-0.248798,1.49e-03
24,collision,9.321518,1.000000,0.790050,-1.198791,-0.410697,-0.050362,-0.004677,-0.041607,-0.247308,3.54e-12
25,theta = 0,9.677797,1.079834,0.000000,-1.683107,0.174026,-0.055263,-0.001692,-0.029376,-0.248152,8.44e-04
26,pr = 0,9.973367,1.101060,-0.674747,-1.811768,0.000000,-0.057080,-0.000294,-0.013956,-0.248334,1.03e-03
27,pphi = 0,9.973367,1.098260,-0.957194,-1.820585,-0.070763,-0.057254,0.000000,-0.006715,-0.247736,4.28e-04
28,beta = 0,10.135794,1.087043,-1.212123,-1.818260,-0.136161,-0.056943,0.000034,-0.000000,-0.248815,1.51e-03
29,pphi = 0,10.264613,1.073272,-1.469286,-1.815456,-0.202912,-0.056491,0.000000,0.006782,-0.247574,2.66e-04
30,collision,10.584413,1.000000,-2.180642,-1.875966,-0.410688,-0.053047,-0.001144,0.024354,-0.247308,4.07e-12
31,pr = 0,11.159043,1.101130,-3.437895,-2.994214,0.000000,-0.040069,-0.006172,0.037772,-0.248301,9.93e-04
32,collision,11.807111,1.000000,-4.326215,-5.572634,-0.410820,-0.026246,-0.010390,0.016053,-0.247308,4.25e-12
33,beta = 0,12.026971,1.067478,-4.599882,-6.903535,0.224353,-0.021652,-0.010939,-0.000000,-0.247400,9.20e-05
34,pr = 0,12.441137,1.100731,-4.900445,-8.824349,0.000000,-0.018205,-0.009848,-0.025642,-0.248551,1.24e-03
35,collision,13.061137,1.000000,-5.370698,-11.061358,-0.410487,-0.017669,-0.003675,-0.052349,-0.247308,4.68e-12
36,pphi = 0,13.301130,1.072396,-5.597307,-11.301278,0.207258,-0.018140,0.000000,-0.050591,-0.247348,4.04e-05
37,pr = 0,13.723498,1.101380,-5.853464,-10.983806,0.000000,-0.017593,0.003404,-0.038327,-0.248155,8.48e-04
38,beta = 0,14.329235,1.000318,-6.251166,-9.386079,-0.409821,-0.010279,0.006242,-0.000000,-0.247308,5.90e-09
39,collision,14.330100,1.000000,-6.251622,-9.383309,-0.410591,-0.010258,0.006242,0.000060,-0.247308,5.27e-12
40,ptheta = 0,14.818685,1.091639,-6.349995,-8.195511,0.120890,0.000000,0.005012,0.023375,-0.247556,2.49e-04
41,pr = 0,14.973769,1.100943,-6.324229,-7.754758,0.000000,0.005515,0.003790,0.030390,-0.248457,1.15e-03
42,pphi = 0,15.379618,1.036166,-6.050697,-7.261371,-0.316936,0.020495,0.000000,0.031820,-0.247811,5.04e-04
43,collision,15.589668,1.000000,-5.926502,-7.283444,-0.410498,0.024474,-0.000976,0.028174,-0.247308,5.75e-12
44,beta = 0,16.079417,1.097921,-5.232980,-7.854946,0.065589,0.036246,-0.002857,-0.000000,-0.248340,1.03e-03
45,pr = 0,16.234601,1.100932,-5.064065,-8.009904,-0.000000,0.037735,-0.002768,-0.007136,-0.248440,1.13e-03
46,pphi = 0,16.639855,1.032178,-4.194271,-8.455335,-0.327489,0.040718,0.000000,-0.037719,-0.247894,5.87e-04
47,collision,16.849468,1.000000,-3.990912,-8.438119,-0.410577,0.040566,0.001121,-0.042749,-0.247308,6.23e-12
48,pr = 0,17.494063,1.100909,-2.948663,-6.974023,0.000000,0.036805,0.008036,-0.044507,-0.248442,1.13e-03
49,collision,18.108353,1.000000,-1.997215,-3.762196,-0.411000,0.034916,0.012442,-0.013370,-0.247308,6.72e-12
50,beta = 0,18.287061,1.057179,-1.668429,-2.502821,0.257763,0.035636,0.012805,-0.000000,-0.247421,1.13e-04
51,phi = 0,18.683736,1.100869,-1.029197,0.000000,0.004434,0.039191,0.011515,0.026945,-0.248418,1.11e-03
52,pr = 0,18.683736,1.101014,-1.017207,0.043893,0.000000,0.039276,0.011474,0.027397,-0.248330,1.02e-03
53,theta = 0,19.270304,1.022140,0.000000,2.578443,-0.355282,0.047629,0.006490,0.045002,-0.247414,1.06e-04
54,collision,19.330759,1.000000,0.157463,2.784624,-0.410709,0.048876,0.005647,0.044478,-0.247308,6.92e-12
55,pr = 0,19.997632,1.101491,1.571863,3.585102,0.000000,0.055034,0.000462,0.021418,-0.248046,7.38e-04
56,pphi = 0,19.997632,1.097720,1.840994,3.596113,-0.069989,0.055149,0.000000,0.014563,-0.248167,8.59e-04
57,beta = 0,20.286451,1.070154,2.378321,3.567996,-0.214208,0.054313,-0.000402,0.000000,-0.247575,2.67e-04
58,pphi = 0,20.396567,1.017090,2.886525,3.540601,-0.366917,0.051859,0.000000,-0.013790,-0.247865,5.58e-04
59,collision,20.601278,1.000000,3.022733,3.539114,-0.410675,0.050999,0.000199,-0.017384,-0.247308,7.54e-12
60,pr = 0,21.173846,1.101202,4.220103,4.238675,0.000000,0.037448,0.004571,-0.036553,-0.248262,9.55e-04
61,collision,21.823115,1.000000,5.016478,6.348345,-0.410727,0.021762,0.009086,-0.020616,-0.247308,7.72e-12
62,beta = 0,22.126650,1.080557,5.284179,7.931900,0.173408,0.014803,0.009998,0.000000,-0.247731,4.24e-04
63,pr = 0,22.409375,1.100859,5.437618,9.328652,0.000000,0.011361,0.009328,0.020352,-0.248470,1.16e-03
64,collision,23.052316,1.000000,5.700228,11.494361,-0.410473,0.009214,0.003675,0.051259,-0.247308,7.95e-12
65,pphi = 0,23.295331,1.071933,5.817519,11.733129,0.208465,0.009464,0.000000,0.052348,-0.247448,1.40e-04
66,pr = 0,23.718907,1.101515,5.952040,11.395585,0.000000,0.009142,-0.003677,0.042926,-0.248068,7.60e-04
67,collision,24.323375,1.000000,6.138596,9.592418,-0.410629,0.003146,-0.007390,0.006557,-0.247308,8.57e-12
68,beta = 0,24.433515,1.030706,6.147666,9.230371,0.332327,0.001111,-0.007461,0.000000,-0.247609,3.02e-04
69,ptheta = 0,24.540183,1.044738,6.148969,9.038481,0.293608,0.000000,-0.007439,-0.003383,-0.247677,3.69e-04
70,pr = 0,24.953362,1.100740,6.041999,7.475823,0.000000,-0.011126,-0.005682,-0.027848,-0.248584,1.28e-03
71,collision,25.575764,1.000000,5.502970,6.417411,-0.410514,-0.029609,-0.000781,-0.032173,-0.247308,8.97e-12
72,pphi = 0,25.695778,1.029920,5.358760,6.404808,0.334088,-0.032626,0.000000,-0.028610,-0.247686,3.78e-04
73,beta = 0,26.221615,1.100860,4.490794,6.739656,-0.002565,-0.043299,0.001887,0.000000,-0.248482,1.17e-03
74,pr = 0,26.221615,1.100946,4.498635,6.735510,-0.000000,-0.043247,0.001889,-0.000278,-0.248427,1.12e-03
75,pphi = 0,26.626548,1.033451,3.513809,7.063315,-0.324199,-0.046536,0.000000,0.031258,-0.247862,5.54e-04
76,collision,26.835916,1.000000,3.272045,7.046605,-0.410625,-0.046375,-0.000990,0.037301,-0.247308,9.46e-12
77,pr = 0,27.411629,1.101086,2.083061,5.707223,0.000000,-0.041659,-0.007535,0.045069,-0.248321,1.01e-03
78,collision,28.058778,1.000000,1.030828,2.600998,-0.411007,-0.037316,-0.012401,0.018408,-0.247308,9.65e-12
79,beta = 0,28.361675,1.071134,0.564818,0.847234,0.208324,-0.037058,-0.013057,0.000000,-0.248076,7.68e-04
80,phi = 0,28.494650,1.089799,0.357359,0.000000,0.125280,-0.037452,-0.012915,-0.009356,-0.248250,9.43e-04
81,theta = 0,28.644093,1.101035,0.000000,-1.421071,-0.010440,-0.038851,-0.012061,-0.024802,-0.248252,9.44e-04
82,pr = 0,28.644093,1.100795,0.027992,-1.312423,0.000000,-0.038720,-0.012145,-0.023639,-0.248470,1.16e-03
83,collision,29.286423,1.000000,-1.101043,-4.304820,-0.410716,-0.046219,-0.006483,-0.046307,-0.247308,9.89e-12
84,pr = 0,29.870322,1.100926,-2.431916,-5.268098,0.000000,-0.051631,-0.000638,-0.028269,-0.248437,1.13e-03
85,pphi = 0,30.031932,1.097066,-2.682969,-5.285343,-0.069944,-0.051724,0.000000,-0.021994,-0.248627,1.32e-03
86,beta = 0,30.290948,1.043123,-3.454018,-5.182607,-0.296868,-0.049812,0.000910,-0.000000,-0.248069,7.61e-04
87,collision,30.514275,1.000000,-3.792593,-5.118001,-0.410657,-0.047737,0.000751,0.010000,-0.247308,1.01e-11
88,pphi = 0,30.757373,1.051914,-4.178354,-5.084508,0.272500,-0.044123,0.000000,0.020696,-0.247737,4.29e-04
89,pr = 0,31.180829,1.101511,-4.901737,-5.379716,0.000000,-0.033947,-0.002855,0.034512,-0.248062,7.54e-04
90,collision,31.785076,1.000000,-5.586903,-6.971916,-0.410636,-0.016760,-0.007565,0.024698,-0.247308,1.07e-11
91,beta = 0,32.147561,1.091478,-5.798978,-8.705912,0.122140,-0.007113,-0.008952,-0.000000,-0.247486,1.79e-04
92,pr = 0,32.444677,1.101265,-5.845299,-9.606239,0.000000,-0.004232,-0.008598,-0.014498,-0.248201,8.93e-04
93,collision,33.052313,1.000000,-5.893498,-11.652927,-0.410470,-0.000540,-0.003586,-0.048954,-0.247308,1.13e-11
94,pphi = 0,33.346008,1.070729,-5.900021,-11.875390,0.209889,-0.000565,0.000000,-0.052666,-0.248064,7.56e-04
95,pr = 0,33.626290,1.101207,-5.908338,-11.529519,0.000000,-0.000468,0.003861,-0.046411,-0.248279,9.72e-04
96,ptheta = 0,33.787592,1.093550,-5.910040,-11.139076,-0.098837,0.000000,0.005413,-0.039552,-0.248651,1.34e-03
97,collision,34.275323,1.000000,-5.878859,-9.571299,-0.410672,0.004042,0.008365,-0.013007,-0.247308,1.15e-11
98,beta = 0,34.461452,1.055165,-5.826877,-8.747869,0.263027,0.007447,0.008686,-0.000000,-0.247646,3.38e-04
99,pr = 0,34.861684,1.100891,-5.616160,-7.013959,0.000000,0.016469,0.007442,0.024732,-0.248467,1.16e-03
100,collision,35.504614,1.000000,-4.947953,-5.397600,-0.410548,0.034042,0.002518,0.035412,-0.247308,1.17e-11
101,pphi = 0,35.872763,1.080876,-4.357962,-5.219881,0.169668,0.042955,0.000000,0.023042,-0.248143,8.35e-04
102,beta = 0,36.171148,1.097548,-3.576355,-5.366283,-0.073772,0.049237,-0.001088,-0.000000,-0.248019,7.11e-04
103,pr = 0,36.171148,1.101482,-3.826151,-5.299581,0.000000,0.047759,-0.000981,0.007711,-0.248060,7.52e-04
104,pphi = 0,36.570237,1.035061,-2.751003,-5.505848,-0.320695,0.051269,0.000000,-0.024060,-0.247599,2.91e-04
105,collision,36.775040,1.000000,-2.474760,-5.487886,-0.410670,0.051078,0.000832,-0.030983,-0.247308,1.23e-11
106,pr = 0,37.434446,1.101262,-1.167896,-4.308334,0.000000,0.045526,0.006844,-0.044618,-0.248202,8.95e-04
107,collision,38.041344,1.000000,-0.039750,-1.378363,-0.410989,0.038813,0.012067,-0.023016,-0.247308,1.29e-11
108,theta = 0,38.118280,1.007213,0.000000,-1.252000,0.393265,0.038616,0.012199,-0.021852,-0.247337,2.97e-05
