n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.654005,1.755098,-24.645434,0.000000,1.128783,-1.454113,0.469055,0.655640,2.034776,9.90e-02
2,beta = 0,0.654005,1.769062,-24.977692,-38.095847,1.134671,-1.454758,0.469331,-0.000118,2.027175,1.07e-01
3,beta = 0,1.116222,2.377945,-35.102596,-54.467005,1.265216,-1.475034,0.482120,-0.000016,2.133470,3.35e-04
4,phi = 0,1.367959,2.630406,-37.748261,0.000000,1.288883,-1.470889,0.480493,1.028183,2.133305,5.00e-04
5,phi = 0,2.102148,3.586957,-44.223135,0.000000,1.346268,-1.468545,0.478165,1.224727,2.131283,2.52e-03
6,beta = 0,2.102148,3.634192,-44.454208,-70.586633,1.347939,-1.468909,0.478363,-0.000027,2.128791,5.02e-03
7,beta = 0,2.444554,4.022108,-46.103133,-73.562767,1.358385,-1.469823,0.479152,-0.000030,2.133306,5.00e-04
8,phi = 0,2.786960,4.387127,-47.393701,0.000000,1.365796,-1.468571,0.478710,1.325112,2.133804,1.80e-06
9,phi = 0,3.355054,5.267624,-49.723086,0.000000,1.378762,-1.468393,0.478323,1.400911,2.133021,7.85e-04
10,beta = 0,3.355054,5.332418,-49.865491,-80.535866,1.379466,-1.468548,0.478398,-0.000010,2.132064,1.74e-03
11,beta = 0,3.738454,5.781729,-50.752417,-82.220605,1.383430,-1.468914,0.478682,-0.000011,2.133617,1.89e-04
12,phi = 0,4.128503,6.196908,-51.462236,0.000000,1.386360,-1.468415,0.478508,1.458750,2.133806,2.10e-07
13,phi = 0,4.784001,7.248802,-52.876706,0.000000,1.391921,-1.468587,0.478485,1.506636,2.133945,1.40e-04
14,beta = 0,4.784001,7.336483,-52.978282,-86.522802,1.392276,-1.468650,0.478522,-0.000003,2.133559,2.46e-04
15,beta = 0,5.007527,7.581239,-53.242775,-87.041619,1.393151,-1.468653,0.478553,-0.000005,2.133711,9.42e-05
16,phi = 0,5.465401,8.023726,-53.684464,0.000000,1.394567,-1.468418,0.478471,1.534339,2.133808,2.44e-06
17,phi = 0,5.939137,8.797865,-54.343707,0.000000,1.396627,-1.468415,0.478419,1.557149,2.133632,1.73e-04
18,beta = 0,5.939137,8.898070,-54.421265,-89.372683,1.396856,-1.468465,0.478440,-0.000003,2.133412,3.94e-04
19,beta = 0,6.435579,9.398619,-54.781977,-90.092883,1.397852,-1.468562,0.478507,-0.000002,2.133764,4.18e-05
20,phi = 0,6.695152,9.858120,-55.079926,0.000000,1.398630,-1.468435,0.478461,1.582841,2.133804,2.03e-06
21,phi = 0,7.441485,10.952733,-55.690203,0.000000,1.400159,-1.468505,0.478472,1.604317,2.133891,8.57e-05
22,beta = 0,7.441485,11.059663,-55.744102,-92.029723,1.400283,-1.468523,0.478483,-0.000001,2.133769,3.65e-05
23,beta = 0,7.699399,11.225462,-55.823488,-92.190646,1.400461,-1.468513,0.478484,-0.000002,2.133772,3.38e-05
24,phi = 0,7.963773,11.696495,-56.039104,-0.000000,1.400936,-1.468438,0.478457,1.616669,2.133802,3.92e-06
25,phi = 0,8.747761,12.768910,-56.470425,0.000000,1.401852,-1.468484,0.478465,1.632015,2.133857,5.13e-05
26,beta = 0,8.747761,12.886955,-56.514094,-93.596887,1.401939,-1.468497,0.478473,-0.000000,2.133781,2.42e-05
27,beta = 0,9.017192,13.057880,-56.574490,-93.720499,1.402055,-1.468491,0.478473,-0.000001,2.133783,2.23e-05
28,phi = 0,9.299686,13.537255,-56.737179,0.000000,1.402365,-1.468443,0.478456,1.641549,2.133804,1.57e-06
29,phi = 0,9.855514,14.236618,-56.955058,0.000000,1.402773,-1.468441,0.478446,1.649360,2.133766,3.95e-05
30,beta = 0,9.855514,14.363830,-56.992467,-94.578373,1.402841,-1.468455,0.478452,-0.000001,2.133711,9.42e-05
31,beta = 0,10.425184,14.893856,-57.141423,-94.885209,1.403100,-1.468482,0.478469,-0.000000,2.133800,5.38e-06
32,phi = 0,10.721521,15.379538,-57.268266,0.000000,1.403312,-1.468447,0.478456,1.660628,2.133808,2.88e-06
33,phi = 0,11.321136,16.323590,-57.493601,0.000000,1.403681,-1.468461,0.478457,1.668763,2.133814,8.64e-06
34,beta = 0,11.321136,16.470712,-57.526723,-95.681729,1.403732,-1.468471,0.478461,-0.000000,2.133783,2.27e-05
35,beta = 0,11.624414,16.732261,-57.583329,-95.799102,1.403818,-1.468470,0.478463,-0.000000,2.133792,1.40e-05
36,phi = 0,11.918295,17.222860,-57.685474,0.000000,1.403971,-1.468448,0.478455,1.675709,2.133805,7.70e-07
37,phi = 0,12.510756,17.946846,-57.825856,0.000000,1.404178,-1.468449,0.478452,1.680803,2.133791,1.47e-05
38,beta = 0,12.510756,18.092091,-57.852745,-96.358864,1.404217,-1.468457,0.478455,-0.000000,2.133765,4.05e-05
39,beta = 0,12.809335,18.572358,-57.938558,-96.537572,1.404336,-1.468468,0.478462,-0.000000,2.133802,3.95e-06
40,phi = 0,13.145268,19.066915,-58.022297,0.000000,1.404449,-1.468448,0.478455,1.687946,2.133805,8.41e-07
41,phi = 0,13.823824,19.740009,-58.129109,0.000000,1.404591,-1.468449,0.478452,1.691837,2.133793,1.30e-05
42,beta = 0,13.823824,19.915436,-58.155903,-96.991142,1.404626,-1.468456,0.478455,-0.000000,2.133774,3.11e-05
43,beta = 0,14.166447,20.413716,-58.229370,-97.144749,1.404719,-1.468463,0.478460,-0.000000,2.133799,6.79e-06
44,phi = 0,14.482002,20.911516,-58.299360,0.000000,1.404805,-1.468449,0.478455,1.698052,2.133805,8.84e-07
45,phi = 0,15.154533,21.600921,-58.390567,0.000000,1.404916,-1.468451,0.478453,1.701387,2.133797,8.64e-06
46,beta = 0,15.154533,21.787519,-58.414379,-97.532248,1.404944,-1.468456,0.478456,-0.000000,2.133784,2.17e-05
47,beta = 0,15.511508,22.256017,-58.472217,-97.653587,1.405011,-1.468460,0.478459,-0.000000,2.133799,6.83e-06
48,phi = 0,15.837553,22.756526,-58.531488,0.000000,1.405078,-1.468451,0.478455,1.706548,2.133805,6.60e-07
49,phi = 0,16.494616,23.527067,-58.617629,0.000000,1.405175,-1.468453,0.478455,1.709708,2.133802,3.45e-06
50,beta = 0,16.494616,23.696357,-58.635884,-97.997449,1.405195,-1.468457,0.478456,-0.000000,2.133792,1.38e-05
51,beta = 0,16.825633,24.099046,-58.678060,-98.086187,1.405239,-1.468459,0.478458,-0.000000,2.133801,4.85e-06
52,phi = 0,17.161685,24.601852,-58.728865,0.000000,1.405293,-1.468451,0.478455,1.713794,2.133805,4.77e-07
53,phi = 0,17.839145,25.420469,-58.807209,0.000000,1.405373,-1.468454,0.478455,1.716675,2.133805,9.34e-07
54,beta = 0,17.839145,25.597677,-58.823593,-98.392763,1.405390,-1.468457,0.478457,-0.000000,2.133797,8.79e-06
55,beta = 0,18.180554,25.942654,-58.854622,-98.458209,1.405421,-1.468458,0.478458,-0.000000,2.133801,4.45e-06
56,phi = 0,18.528305,26.447430,-58.898672,0.000000,1.405463,-1.468452,0.478456,1.720042,2.133806,1.24e-07
57,phi = 0,19.230886,27.402979,-58.977607,0.000000,1.405539,-1.468456,0.478456,1.722952,2.133809,3.01e-06
58,beta = 0,19.230886,27.590431,-58.992561,-98.749467,1.405553,-1.468458,0.478457,-0.000000,2.133802,3.11e-06
59,beta = 0,19.585717,27.786723,-59.007815,-98.781711,1.405567,-1.468457,0.478457,-0.000000,2.133803,3.01e-06
60,phi = 0,19.967038,28.293210,-59.046367,0.000000,1.405602,-1.468453,0.478456,1.725489,2.133807,1.11e-06
61,phi = 0,20.729679,29.591130,-59.139172,0.000000,1.405684,-1.468456,0.478457,1.728917,2.133813,6.97e-06
62,phi = 0,21.124870,30.139155,-59.175948,0.000000,1.405716,-1.468452,0.478456,1.730276,2.133805,3.56e-07
63,phi = 0,21.896707,31.151744,-59.240503,0.000000,1.405770,-1.468455,0.478456,1.732665,2.133809,3.02e-06
64,beta = 0,21.896707,31.356527,-59.253154,-99.301205,1.405780,-1.468457,0.478457,-0.000000,2.133805,1.07e-06
65,beta = 0,22.273353,31.475928,-59.260356,-99.316483,1.405786,-1.468457,0.478457,-0.000000,2.133804,1.41e-06
66,phi = 0,22.658802,31.985234,-59.290649,0.000000,1.405811,-1.468453,0.478456,1.734521,2.133806,5.99e-07
67,phi = 0,23.049950,32.664468,-59.329493,0.000000,1.405842,-1.468453,0.478455,1.735960,2.133804,2.04e-06
68,beta = 0,23.049950,32.880900,-59.341580,-99.488872,1.405851,-1.468455,0.478456,-0.000000,2.133800,5.59e-06
69,beta = 0,23.441097,33.320948,-59.365590,-99.539867,1.405870,-1.468455,0.478457,-0.000000,2.133803,2.61e-06
70,phi = 0,23.824967,33.831430,-59.392699,0.000000,1.405890,-1.468453,0.478456,1.738304,2.133806,3.06e-07
71,phi = 0,24.619000,35.009165,-59.452211,0.000000,1.405935,-1.468455,0.478456,1.740512,2.133809,3.48e-06
72,phi = 0,25.029164,35.677721,-59.484278,0.000000,1.405958,-1.468453,0.478456,1.741702,2.133805,3.42e-07
73,phi = 0,25.839469,36.675289,-59.529876,0.000000,1.405990,-1.468455,0.478456,1.743396,2.133807,1.71e-06
74,beta = 0,25.839469,36.899850,-59.539880,-99.910543,1.405997,-1.468456,0.478457,-0.000000,2.133805,6.14e-07
75,beta = 0,26.239611,37.011611,-59.544755,-99.920924,1.406000,-1.468456,0.478457,-0.000000,2.133805,8.23e-07
76,phi = 0,26.646817,37.524094,-59.566863,0.000000,1.406016,-1.468453,0.478456,1.744771,2.133806,2.08e-07
77,phi = 0,27.074236,38.332024,-59.600397,0.000000,1.406038,-1.468454,0.478456,1.746018,2.133805,1.25e-07
78,beta = 0,27.074236,38.579661,-59.610463,-100.060912,1.406045,-1.468455,0.478456,-0.000000,2.133804,1.85e-06
79,beta = 0,27.501655,38.857198,-59.621512,-100.084463,1.406052,-1.468455,0.478456,-0.000000,2.133804,1.58e-06
80,phi = 0,27.942799,39.370538,-59.641619,0.000000,1.406066,-1.468453,0.478456,1.747552,2.133806,5.45e-07
81,phi = 0,28.383942,40.154708,-59.671263,0.000000,1.406085,-1.468454,0.478456,1.748655,2.133805,2.52e-07
82,beta = 0,28.383942,40.414717,-59.680891,-100.211093,1.406091,-1.468455,0.478456,-0.000000,2.133804,1.69e-06
83,beta = 0,28.825086,40.702923,-59.691348,-100.233405,1.406097,-1.468455,0.478456,-0.000000,2.133804,1.44e-06
84,phi = 0,29.273813,41.217043,-59.709718,0.000000,1.406109,-1.468453,0.478456,1.750087,2.133806,4.50e-07
85,phi = 0,29.722541,42.046122,-59.738304,0.000000,1.406127,-1.468454,0.478456,1.751152,2.133806,6.34e-08
86,beta = 0,29.722541,42.313306,-59.747334,-100.352910,1.406132,-1.468455,0.478456,-0.000000,2.133804,1.12e-06
87,beta = 0,30.171268,42.548768,-59.755138,-100.369577,1.406137,-1.468455,0.478456,-0.000000,2.133805,1.08e-06
88,phi = 0,30.619996,43.063601,-59.771990,0.000000,1.406147,-1.468453,0.478456,1.752408,2.133806,2.18e-07
89,phi = 0,31.076699,43.971483,-59.800622,0.000000,1.406164,-1.468454,0.478456,1.753475,2.133806,4.72e-07
90,beta = 0,31.076699,44.246316,-59.809125,-100.484917,1.406169,-1.468455,0.478456,-0.000000,2.133805,5.38e-07
91,phi = 0,31.533401,44.910206,-59.829125,0.000000,1.406180,-1.468453,0.478456,1.754539,2.133805,1.11e-07
92,beta = 0,31.533401,44.394719,-59.813631,-100.494547,1.406171,-1.468455,0.478456,-0.000000,2.133805,6.29e-07
93,phi = 0,32.424498,45.914596,-59.858223,0.000000,1.406197,-1.468454,0.478456,1.755625,2.133806,8.94e-07
94,beta = 0,32.424498,46.169680,-59.865472,-100.605388,1.406201,-1.468455,0.478456,-0.000000,2.133805,1.84e-07
95,phi = 0,32.858893,46.756852,-59.881739,0.000000,1.406210,-1.468453,0.478456,1.756503,2.133805,1.23e-07
96,beta = 0,32.858893,46.240764,-59.867457,-100.609633,1.406202,-1.468455,0.478456,-0.000000,2.133805,2.70e-07
97,phi = 0,33.735149,47.750289,-59.908325,0.000000,1.406224,-1.468454,0.478456,1.757495,2.133806,7.50e-07
98,beta = 0,33.735149,48.010720,-59.915166,-100.711713,1.406228,-1.468455,0.478456,-0.000000,2.133805,1.79e-07
99,phi = 0,34.175281,48.603534,-59.930358,0.000000,1.406236,-1.468453,0.478456,1.758319,2.133805,1.19e-07
100,beta = 0,34.175281,48.086891,-59.917133,-100.715924,1.406229,-1.468455,0.478456,-0.000000,2.133805,2.57e-07
