n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.771423,1.895957,-27.656944,0.000000,1.175834,-1.455281,0.468410,0.738970,2.049814,5.78e-02
2,beta = 0,0.771423,1.913512,-28.006255,-42.904008,1.181120,-1.456306,0.468969,-0.000105,2.043326,6.43e-02
3,beta = 0,1.121113,2.386414,-35.144079,-54.535410,1.262633,-1.469098,0.477947,-0.000004,2.107513,8.75e-05
4,phi = 0,1.374180,2.640888,-37.781854,0.000000,1.286006,-1.464900,0.476290,1.029177,2.107104,4.97e-04
5,phi = 0,2.114271,3.594187,-44.186084,0.000000,1.342381,-1.462503,0.473935,1.223572,2.104905,2.70e-03
6,beta = 0,2.114271,3.641474,-44.416054,-70.518327,1.344039,-1.462868,0.474133,-0.000027,2.102429,5.17e-03
7,beta = 0,2.470651,4.041325,-46.103843,-73.563843,1.354670,-1.463857,0.474962,-0.000026,2.107168,4.33e-04
8,phi = 0,2.805957,4.408574,-47.386091,0.000000,1.361962,-1.462600,0.474515,1.324868,2.107598,3.19e-06
9,phi = 0,3.421109,5.335061,-49.790344,0.000000,1.375162,-1.462502,0.474173,1.403128,2.107036,5.65e-04
10,beta = 0,3.421109,5.409842,-49.950730,-80.697137,1.375936,-1.462671,0.474259,-0.000011,2.106182,1.42e-03
11,beta = 0,3.821217,5.811639,-50.730153,-82.177869,1.379364,-1.462959,0.474498,-0.000007,2.107489,1.12e-04
12,phi = 0,4.016274,6.229089,-51.430238,0.000000,1.382223,-1.462448,0.474311,1.457676,2.107572,2.91e-05
13,phi = 0,4.638547,6.982689,-52.478515,0.000000,1.386411,-1.462361,0.474169,1.493076,2.107122,4.79e-04
14,beta = 0,4.638547,7.066222,-52.581314,-85.747492,1.386795,-1.462443,0.474203,-0.000006,2.106674,9.27e-04
15,beta = 0,5.082621,7.621816,-53.203879,-86.965274,1.388925,-1.462674,0.474356,-0.000006,2.107496,1.05e-04
