n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.771025,1.896646,-27.721227,0.000000,1.178367,-1.459867,0.467342,0.740762,2.049544,5.79e-02
2,beta = 0,0.771025,1.914248,-28.071477,-43.008358,1.183683,-1.460889,0.467897,-0.000106,2.043007,6.45e-02
3,beta = 0,1.242332,2.391024,-35.257055,-54.723459,1.266034,-1.473752,0.476907,-0.000001,2.107459,2.35e-05
4,phi = 0,1.374169,2.647635,-37.905640,0.000000,1.289553,-1.469536,0.475241,1.032843,2.106986,4.97e-04
5,phi = 0,2.115981,3.601238,-44.286257,0.000000,1.345758,-1.467146,0.472896,1.226697,2.104754,2.73e-03
6,beta = 0,2.115981,3.648859,-44.517030,-70.699210,1.347425,-1.467511,0.473092,-0.000027,2.102283,5.20e-03
7,beta = 0,2.472703,4.053820,-46.218676,-73.772858,1.358163,-1.468512,0.473927,-0.000027,2.107046,4.37e-04
8,phi = 0,2.808800,4.423875,-47.502568,0.000000,1.365471,-1.467265,0.473483,1.328615,2.107478,5.00e-06
9,phi = 0,3.422402,5.345535,-49.883574,0.000000,1.378546,-1.467152,0.473137,1.406203,2.106885,5.98e-04
10,beta = 0,3.422402,5.420410,-50.043561,-80.872872,1.379320,-1.467320,0.473222,-0.000011,2.106030,1.45e-03
11,beta = 0,3.822728,5.832501,-50.838690,-82.385158,1.382822,-1.467619,0.473465,-0.000008,2.107358,1.25e-04
12,phi = 0,4.018520,6.252958,-51.539837,0.000000,1.385686,-1.467113,0.473281,1.461357,2.107455,2.77e-05
13,phi = 0,4.667363,7.043119,-52.625835,0.000000,1.390011,-1.467060,0.473153,1.498085,2.107079,4.03e-04
14,beta = 0,4.667363,7.126342,-52.726726,-86.031107,1.390384,-1.467140,0.473189,-0.000005,2.106647,8.36e-04
15,beta = 0,5.116606,7.651145,-53.307610,-87.169062,1.392361,-1.467340,0.473326,-0.000006,2.107376,1.07e-04
