n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.771670,1.896977,-27.721219,-0.000000,1.177939,-1.458941,0.466262,0.740761,2.043538,5.81e-02
2,beta = 0,0.771670,1.914576,-28.071145,-43.007826,1.183250,-1.459960,0.466816,-0.000106,2.036993,6.46e-02
3,beta = 0,1.243607,2.393464,-35.276084,-54.755338,1.265775,-1.472871,0.475849,-0.000004,2.101543,7.65e-05
4,phi = 0,1.375586,2.650725,-37.926109,0.000000,1.289269,-1.468664,0.474190,1.033449,2.101126,4.94e-04
5,phi = 0,2.118937,3.603650,-44.288459,-0.000000,1.345230,-1.466263,0.471840,1.226765,2.098850,2.77e-03
6,beta = 0,2.118937,3.651320,-44.519070,-70.702871,1.346895,-1.466628,0.472036,-0.000027,2.096383,5.24e-03
7,beta = 0,2.475699,4.059504,-46.230276,-73.793995,1.357680,-1.467643,0.472878,-0.000027,2.101179,4.40e-04
8,phi = 0,2.812327,4.430357,-47.512592,0.000000,1.364965,-1.466401,0.472436,1.328937,2.101613,6.52e-06
9,phi = 0,3.423546,5.344260,-49.870751,0.000000,1.377901,-1.466267,0.472081,1.405779,2.100974,6.45e-04
10,beta = 0,3.423546,5.418704,-50.029781,-80.846781,1.378671,-1.466435,0.472164,-0.000012,2.100115,1.50e-03
11,beta = 0,3.823686,5.841500,-50.844012,-82.395374,1.382256,-1.466748,0.472415,-0.000008,2.101481,1.39e-04
12,phi = 0,4.020086,6.262759,-51.545058,0.000000,1.385114,-1.466246,0.472234,1.461533,2.101594,2.53e-05
13,phi = 0,4.690097,7.051251,-52.624300,0.000000,1.389400,-1.466192,0.472107,1.498033,2.101210,4.10e-04
14,beta = 0,4.690097,7.146618,-52.739541,-86.056197,1.389826,-1.466283,0.472147,-0.000006,2.100807,8.13e-04
15,beta = 0,5.149122,7.663422,-53.310579,-87.174809,1.391767,-1.466483,0.472283,-0.000004,2.101542,7.72e-05
16,phi = 0,5.371984,8.112039,-53.746659,0.000000,1.393147,-1.466248,0.472199,1.536484,2.101606,1.36e-05
17,phi = 0,6.062473,8.977234,-54.462343,0.000000,1.395344,-1.466280,0.472166,1.561274,2.101532,8.80e-05
18,beta = 0,6.062473,9.075746,-54.535784,-89.600967,1.395555,-1.466325,0.472187,-0.000002,2.101327,2.93e-04
19,beta = 0,6.536578,9.503158,-54.835067,-90.199076,1.396365,-1.466396,0.472241,-0.000001,2.101606,1.34e-05
20,phi = 0,6.776869,9.968815,-55.129558,0.000000,1.397123,-1.466261,0.472191,1.584581,2.101619,1.08e-06
21,phi = 0,7.512343,11.028653,-55.709286,0.000000,1.398561,-1.466324,0.472197,1.604991,2.101682,6.28e-05
22,beta = 0,7.512343,11.137206,-55.763148,-92.068311,1.398685,-1.466345,0.472209,-0.000001,2.101566,5.32e-05
23,beta = 0,7.769050,11.352369,-55.864583,-92.273986,1.398910,-1.466339,0.472214,-0.000002,2.101585,3.46e-05
24,phi = 0,8.043953,11.829555,-56.078278,0.000000,1.399375,-1.466264,0.472187,1.618059,2.101614,5.21e-06
25,phi = 0,8.847735,12.886127,-56.494298,0.000000,1.400248,-1.466308,0.472193,1.632867,2.101662,4.21e-05
26,beta = 0,8.847735,13.006335,-56.537910,-93.645609,1.400334,-1.466322,0.472201,-0.000000,2.101590,2.98e-05
27,beta = 0,9.118598,13.207118,-56.607490,-93.788062,1.400467,-1.466318,0.472203,-0.000001,2.101597,2.27e-05
28,phi = 0,9.409510,13.692655,-56.768563,0.000000,1.400770,-1.466270,0.472186,1.642672,2.101617,2.43e-06
29,phi = 0,9.977729,14.385090,-56.979549,0.000000,1.401160,-1.466268,0.472176,1.650239,2.101579,4.07e-05
30,beta = 0,9.977729,14.514113,-57.016681,-94.628215,1.401227,-1.466281,0.472182,-0.000001,2.101525,9.43e-05
31,beta = 0,10.553241,15.065412,-57.168156,-94.940346,1.401487,-1.466309,0.472199,-0.000000,2.101613,6.65e-06
32,phi = 0,10.851447,15.557262,-57.293678,-0.000000,1.401694,-1.466275,0.472187,1.661544,2.101622,2.61e-06
33,phi = 0,11.460546,16.489864,-57.511469,0.000000,1.402046,-1.466287,0.472186,1.669409,2.101625,5.25e-06
34,beta = 0,11.460546,16.641094,-57.544800,-95.719199,1.402098,-1.466297,0.472191,-0.000000,2.101595,2.47e-05
35,beta = 0,11.771440,16.926124,-57.605171,-95.844410,1.402188,-1.466297,0.472194,-0.000000,2.101606,1.40e-05
36,phi = 0,12.069375,17.422894,-57.706240,0.000000,1.402338,-1.466275,0.472186,1.676462,2.101619,9.31e-07
37,phi = 0,12.670200,18.143423,-57.842796,0.000000,1.402536,-1.466276,0.472182,1.681418,2.101604,1.52e-05
38,beta = 0,12.670200,18.290695,-57.869456,-96.393651,1.402574,-1.466284,0.472186,-0.000000,2.101579,4.04e-05
39,beta = 0,12.973091,18.788521,-57.956429,-96.574817,1.402693,-1.466295,0.472193,-0.000000,2.101616,3.22e-06
40,phi = 0,13.310791,19.289251,-58.039267,0.000000,1.402804,-1.466276,0.472186,1.688564,2.101619,4.57e-07
41,phi = 0,13.991279,19.945621,-58.141091,0.000000,1.402938,-1.466276,0.472183,1.692274,2.101606,1.39e-05
42,beta = 0,13.991279,20.120191,-58.167184,-97.014719,1.402972,-1.466283,0.472185,-0.000000,2.101587,3.22e-05
43,beta = 0,14.334067,20.652175,-58.243962,-97.175274,1.403067,-1.466291,0.472191,-0.000000,2.101614,5.18e-06
44,phi = 0,14.690311,21.156150,-58.313041,0.000000,1.403151,-1.466277,0.472186,1.698552,2.101618,1.29e-06
45,phi = 0,15.371956,21.926520,-58.412403,0.000000,1.403270,-1.466280,0.472185,1.702186,2.101614,5.12e-06
46,beta = 0,15.371956,22.090341,-58.432731,-97.570735,1.403294,-1.466285,0.472187,-0.000000,2.101601,1.83e-05
47,beta = 0,15.697357,22.516767,-58.484032,-97.678382,1.403353,-1.466288,0.472189,-0.000000,2.101614,5.15e-06
48,phi = 0,16.027875,23.023451,-58.542601,0.000000,1.403418,-1.466278,0.472186,1.706956,2.101619,7.45e-07
49,phi = 0,16.694003,23.766541,-58.623826,0.000000,1.403508,-1.466280,0.472185,1.709935,2.101615,4.75e-06
50,beta = 0,16.694003,23.938033,-58.641927,-98.010161,1.403527,-1.466284,0.472187,-0.000000,2.101605,1.51e-05
51,beta = 0,17.029613,24.382085,-58.687452,-98.105952,1.403575,-1.466287,0.472189,-0.000000,2.101615,4.25e-06
52,phi = 0,17.370161,24.891066,-58.737685,0.000000,1.403627,-1.466279,0.472186,1.714118,2.101619,5.89e-07
53,phi = 0,18.056416,25.682952,-58.811779,0.000000,1.403702,-1.466281,0.472185,1.716843,2.101618,2.06e-06
54,beta = 0,18.056416,25.862152,-58.827993,-98.402042,1.403719,-1.466284,0.472187,-0.000000,2.101610,9.81e-06
55,beta = 0,18.402123,26.247978,-58.861955,-98.473679,1.403752,-1.466285,0.472188,-0.000000,2.101615,4.18e-06
56,phi = 0,18.753626,26.758929,-58.905504,0.000000,1.403794,-1.466280,0.472186,1.720294,2.101619,1.11e-07
57,phi = 0,19.464191,27.684385,-58.980264,0.000000,1.403864,-1.466283,0.472186,1.723050,2.101621,1.87e-06
58,beta = 0,19.464191,27.873763,-58.995050,-98.754726,1.403878,-1.466285,0.472188,-0.000000,2.101616,3.98e-06
59,beta = 0,19.823252,28.114330,-59.013345,-98.793403,1.403894,-1.466285,0.472188,-0.000000,2.101616,3.29e-06
60,phi = 0,20.220295,28.626992,-59.051444,0.000000,1.403929,-1.466281,0.472186,1.725676,2.101621,1.07e-06
61,phi = 0,21.014381,29.953485,-59.144043,0.000000,1.404010,-1.466284,0.472187,1.729097,2.101626,6.63e-06
62,phi = 0,21.418291,30.495218,-59.179523,0.000000,1.404040,-1.466280,0.472186,1.730409,2.101619,2.65e-07
63,phi = 0,22.205843,31.554852,-59.245426,0.000000,1.404094,-1.466283,0.472187,1.732847,2.101623,3.40e-06
64,beta = 0,22.205843,31.763652,-59.258003,-99.311490,1.404104,-1.466285,0.472188,-0.000000,2.101619,6.47e-07
65,beta = 0,22.589487,31.848096,-59.262969,-99.322024,1.404108,-1.466284,0.472188,-0.000000,2.101619,9.77e-07
66,phi = 0,22.976342,32.363577,-59.292912,-0.000000,1.404132,-1.466280,0.472186,1.734605,2.101620,3.66e-07
67,phi = 0,23.378623,33.089293,-59.333366,0.000000,1.404164,-1.466281,0.472186,1.736104,2.101618,1.50e-06
68,beta = 0,23.378623,33.313062,-59.345548,-99.497298,1.404173,-1.466283,0.472187,-0.000000,2.101615,4.71e-06
69,beta = 0,23.780905,33.715395,-59.366943,-99.542742,1.404190,-1.466283,0.472187,-0.000000,2.101617,2.62e-06
70,phi = 0,24.174258,34.232051,-59.393740,0.000000,1.404210,-1.466281,0.472186,1.738342,2.101620,4.92e-07
71,phi = 0,24.972619,35.486027,-59.455513,0.000000,1.404255,-1.466283,0.472187,1.740634,2.101623,3.76e-06
72,phi = 0,25.384537,36.100619,-59.484228,0.000000,1.404276,-1.466281,0.472186,1.741700,2.101619,2.65e-07
73,phi = 0,26.206183,37.154486,-59.531221,0.000000,1.404309,-1.466282,0.472187,1.743446,2.101622,2.01e-06
74,beta = 0,26.206183,37.385225,-59.541241,-99.913440,1.404315,-1.466283,0.472187,-0.000000,2.101619,2.98e-07
75,phi = 0,26.615911,37.969268,-59.565861,0.000000,1.404332,-1.466281,0.472186,1.744734,2.101620,6.24e-08
76,beta = 0,26.615911,37.450610,-59.544020,-99.919360,1.404317,-1.466283,0.472187,-0.000000,2.101619,4.69e-07
77,phi = 0,27.473040,38.853440,-59.601622,0.000000,1.404356,-1.466282,0.472186,1.746063,2.101620,3.81e-07
78,beta = 0,27.473040,39.116545,-59.612040,-100.064272,1.404363,-1.466283,0.472187,-0.000000,2.101618,1.15e-06
79,beta = 0,27.920440,39.318473,-59.619868,-100.080958,1.404368,-1.466283,0.472187,-0.000000,2.101618,1.19e-06
80,phi = 0,28.367840,39.837987,-59.639759,0.000000,1.404381,-1.466281,0.472186,1.747482,2.101620,1.79e-07
81,phi = 0,28.820936,40.752506,-59.673381,0.000000,1.404402,-1.466282,0.472186,1.748734,2.101620,5.43e-07
82,beta = 0,28.820936,41.021105,-59.683053,-100.215706,1.404408,-1.466283,0.472187,-0.000000,2.101619,7.66e-07
83,phi = 0,29.274033,41.706766,-59.707052,0.000000,1.404423,-1.466281,0.472186,1.749988,2.101620,3.55e-08
84,beta = 0,29.274033,41.186472,-59.688888,-100.228156,1.404412,-1.466283,0.472187,-0.000000,2.101619,8.67e-07
85,phi = 0,30.148825,42.648585,-59.738662,0.000000,1.404442,-1.466282,0.472186,1.751166,2.101620,7.00e-07
86,beta = 0,30.148825,42.890267,-59.746611,-100.351367,1.404447,-1.466283,0.472187,-0.000000,2.101619,6.46e-07
87,beta = 0,30.570521,43.054591,-59.751916,-100.362695,1.404450,-1.466282,0.472187,-0.000000,2.101619,7.39e-07
88,phi = 0,31.010951,43.575598,-59.768551,0.000000,1.404460,-1.466281,0.472186,1.752280,2.101620,2.08e-07
89,phi = 0,31.468723,44.456089,-59.795685,0.000000,1.404476,-1.466282,0.472186,1.753291,2.101620,2.71e-07
90,beta = 0,31.468723,44.729631,-59.803958,-100.473873,1.404481,-1.466282,0.472187,-0.000000,2.101619,7.20e-07
91,beta = 0,31.926496,44.922816,-59.809692,-100.486128,1.404484,-1.466282,0.472187,-0.000000,2.101619,7.68e-07
92,phi = 0,32.384268,45.444476,-59.825018,-0.000000,1.404492,-1.466281,0.472186,1.754386,2.101620,2.90e-08
93,phi = 0,32.870194,46.448714,-59.853408,0.000000,1.404508,-1.466282,0.472186,1.755445,2.101620,7.21e-07
94,beta = 0,32.870194,46.749132,-59.861747,-100.597421,1.404513,-1.466282,0.472187,-0.000000,2.101619,1.03e-07
95,phi = 0,33.356119,47.313396,-59.876971,0.000000,1.404521,-1.466281,0.472186,1.756325,2.101619,2.28e-07
96,beta = 0,33.356119,46.791133,-59.862891,-100.599869,1.404513,-1.466282,0.472187,-0.000000,2.101619,1.48e-07
97,phi = 0,34.364754,48.657426,-59.911876,0.000000,1.404540,-1.466282,0.472187,1.757628,2.101621,1.23e-06
98,phi = 0,34.809900,49.182350,-59.925004,0.000000,1.404547,-1.466281,0.472186,1.758119,2.101620,1.38e-07
99,phi = 0,35.715999,50.607921,-59.959276,0.000000,1.404564,-1.466282,0.472187,1.759399,2.101621,1.27e-06
