n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.656150,1.755403,-24.579081,0.000000,1.124803,-1.445863,0.466897,0.653816,2.016135,9.92e-02
2,beta = 0,0.656150,1.769326,-24.909509,-37.988270,1.130638,-1.446503,0.467170,-0.000117,2.008568,1.07e-01
3,beta = 0,1.120028,2.380114,-35.036366,-54.356545,1.260518,-1.466896,0.480025,-0.000012,2.115045,2.56e-04
4,phi = 0,1.372391,2.632209,-37.668152,0.000000,1.283863,-1.462739,0.478390,1.025813,2.114804,4.97e-04
5,phi = 0,2.109323,3.586193,-44.112568,-0.000000,1.340670,-1.460351,0.476035,1.221280,2.112683,2.62e-03
6,beta = 0,2.109323,3.633186,-44.342180,-70.386093,1.342324,-1.460715,0.476234,-0.000027,2.110199,5.10e-03
7,beta = 0,2.465559,4.025293,-46.007598,-73.388813,1.352819,-1.461678,0.477051,-0.000025,2.114879,4.21e-04
8,phi = 0,2.799680,4.389556,-47.290704,0.000000,1.360127,-1.460406,0.476599,1.321803,2.115300,7.75e-07
9,phi = 0,3.370016,5.270612,-49.615118,0.000000,1.372992,-1.460224,0.476208,1.397357,2.114507,7.93e-04
10,beta = 0,3.370016,5.335186,-49.756685,-80.330308,1.373687,-1.460379,0.476284,-0.000010,2.113555,1.75e-03
11,beta = 0,3.754736,5.785548,-50.643419,-82.012675,1.377624,-1.460748,0.476570,-0.000011,2.115112,1.88e-04
12,phi = 0,4.146248,6.199765,-51.349812,0.000000,1.380521,-1.460250,0.476395,1.454977,2.115301,3.00e-07
13,phi = 0,4.802834,7.248397,-52.757467,0.000000,1.386026,-1.460418,0.476370,1.502569,2.115430,1.30e-04
14,beta = 0,4.802834,7.335566,-52.858309,-86.288060,1.386377,-1.460481,0.476407,-0.000003,2.115046,2.55e-04
15,beta = 0,5.026476,7.585512,-53.128082,-86.816485,1.387263,-1.460488,0.476440,-0.000005,2.115209,9.12e-05
16,phi = 0,5.487283,8.026940,-53.567484,0.000000,1.388663,-1.460253,0.476358,1.530311,2.115304,2.91e-06
17,phi = 0,5.961918,8.795435,-54.221089,0.000000,1.390695,-1.460245,0.476304,1.552893,2.115120,1.81e-04
18,beta = 0,5.961918,8.895282,-54.298293,-89.127872,1.390921,-1.460295,0.476325,-0.000003,2.114898,4.02e-04
19,beta = 0,6.458184,9.403287,-54.663765,-89.856501,1.391925,-1.460394,0.476393,-0.000002,2.115257,4.39e-05
20,phi = 0,6.716726,9.861662,-54.960438,0.000000,1.392695,-1.460267,0.476347,1.578655,2.115298,3.05e-06
21,phi = 0,7.463757,10.938308,-55.560453,0.000000,1.394191,-1.460335,0.476356,1.599737,2.115377,7.68e-05
22,beta = 0,7.463757,11.044833,-55.614186,-91.766816,1.394315,-1.460355,0.476368,-0.000001,2.115257,4.39e-05
23,beta = 0,7.720330,11.230486,-55.703159,-91.946880,1.394513,-1.460346,0.476370,-0.000002,2.115266,3.49e-05
24,phi = 0,7.988155,11.700352,-55.917886,0.000000,1.394983,-1.460270,0.476343,1.612371,2.115296,4.69e-06
25,phi = 0,8.778044,12.758132,-56.342914,0.000000,1.395881,-1.460316,0.476350,1.627469,2.115347,4.65e-05
26,beta = 0,8.778044,12.875907,-56.386480,-93.336085,1.395968,-1.460330,0.476358,-0.000000,2.115273,2.81e-05
27,beta = 0,9.046898,13.063241,-56.452676,-93.471348,1.396095,-1.460324,0.476360,-0.000001,2.115278,2.30e-05
28,phi = 0,9.332874,13.541420,-56.614666,0.000000,1.396401,-1.460276,0.476342,1.637166,2.115298,2.16e-06
29,phi = 0,9.893119,14.230488,-56.829077,0.000000,1.396801,-1.460273,0.476332,1.644841,2.115259,4.19e-05
30,beta = 0,9.893119,14.357209,-56.866313,-94.318953,1.396868,-1.460287,0.476338,-0.000001,2.115204,9.71e-05
31,beta = 0,10.462585,14.899543,-57.018481,-94.631902,1.397131,-1.460315,0.476355,-0.000000,2.115294,6.74e-06
32,phi = 0,10.757783,15.384007,-57.144780,-0.000000,1.397341,-1.460280,0.476343,1.656180,2.115303,2.70e-06
33,phi = 0,11.360630,16.306035,-57.364758,0.000000,1.397699,-1.460293,0.476342,1.664109,2.115306,5.08e-06
34,beta = 0,11.360630,16.454671,-57.398228,-95.415650,1.397751,-1.460303,0.476347,-0.000000,2.115275,2.58e-05
35,beta = 0,11.668280,16.738263,-57.459601,-95.542693,1.397844,-1.460303,0.476350,-0.000001,2.115286,1.44e-05
36,phi = 0,11.962885,17.227628,-57.561323,0.000000,1.397995,-1.460281,0.476342,1.671213,2.115300,1.00e-06
37,phi = 0,12.557085,17.935548,-57.698444,0.000000,1.398196,-1.460282,0.476338,1.676179,2.115284,1.64e-05
38,beta = 0,12.557085,18.080222,-57.725215,-96.093642,1.398235,-1.460290,0.476341,-0.000000,2.115258,4.26e-05
39,beta = 0,12.856680,18.578670,-57.814236,-96.278721,1.398358,-1.460301,0.476349,-0.000000,2.115298,2.84e-06
40,phi = 0,13.188818,19.071980,-57.897638,0.000000,1.398469,-1.460281,0.476342,1.683411,2.115300,1.88e-07
41,phi = 0,13.856560,19.701791,-57.997549,0.000000,1.398602,-1.460281,0.476338,1.687045,2.115285,1.57e-05
42,beta = 0,13.856560,19.870922,-58.023422,-96.714522,1.398636,-1.460287,0.476341,-0.000000,2.115265,3.53e-05
43,beta = 0,14.192163,20.420333,-58.104597,-96.883949,1.398738,-1.460297,0.476347,-0.000000,2.115297,3.91e-06
44,phi = 0,14.536700,20.916876,-58.174177,0.000000,1.398823,-1.460282,0.476342,1.693481,2.115300,9.77e-07
45,phi = 0,15.203402,21.614665,-58.266339,0.000000,1.398934,-1.460284,0.476340,1.696846,2.115292,8.72e-06
46,beta = 0,15.203402,21.775784,-58.286862,-97.265061,1.398959,-1.460289,0.476342,-0.000000,2.115277,2.32e-05
47,beta = 0,15.525567,22.262937,-58.347024,-97.391057,1.399028,-1.460294,0.476346,-0.000000,2.115297,3.76e-06
48,phi = 0,15.888219,22.762181,-58.405913,0.000000,1.399094,-1.460284,0.476342,1.701949,2.115300,1.10e-06
49,phi = 0,16.583384,23.562053,-58.495050,0.000000,1.399193,-1.460287,0.476341,1.705213,2.115298,2.35e-06
50,beta = 0,16.583384,23.730942,-58.513195,-97.739607,1.399213,-1.460291,0.476343,-0.000000,2.115288,1.25e-05
51,beta = 0,16.915897,24.106271,-58.552364,-97.821879,1.399254,-1.460292,0.476345,-0.000000,2.115296,5.09e-06
52,phi = 0,17.253516,24.607802,-58.602941,0.000000,1.399307,-1.460285,0.476342,1.709169,2.115300,3.30e-07
53,phi = 0,17.934415,25.456747,-58.683961,0.000000,1.399390,-1.460288,0.476342,1.712144,2.115301,1.32e-08
54,beta = 0,17.934415,25.633763,-58.700269,-98.132930,1.399406,-1.460291,0.476343,-0.000000,2.115293,7.75e-06
55,beta = 0,18.277695,25.950177,-58.728629,-98.192646,1.399434,-1.460291,0.476344,-0.000000,2.115296,4.45e-06
56,phi = 0,18.627674,26.453672,-58.772483,0.000000,1.399476,-1.460285,0.476342,1.715397,2.115301,3.21e-07
57,phi = 0,19.371220,27.483433,-58.857137,0.000000,1.399557,-1.460289,0.476343,1.718512,2.115305,4.35e-06
58,beta = 0,19.371220,27.698233,-58.874178,-98.499464,1.399572,-1.460292,0.476344,-0.000000,2.115299,1.22e-06
59,beta = 0,19.764788,27.794543,-58.881610,-98.515149,1.399579,-1.460291,0.476344,-0.000000,2.115299,1.72e-06
60,phi = 0,20.158356,28.299742,-58.920065,0.000000,1.399614,-1.460285,0.476342,1.720830,2.115301,3.58e-07
61,phi = 0,20.551924,29.053616,-58.974727,0.000000,1.399663,-1.460286,0.476342,1.722846,2.115299,1.79e-06
62,beta = 0,20.551924,29.268966,-58.989926,-98.743899,1.399676,-1.460289,0.476343,-0.000000,2.115294,6.40e-06
63,beta = 0,20.945491,29.639289,-59.015387,-98.797720,1.399698,-1.460289,0.476343,-0.000000,2.115297,3.79e-06
64,phi = 0,21.318027,30.145980,-59.049315,0.000000,1.399727,-1.460286,0.476342,1.725598,2.115301,6.35e-07
65,phi = 0,22.077973,31.317376,-59.123490,0.000000,1.399789,-1.460289,0.476343,1.728337,2.115306,4.94e-06
66,phi = 0,22.465384,31.992351,-59.163832,0.000000,1.399821,-1.460286,0.476342,1.729828,2.115300,3.81e-07
67,phi = 0,23.230446,32.844093,-59.212222,0.000000,1.399859,-1.460287,0.476342,1.731618,2.115301,2.66e-07
68,beta = 0,23.230446,33.048286,-59.223523,-99.238370,1.399868,-1.460289,0.476343,-0.000000,2.115298,3.02e-06
69,beta = 0,23.608098,33.329656,-59.238745,-99.270648,1.399879,-1.460289,0.476343,-0.000000,2.115298,2.27e-06
70,phi = 0,24.039689,33.838837,-59.265716,0.000000,1.399900,-1.460287,0.476342,1.733598,2.115301,8.80e-07
71,phi = 0,24.471279,34.467416,-59.297925,0.000000,1.399924,-1.460286,0.476342,1.734791,2.115299,2.06e-06
72,beta = 0,24.471279,34.715428,-59.310334,-99.422532,1.399933,-1.460288,0.476342,-0.000000,2.115296,4.90e-06
73,beta = 0,24.902870,35.175189,-59.332809,-99.470247,1.399949,-1.460288,0.476343,-0.000000,2.115298,2.66e-06
74,phi = 0,25.301913,35.685419,-59.357131,0.000000,1.399967,-1.460287,0.476342,1.736985,2.115301,5.27e-07
75,phi = 0,26.104508,36.985069,-59.415998,0.000000,1.400008,-1.460288,0.476343,1.739168,2.115304,3.50e-06
76,phi = 0,26.529795,37.532083,-59.439535,0.000000,1.400024,-1.460286,0.476342,1.740041,2.115301,7.85e-08
77,phi = 0,27.397768,38.753013,-59.489704,0.000000,1.400058,-1.460288,0.476343,1.741904,2.115303,2.60e-06
