n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.655165,1.755221,-24.605839,0.000000,1.126494,-1.449384,0.467972,0.654552,2.024809,9.91e-02
2,beta = 0,0.655165,1.769159,-24.937017,-38.031667,1.132351,-1.450027,0.468247,-0.000117,2.017230,1.07e-01
3,beta = 0,1.118281,2.378789,-35.059430,-54.395053,1.262470,-1.470363,0.481071,-0.000014,2.123615,3.01e-04
4,phi = 0,1.370326,2.630908,-37.697008,0.000000,1.285955,-1.466213,0.479442,1.026666,2.123417,4.98e-04
5,phi = 0,2.105858,3.586063,-44.157216,0.000000,1.343042,-1.463845,0.477098,1.222672,2.121344,2.57e-03
6,beta = 0,2.105858,3.633145,-44.387452,-70.467109,1.344704,-1.464209,0.477297,-0.000027,2.118856,5.06e-03
7,beta = 0,2.462364,4.022939,-46.045212,-73.457160,1.355178,-1.465160,0.478106,-0.000025,2.123501,4.15e-04
8,phi = 0,2.796141,4.387370,-47.331438,0.000000,1.362527,-1.463882,0.477652,1.323111,2.123915,6.98e-08
9,phi = 0,3.367494,5.275711,-49.674868,0.000000,1.375522,-1.463723,0.477272,1.399323,2.123171,7.44e-04
10,beta = 0,3.367494,5.340429,-49.816610,-80.443480,1.376218,-1.463877,0.477348,-0.000010,2.122221,1.69e-03
11,beta = 0,3.751767,5.782341,-50.686832,-82.095451,1.380088,-1.464230,0.477625,-0.000011,2.123730,1.85e-04
12,phi = 0,3.946855,6.196805,-51.394447,0.000000,1.382999,-1.463729,0.477449,1.456475,2.123911,4.46e-06
13,phi = 0,4.802149,7.260314,-52.821494,0.000000,1.388586,-1.463907,0.477431,1.504752,2.124073,1.58e-04
14,beta = 0,4.802149,7.348391,-52.923182,-86.414944,1.388940,-1.463969,0.477467,-0.000003,2.123688,2.27e-04
15,beta = 0,5.027559,7.581520,-53.174207,-86.907009,1.389765,-1.463966,0.477494,-0.000005,2.123816,9.88e-05
16,phi = 0,5.483528,8.023220,-53.615308,0.000000,1.391175,-1.463730,0.477412,1.531957,2.123916,9.06e-07
17,phi = 0,5.960927,8.810618,-54.284044,0.000000,1.393257,-1.463734,0.477363,1.555077,2.123754,1.62e-04
18,beta = 0,5.960927,8.911342,-54.361760,-89.254173,1.393485,-1.463784,0.477385,-0.000003,2.123537,3.79e-04
19,beta = 0,6.463906,9.398521,-54.712223,-89.953340,1.394449,-1.463877,0.477449,-0.000002,2.123879,3.64e-05
20,phi = 0,6.728186,9.857209,-55.009258,0.000000,1.395221,-1.463749,0.477403,1.580365,2.123916,2.46e-07
21,phi = 0,7.236248,10.571655,-55.421887,0.000000,1.396275,-1.463734,0.477372,1.594854,2.123802,1.13e-04
22,beta = 0,7.236248,10.677832,-55.478557,-91.492857,1.396413,-1.463763,0.477384,-0.000002,2.123667,2.48e-04
23,beta = 0,7.743273,11.224973,-55.752728,-92.047241,1.397046,-1.463828,0.477426,-0.000001,2.123886,2.97e-05
