n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.655185,1.755718,-24.649139,0.000000,1.128038,-1.452410,0.466934,0.655742,2.023017,9.91e-02
2,beta = 0,0.655185,1.769701,-24.981366,-38.101649,1.133921,-1.453049,0.467206,-0.000118,2.015399,1.07e-01
3,beta = 0,1.118300,2.382699,-35.145966,-54.538866,1.264819,-1.473421,0.480035,-0.000010,2.121891,2.03e-04
4,phi = 0,1.370705,2.636521,-37.790302,0.000000,1.288385,-1.469247,0.478392,1.029427,2.121593,5.01e-04
5,phi = 0,2.107869,3.591673,-44.228533,0.000000,1.345282,-1.466881,0.476054,1.224895,2.119485,2.61e-03
6,beta = 0,2.107869,3.639002,-44.459288,-70.595742,1.346949,-1.467245,0.476252,-0.000027,2.117002,5.09e-03
7,beta = 0,2.464510,4.033328,-46.129810,-73.611046,1.357514,-1.468208,0.477067,-0.000026,2.121672,4.22e-04
8,phi = 0,2.798954,4.399955,-47.416745,0.000000,1.364869,-1.466939,0.476616,1.325853,2.122093,1.08e-06
9,phi = 0,3.370154,5.284326,-49.740830,0.000000,1.377751,-1.466766,0.476232,1.401496,2.121321,7.72e-04
10,beta = 0,3.370154,5.349398,-49.882894,-80.568762,1.378450,-1.466920,0.476307,-0.000010,2.120373,1.72e-03
11,beta = 0,3.755309,5.799543,-50.765607,-82.245778,1.382378,-1.467283,0.476589,-0.000011,2.121907,1.87e-04
12,phi = 0,4.147037,6.216354,-51.473597,0.000000,1.385289,-1.466786,0.476415,1.459132,2.122094,1.01e-07
13,phi = 0,4.806030,7.273670,-52.885564,0.000000,1.390815,-1.466959,0.476394,1.506938,2.122235,1.41e-04
14,beta = 0,4.806030,7.361782,-52.986919,-86.539714,1.391168,-1.467021,0.476430,-0.000003,2.121853,2.41e-04
15,beta = 0,5.030809,7.605608,-53.248531,-87.052927,1.392029,-1.467023,0.476460,-0.000005,2.122000,9.42e-05
16,phi = 0,5.490298,8.049737,-53.688960,0.000000,1.393435,-1.466790,0.476378,1.534494,2.122096,2.21e-06
17,phi = 0,5.966681,8.828931,-54.347789,0.000000,1.395485,-1.466788,0.476327,1.557291,2.121924,1.69e-04
18,beta = 0,5.966681,8.929648,-54.425181,-89.380483,1.395712,-1.466837,0.476349,-0.000003,2.121707,3.87e-04
19,beta = 0,6.466400,9.429527,-54.782888,-90.094702,1.396696,-1.466933,0.476415,-0.000002,2.122053,4.04e-05
20,phi = 0,6.727926,9.890673,-55.079821,0.000000,1.397467,-1.466806,0.476369,1.582837,2.122092,1.61e-06
21,phi = 0,7.478407,10.996518,-55.691723,0.000000,1.398993,-1.466877,0.476380,1.604370,2.122182,8.78e-05
22,beta = 0,7.478407,11.103846,-55.745391,-92.032332,1.399116,-1.466894,0.476391,-0.000001,2.122060,3.36e-05
23,beta = 0,7.738380,11.262898,-55.820933,-92.185464,1.399284,-1.466885,0.476392,-0.000001,2.122061,3.28e-05
24,phi = 0,8.003119,11.735576,-56.035769,0.000000,1.399755,-1.466809,0.476364,1.616550,2.122090,3.56e-06
25,phi = 0,8.789600,12.817900,-56.467875,0.000000,1.400669,-1.466856,0.476373,1.631924,2.122146,5.23e-05
26,beta = 0,8.789600,12.936312,-56.511342,-93.591257,1.400755,-1.466869,0.476380,-0.000000,2.122071,2.27e-05
27,beta = 0,9.060836,13.101838,-56.569377,-93.710032,1.400866,-1.466862,0.476381,-0.000001,2.122072,2.17e-05
28,phi = 0,9.343777,13.582855,-56.731473,-0.000000,1.401173,-1.466814,0.476364,1.641344,2.122092,1.34e-06
29,phi = 0,9.901296,14.289148,-56.949910,0.000000,1.401580,-1.466813,0.476354,1.649175,2.122055,3.83e-05
30,beta = 0,9.901296,14.416821,-56.987174,-94.567479,1.401648,-1.466827,0.476360,-0.000001,2.122002,9.22e-05
31,beta = 0,10.474353,14.944329,-57.134362,-94.870648,1.401903,-1.466854,0.476377,-0.000000,2.122089,4.83e-06
32,phi = 0,10.772831,15.431653,-57.260737,0.000000,1.402113,-1.466818,0.476364,1.660356,2.122097,2.89e-06
33,phi = 0,11.374940,16.387435,-57.487149,0.000000,1.402481,-1.466833,0.476364,1.668530,2.122103,9.70e-06
34,beta = 0,11.374940,16.534438,-57.519986,-95.667766,1.402532,-1.466843,0.476369,-0.000000,2.122072,2.15e-05
35,beta = 0,11.678571,16.789247,-57.574709,-95.781223,1.402615,-1.466841,0.476371,-0.000000,2.122080,1.37e-05
36,phi = 0,12.009712,17.281488,-57.676310,0.000000,1.402767,-1.466820,0.476363,1.675377,2.122094,1.96e-07
37,phi = 0,12.642721,18.146054,-57.841643,0.000000,1.403008,-1.466827,0.476362,1.681376,2.122093,1.03e-06
38,beta = 0,12.642721,18.293109,-57.868358,-96.391362,1.403046,-1.466835,0.476366,-0.000000,2.122069,2.43e-05
39,beta = 0,12.944588,18.635857,-57.928457,-96.516536,1.403128,-1.466837,0.476369,-0.000000,2.122084,9.35e-06
40,phi = 0,13.250529,19.132051,-58.011934,0.000000,1.403240,-1.466820,0.476363,1.687568,2.122093,1.15e-06
41,phi = 0,13.868329,19.815474,-58.119823,0.000000,1.403384,-1.466820,0.476360,1.691499,2.122081,1.28e-05
42,beta = 0,13.868329,19.969859,-58.143237,-96.964671,1.403414,-1.466827,0.476363,-0.000000,2.122062,3.23e-05
43,beta = 0,14.180189,20.483715,-58.218627,-97.122271,1.403509,-1.466836,0.476368,-0.000000,2.122091,2.82e-06
44,phi = 0,14.523407,20.983154,-58.288249,0.000000,1.403594,-1.466821,0.476363,1.697646,2.122093,6.70e-07
45,phi = 0,15.222765,21.681193,-58.379857,0.000000,1.403705,-1.466822,0.476361,1.700995,2.122085,8.31e-06
46,beta = 0,15.222765,21.866685,-58.403353,-97.509126,1.403733,-1.466828,0.476364,-0.000000,2.122072,2.13e-05
47,beta = 0,15.578905,22.332524,-58.460442,-97.628876,1.403798,-1.466831,0.476367,-0.000000,2.122087,6.67e-06
