n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,ptheta = 0,0.691344,1.468468,80.562123,85.003477,-0.065584,0.000000,0.028206,-1.172319,-0.015101,5.69e-04
2,beta = 0,2.152695,1.285256,75.520971,138.216732,-0.214271,-0.196651,0.084411,0.000175,-0.015259,7.27e-04
3,collision,3.189138,1.000000,68.566137,173.099325,-0.437419,-0.111588,0.025231,0.919275,-0.014532,1.33e-12
4,pphi = 0,3.486833,1.071292,67.759680,174.277675,0.386572,-0.063895,0.000000,0.973810,-0.014622,8.97e-05
5,ptheta = 0,3.799367,1.174578,67.351146,171.236113,0.324377,0.000000,-0.033956,0.937777,-0.014761,2.29e-04
6,beta = 0,5.003540,1.443352,69.510845,122.740302,0.139178,0.069235,-0.087871,0.000028,-0.015377,8.44e-04
7,ptheta = 0,5.968890,1.517943,70.362288,84.941144,0.052217,0.000000,-0.072446,-0.696518,-0.014689,1.57e-04
8,pr = 0,6.668816,1.537424,69.152611,58.022930,0.000000,-0.113175,-0.034593,-1.114148,-0.015064,5.31e-04
9,pphi = 0,7.438656,1.528132,66.436518,51.255542,-0.025729,-0.207936,0.000000,-1.118478,-0.015240,7.07e-04
10,beta = 0,8.907530,1.411956,52.823178,86.235998,-0.141652,-0.406083,0.062097,0.000293,-0.015038,5.06e-04
11,pphi = 0,10.039739,1.186587,38.772066,111.815780,-0.298909,-0.357438,0.000000,0.892961,-0.015077,5.45e-04
12,collision,10.567204,1.000000,31.379936,99.742063,-0.449439,-0.236074,-0.091880,0.897142,-0.014532,5.35e-13
13,beta = 0,11.422827,1.201172,25.464601,38.858961,0.115205,-0.157620,-0.171005,0.000020,-0.017047,2.51e-03
14,pr = 0,11.617999,1.217861,23.555048,11.158810,0.000000,-0.189587,-0.160718,-0.430976,-0.016033,1.50e-03
15,phi = 0,11.813171,1.214430,22.554342,0.000000,-0.043417,-0.212814,-0.149522,-0.598400,-0.016956,2.42e-03
16,pphi = 0,12.698936,1.076379,9.890119,-42.914903,-0.247275,-0.466363,0.000000,-1.008577,-0.016464,1.93e-03
17,collision,13.106437,1.000000,2.489933,-38.464004,-0.327016,-0.564420,0.062410,-0.736520,-0.014532,1.97e-12
18,theta = 0,13.200716,1.023799,0.000000,-35.290814,0.294532,-0.587620,0.077701,-0.615941,-0.015263,7.31e-04
19,beta = 0,13.641590,1.099784,-10.654045,-16.034158,0.155531,-0.624463,0.106490,-0.000116,-0.017356,2.82e-03
20,phi = 0,13.806594,1.129979,-18.361855,0.000000,0.064298,-0.591477,0.092411,0.484934,-0.014879,3.47e-04
21,pr = 0,14.152418,1.138076,-25.690511,12.287450,0.000000,-0.512319,0.050723,0.898888,-0.016280,1.75e-03
22,pphi = 0,14.514059,1.132360,-31.647623,16.542931,-0.037062,-0.419370,0.000000,1.140024,-0.016130,1.60e-03
23,phi = 0,15.088589,1.094058,-39.833962,0.000000,-0.113021,-0.221816,-0.105034,1.090383,-0.015775,1.24e-03
24,collision,15.632543,1.000000,-43.037968,-40.612111,-0.319513,-0.038906,-0.185617,0.479139,-0.014532,5.27e-12
25,ptheta = 0,15.782148,1.036284,-43.161894,-55.540338,0.225382,0.000000,-0.197169,0.222420,-0.015591,1.06e-03
26,beta = 0,15.921962,1.056212,-43.090376,-68.157498,0.152674,0.018715,-0.199463,-0.000000,-0.017335,2.80e-03
27,pr = 0,16.233170,1.075038,-42.752488,-97.259145,0.000000,0.023951,-0.184741,-0.518338,-0.017631,3.10e-03
28,ptheta = 0,16.388775,1.067981,-42.638596,-114.137360,-0.079754,0.000000,-0.161916,-0.816424,-0.017505,2.97e-03
29,collision,17.026295,1.000000,-44.076544,-144.668146,-0.212641,-0.139175,-0.067999,-1.304778,-0.014532,6.83e-12
30,pphi = 0,17.439944,1.055571,-47.212379,-149.896396,0.172962,-0.251693,0.000000,-1.296898,-0.015800,1.27e-03
31,beta = 0,18.316084,1.147608,-63.436852,-108.453616,-0.014140,-0.397764,0.113143,-0.000251,-0.015308,7.76e-04
32,pr = 0,18.316084,1.147379,-62.473217,-111.992625,0.000000,-0.401323,0.112145,-0.099598,-0.016582,2.05e-03
33,pphi = 0,19.408391,1.003606,-76.337042,-62.835367,-0.213836,-0.036860,0.000000,1.353916,-0.014796,2.63e-04
34,collision,19.716401,1.000000,-76.381550,-62.801415,-0.215752,-0.028532,-0.002928,1.356617,-0.014532,6.28e-12
35,ptheta = 0,19.823264,1.012368,-76.404301,-63.158183,0.209209,0.000000,-0.012956,1.351468,-0.015012,4.79e-04
36,beta = 0,21.040039,1.146744,-66.042210,-114.417115,0.002133,0.349229,-0.121715,-0.000038,-0.014674,1.41e-04
37,pr = 0,21.040039,1.146576,-65.920189,-114.960428,0.000000,0.349637,-0.121543,-0.014495,-0.015022,4.90e-04
38,pphi = 0,21.945620,1.027996,-51.637830,-160.571444,-0.202275,0.176064,0.000000,-1.337848,-0.016873,2.34e-03
39,collision,22.268226,1.000000,-50.451331,-159.874244,-0.218961,0.121908,0.030613,-1.365336,-0.014532,6.62e-12
40,ptheta = 0,22.687992,1.063197,-49.461250,-146.633436,0.160795,0.000000,0.102343,-1.166938,-0.016761,2.23e-03
41,pr = 0,23.204181,1.105878,-50.715319,-107.893315,0.000000,-0.088710,0.169965,-0.449320,-0.017086,2.55e-03
42,beta = 0,23.377386,1.092823,-51.687982,-84.016298,-0.111944,-0.078600,0.179324,-0.000021,-0.017742,3.21e-03
43,ptheta = 0,23.703911,1.030172,-52.417059,-52.047216,-0.280653,0.000000,0.160037,0.582593,-0.017732,3.20e-03
44,collision,23.980398,1.000000,-52.365231,-42.800581,-0.335463,0.039300,0.146430,0.742219,-0.014532,4.73e-12
45,pphi = 0,24.948077,1.186774,-43.500772,-6.194504,0.136772,0.369120,0.000000,1.094154,-0.015737,1.20e-03
46,beta = 0,25.986256,1.256555,-25.017638,-38.165369,-0.018602,0.568573,-0.086595,-0.000232,-0.016298,1.77e-03
47,pr = 0,25.986256,1.258070,-26.866586,-33.684653,0.000000,0.563683,-0.086449,0.129082,-0.015025,4.93e-04
48,pphi = 0,26.799629,1.161881,-6.322947,-67.910268,-0.181883,0.463936,0.000000,-1.019555,-0.014537,4.91e-06
49,theta = 0,27.165632,1.090254,0.000000,-61.205593,-0.243244,0.361213,0.069396,-1.068239,-0.015346,8.14e-04
50,collision,27.654442,1.000000,4.946011,-42.579659,-0.359039,0.246964,0.144338,-0.872722,-0.014532,6.59e-12
51,phi = 0,28.071492,1.095330,8.853718,0.000000,0.106581,0.143339,0.207316,-0.232254,-0.015499,9.67e-04
52,beta = 0,28.225013,1.102315,9.637959,14.491489,0.027836,0.135671,0.210000,0.000004,-0.017773,3.24e-03
53,pr = 0,28.225013,1.104428,9.911520,19.625640,0.000000,0.133343,0.210686,0.082397,-0.014611,7.90e-05
54,collision,28.986555,1.000000,15.084347,80.022361,-0.334572,0.248724,0.121812,0.999425,-0.014532,7.07e-12
55,pphi = 0,29.571278,1.135609,24.029811,96.982913,0.203700,0.420741,0.000000,1.053932,-0.015868,1.34e-03
56,beta = 0,30.491508,1.250940,41.863315,66.018054,0.038127,0.510824,-0.088267,0.000351,-0.015905,1.37e-03
57,pr = 0,30.701254,1.254596,45.530770,56.012095,0.000000,0.488218,-0.084358,-0.288166,-0.015933,1.40e-03
58,pphi = 0,31.598332,1.194256,59.155692,29.952239,-0.111812,0.268048,0.000000,-1.206762,-0.015154,6.21e-04
59,ptheta = 0,32.403066,1.074111,63.918526,53.576636,-0.214106,0.000000,0.106352,-0.976515,-0.015178,6.45e-04
60,collision,32.866972,1.000000,63.082769,74.069540,-0.320272,-0.113608,0.144350,-0.585995,-0.014532,9.11e-12
61,beta = 0,33.192102,1.074731,60.452883,101.869615,0.167424,-0.193735,0.161769,0.000047,-0.015462,9.29e-04
62,pr = 0,33.695209,1.107914,56.305235,140.034639,0.000000,-0.179412,0.131494,0.817938,-0.016643,2.11e-03
63,ptheta = 0,34.257796,1.068979,53.298457,170.168685,-0.101132,0.000000,0.027264,1.448937,-0.015041,5.08e-04
64,pphi = 0,34.453555,1.054430,53.545226,170.846964,-0.109648,0.051515,0.000000,1.452297,-0.016913,2.38e-03
65,collision,35.099230,1.000000,56.590519,160.538946,-0.158751,0.216790,-0.089610,1.165630,-0.014532,1.01e-11
66,beta = 0,35.717268,1.036739,65.792904,113.841674,-0.059570,0.296059,-0.158298,0.000149,-0.015611,1.08e-03
67,pr = 0,35.717268,1.041022,63.633593,125.984070,0.000000,0.306582,-0.154890,0.298478,-0.014820,2.88e-04
68,collision,36.241649,1.000000,70.063479,87.969037,-0.190669,0.217373,-0.141414,-0.630694,-0.014532,9.19e-12
69,ptheta = 0,36.872361,1.058665,73.034667,57.059365,0.067382,0.000000,-0.068615,-1.301777,-0.016021,1.49e-03
70,pphi = 0,37.282139,1.080677,70.901347,48.188971,0.033743,-0.185392,0.000000,-1.361521,-0.016250,1.72e-03
71,pr = 0,37.673145,1.088211,65.938036,54.551317,0.000000,-0.337113,0.056288,-1.040570,-0.016247,1.72e-03
72,beta = 0,38.363067,1.051056,52.653632,85.890099,-0.148935,-0.519346,0.109901,0.000034,-0.014648,1.16e-04
73,collision,38.661984,1.000000,45.260122,101.375268,-0.249623,-0.527331,0.094195,0.512105,-0.014532,2.36e-12
74,pphi = 0,39.217657,1.090331,32.573217,115.853863,0.129084,-0.407757,0.000000,1.144332,-0.015845,1.31e-03
75,pr = 0,39.942126,1.145526,22.565412,85.431380,0.000000,-0.207811,-0.140297,0.892357,-0.016384,1.85e-03
76,beta = 0,40.595348,1.075140,18.223837,27.572376,-0.285741,-0.150666,-0.195997,0.000004,-0.015474,9.42e-04
77,collision,40.841125,1.000000,16.438811,4.561795,-0.448478,-0.180304,-0.185366,-0.353763,-0.014532,1.46e-12
78,phi = 0,40.887103,1.018706,15.983997,0.000000,0.412317,-0.190950,-0.180178,-0.421228,-0.014552,1.95e-05
79,theta = 0,42.178838,1.234010,0.000000,-56.870339,0.091992,-0.484354,0.000393,-0.992575,-0.015687,1.15e-03
80,pphi = 0,42.178838,1.233779,0.051458,-56.888582,0.092301,-0.483770,0.000000,-0.994240,-0.015623,1.09e-03
81,pr = 0,42.793686,1.267111,-12.957014,-41.311703,-0.000000,-0.586359,0.072952,-0.380347,-0.015561,1.03e-03
82,beta = 0,42.983206,1.259369,-18.905392,-28.630471,-0.055073,-0.589848,0.081299,-0.000139,-0.015933,1.40e-03
83,pphi = 0,44.016326,1.130950,-37.369015,-1.049548,-0.222004,-0.411727,0.000000,0.998657,-0.015229,6.96e-04
84,collision,44.565134,1.000000,-45.127305,-13.418451,-0.332370,-0.216058,-0.094747,1.018851,-0.014532,2.68e-12
