n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,beta = 0,40.450810,9.776530,79.771587,149.928051,-0.001476,-0.016299,0.004945,0.000000,-0.000062,3.76e-07
2,phi = 0,51.284112,9.762157,79.690122,0.000000,-0.001934,-0.016063,0.004606,-2.612720,0.000271,3.33e-04
3,beta = 0,51.284112,9.766775,79.713146,149.762879,-0.001810,-0.016369,0.004784,0.000000,-0.000070,8.29e-06
4,pphi = 0,79.857722,9.683036,79.476964,-141.049719,-0.002973,-0.004717,0.000000,-5.064006,-0.000062,2.76e-07
5,ptheta = 0,91.915611,9.651937,79.463569,-146.629058,-0.003202,0.000000,-0.001802,-5.160725,-0.000063,1.42e-06
6,phi = 0,109.012303,9.593360,79.498572,0.000000,-0.003836,0.006142,-0.004335,-2.603287,0.000271,3.33e-04
7,beta = 0,109.012303,9.585064,79.506923,149.180877,-0.003947,0.006641,-0.004573,0.000000,-0.000086,2.43e-05
8,beta = 0,119.117028,9.542299,79.551794,149.307398,-0.004550,0.007096,-0.005068,0.000000,-0.000062,5.05e-07
9,ptheta = 0,140.346119,9.436623,79.607065,97.730054,-0.005672,0.000000,-0.003165,-0.902916,-0.000063,1.03e-06
10,pphi = 0,157.494126,9.335296,79.553989,81.884806,-0.006202,-0.009737,-0.000000,-1.176854,-0.000063,1.14e-06
11,beta = 0,194.551630,9.083974,79.067068,147.943977,-0.007988,-0.027080,0.005185,0.000001,-0.000063,1.77e-06
12,phi = 0,204.880419,9.002852,78.882821,0.000000,-0.008704,-0.026581,0.004610,-2.573098,0.000351,4.13e-04
13,beta = 0,204.880419,9.022019,78.924254,147.543659,-0.008551,-0.027052,0.004863,0.000000,-0.000080,1.84e-05
14,pphi = 0,231.125239,8.778993,78.504653,-149.221608,-0.009906,-0.015578,0.000000,-5.159070,-0.000062,4.35e-07
15,phi = 0,251.356510,8.537153,78.344874,0.000000,-0.011207,-0.003942,-0.004891,-2.546897,0.000418,4.79e-04
16,beta = 0,251.356510,8.516884,78.339328,145.911009,-0.011363,-0.003458,-0.005149,0.000000,-0.000089,2.71e-05
17,beta = 0,260.044419,8.423222,78.319372,145.855505,-0.012156,-0.003306,-0.005630,0.000000,-0.000063,1.58e-06
18,pphi = 0,293.066904,8.022605,78.037490,85.438678,-0.014659,-0.022617,0.000000,-1.040814,-0.000062,4.49e-07
19,beta = 0,318.382725,7.585759,77.141592,142.603420,-0.017573,-0.043214,0.005906,0.000002,-0.000064,2.63e-06
20,phi = 0,330.688499,7.353752,76.591333,0.000000,-0.019478,-0.040836,0.004006,-2.462662,0.000637,6.98e-04
21,beta = 0,330.688499,7.385965,76.662991,141.295340,-0.019250,-0.041788,0.004479,0.000001,-0.000144,8.23e-05
22,pphi = 0,342.896393,7.126428,76.139530,-166.016481,-0.020885,-0.032023,0.000000,-5.338793,-0.000064,2.60e-06
23,phi = 0,353.652309,6.866366,75.767189,0.000000,-0.022640,-0.021700,-0.004747,-2.423715,0.000795,8.57e-04
24,beta = 0,353.652309,6.834227,75.729818,138.768061,-0.022908,-0.020739,-0.005243,0.000000,-0.000163,1.02e-04
25,beta = 0,363.679190,6.601743,75.493444,138.132833,-0.025316,-0.019401,-0.006967,0.000000,-0.000064,2.45e-06
26,pphi = 0,382.630258,6.064129,74.670696,88.851297,-0.030606,-0.045021,0.000000,-0.821809,-0.000064,2.27e-06
27,beta = 0,399.141645,5.509612,72.940144,131.401054,-0.037261,-0.073134,0.007363,0.000005,-0.000064,2.90e-06
28,pphi = 0,413.789106,4.974671,71.005177,167.338008,-0.045331,-0.064636,0.000000,0.713463,-0.000063,1.71e-06
29,beta = 0,424.491070,4.322407,69.129783,121.803016,-0.059002,-0.054087,-0.010435,0.000000,-0.000062,2.35e-07
30,pphi = 0,434.891888,3.696309,66.726143,85.586511,-0.077827,-0.098270,0.000000,-0.531204,-0.000066,4.57e-06
31,beta = 0,440.563445,3.131312,62.848816,107.126697,-0.103099,-0.144146,0.009684,0.000086,-0.000076,1.46e-05
32,pphi = 0,444.594194,2.648059,58.636394,122.785428,-0.136378,-0.149850,0.000000,0.432613,-0.000070,9.00e-06
33,beta = 0,449.015884,1.775891,50.441526,81.628825,-0.268795,-0.164130,-0.027873,0.000022,-0.000025,3.63e-05
34,collision,451.065541,1.000000,37.038846,57.621981,-0.686112,-0.311119,-0.010496,-0.001550,-0.000061,1.46e-12
35,beta = 0,451.071363,1.002534,36.972985,57.599710,0.683331,-0.311638,-0.010495,0.000000,-0.000060,1.98e-06
36,beta = 0,453.388940,1.827468,15.488144,23.378091,0.232995,-0.356916,-0.037076,0.000031,-0.000048,1.36e-05
37,phi = 0,454.701159,2.061841,9.046940,0.000000,0.174576,-0.374304,-0.031104,-0.237344,-0.000065,3.10e-06
38,theta = 0,456.968535,2.349981,0.000000,-23.655816,0.124584,-0.409133,-0.010326,-0.412872,-0.000078,1.64e-05
39,pphi = 0,457.681282,2.483349,-4.717040,-26.826117,0.107543,-0.423858,0.000000,-0.344642,-0.000085,2.33e-05
40,beta = 0,460.173162,2.697407,-13.021519,-19.620636,0.083072,-0.431143,0.008080,-0.000056,-0.000107,4.53e-05
41,pphi = 0,462.797628,2.899714,-21.662548,-11.264862,0.063028,-0.409643,0.000000,0.377519,-0.000077,1.54e-05
42,beta = 0,469.741302,3.193812,-35.842514,-55.703167,0.034066,-0.354255,-0.020081,-0.000038,-0.000071,9.10e-06
43,pphi = 0,476.544587,3.355670,-50.109589,-107.454992,0.012122,-0.360081,0.000000,-0.461774,-0.000071,9.71e-06
44,beta = 0,481.816478,3.390449,-57.886445,-96.439739,0.004039,-0.355590,0.006792,-0.000187,-0.000074,1.29e-05
45,pr = 0,483.177627,3.394865,-61.807069,-88.454005,0.000000,-0.342316,0.004953,0.285552,-0.000075,1.34e-05
46,pphi = 0,485.945248,3.390396,-65.695271,-85.004291,-0.003567,-0.322408,0.000000,0.499192,-0.000083,2.18e-05
47,beta = 0,495.648839,3.280382,-79.285552,-148.569418,-0.022179,-0.246483,-0.019036,-0.000206,-0.000079,1.79e-05
48,phi = 0,498.275159,3.207714,-83.006631,0.000000,-0.029978,-0.247449,-0.016682,2.778953,0.009641,9.70e-03
49,beta = 0,498.275159,3.225511,-82.190492,-156.852891,-0.028367,-0.245599,-0.017661,-0.000027,-0.000242,1.80e-04
50,beta = 0,502.255378,3.045741,-89.898422,151.835960,-0.041269,-0.276028,-0.005665,5.786311,-0.000067,5.41e-06
51,pphi = 0,504.573515,2.949417,-93.877902,148.493606,-0.046967,-0.294222,0.000000,-0.347458,-0.000071,9.41e-06
