n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.767301,1.890072,-27.517004,0.000000,1.173130,-1.453097,0.469319,0.735073,2.051388,5.92e-02
2,beta = 0,0.767301,1.907578,-27.867682,-42.682585,1.178463,-1.454123,0.469876,-0.000107,2.044937,6.56e-02
3,beta = 0,1.238162,2.382880,-35.078345,-54.425778,1.261052,-1.467178,0.479005,-0.000001,2.110541,1.76e-05
4,phi = 0,1.369150,2.635965,-37.709550,0.000000,1.284346,-1.462964,0.477339,1.027037,2.110061,4.98e-04
5,phi = 0,2.107748,3.583275,-44.104067,0.000000,1.340706,-1.460527,0.474958,1.221015,2.107759,2.80e-03
6,beta = 0,2.107748,3.630202,-44.333606,-70.370779,1.342366,-1.460895,0.475156,-0.000027,2.105266,5.29e-03
7,beta = 0,2.461657,4.032243,-46.039360,-73.446615,1.353127,-1.461909,0.476002,-0.000027,2.110115,4.44e-04
8,phi = 0,2.795671,4.397697,-47.320575,0.000000,1.360419,-1.460655,0.475556,1.322762,2.110553,5.26e-06
9,phi = 0,3.401872,5.304014,-49.692501,0.000000,1.373483,-1.460514,0.475191,1.399904,2.109888,6.70e-04
10,beta = 0,3.401872,5.377280,-49.851297,-80.509121,1.374255,-1.460683,0.475276,-0.000012,2.109013,1.55e-03
11,beta = 0,3.798781,5.796728,-50.670933,-82.064997,1.377875,-1.461002,0.475532,-0.000009,2.110416,1.43e-04
12,phi = 0,3.993624,6.212230,-51.372928,0.000000,1.380746,-1.460495,0.475349,1.455753,2.110533,2.58e-05
13,phi = 0,4.655981,6.988636,-52.453044,0.000000,1.385057,-1.460432,0.475216,1.492211,2.110122,4.36e-04
14,beta = 0,4.655981,7.082020,-52.567805,-85.721216,1.385484,-1.460523,0.475256,-0.000006,2.109707,8.51e-04
15,beta = 0,5.137444,7.600995,-53.150081,-86.859669,1.387472,-1.460729,0.475395,-0.000005,2.110462,9.63e-05
16,phi = 0,5.385718,8.043704,-53.586599,-0.000000,1.388860,-1.460501,0.475313,1.530969,2.110545,1.40e-05
17,phi = 0,6.088946,9.015969,-54.394919,0.000000,1.391334,-1.460574,0.475302,1.558929,2.110581,2.30e-05
18,beta = 0,6.088946,9.110965,-54.465376,-89.460524,1.391532,-1.460614,0.475323,-0.000002,2.110377,1.82e-04
19,beta = 0,6.321710,9.423025,-54.683836,-89.896585,1.392118,-1.460636,0.475352,-0.000002,2.110523,3.55e-05
20,phi = 0,6.794045,9.882667,-54.980667,0.000000,1.392887,-1.460507,0.475305,1.579363,2.110562,3.74e-06
21,phi = 0,7.306235,10.643137,-55.414233,0.000000,1.393985,-1.460506,0.475279,1.594585,2.110468,9.02e-05
22,beta = 0,7.306235,10.761043,-55.476356,-91.488419,1.394136,-1.460539,0.475293,-0.000002,2.110347,2.12e-04
23,beta = 0,7.855944,11.254487,-55.721851,-91.984655,1.394698,-1.460597,0.475332,-0.000000,2.110550,8.15e-06
24,phi = 0,8.139777,11.725647,-55.935315,0.000000,1.395163,-1.460515,0.475302,1.612989,2.110563,4.53e-06
25,phi = 0,8.707442,12.609374,-56.293612,0.000000,1.395926,-1.460535,0.475296,1.625714,2.110549,9.48e-06
26,beta = 0,8.707442,12.740059,-56.342833,-93.247006,1.396026,-1.460555,0.475306,-0.000001,2.110481,7.79e-05
27,beta = 0,8.991274,13.091530,-56.468961,-93.504635,1.396270,-1.460565,0.475317,-0.000001,2.110535,2.31e-05
28,phi = 0,9.259148,13.570981,-56.631448,0.000000,1.396577,-1.460515,0.475299,1.637766,2.110557,1.09e-06
29,phi = 0,10.107624,14.589551,-56.938978,0.000000,1.397141,-1.460544,0.475303,1.648783,2.110583,2.41e-05
30,beta = 0,10.107624,14.726046,-56.977505,-94.547566,1.397208,-1.460556,0.475309,-0.000000,2.110536,2.21e-05
31,beta = 0,10.397925,14.932109,-57.033238,-94.662307,1.397302,-1.460553,0.475310,-0.000001,2.110541,1.73e-05
32,phi = 0,10.703268,15.417850,-57.159557,0.000000,1.397512,-1.460521,0.475299,1.656712,2.110558,4.51e-07
33,phi = 0,11.297208,16.201696,-57.347610,0.000000,1.397819,-1.460526,0.475295,1.663490,2.110544,1.45e-05
34,beta = 0,11.297208,16.338420,-57.378679,-95.375212,1.397868,-1.460536,0.475300,-0.000000,2.110510,4.89e-05
35,beta = 0,11.585805,16.775083,-57.474186,-95.572883,1.398013,-1.460547,0.475308,-0.000000,2.110552,6.55e-06
36,phi = 0,12.176948,17.265735,-57.575789,-0.000000,1.398164,-1.460521,0.475299,1.671736,2.110559,6.33e-07
37,phi = 0,12.802104,18.359713,-57.781939,0.000000,1.398462,-1.460539,0.475303,1.679208,2.110578,1.99e-05
38,beta = 0,12.802104,18.512805,-57.809239,-96.268325,1.398499,-1.460544,0.475306,-0.000000,2.110554,4.22e-06
39,beta = 0,13.114682,18.619766,-57.827642,-96.306618,1.398524,-1.460542,0.475305,-0.000000,2.110553,5.86e-06
40,phi = 0,13.432606,19.114362,-57.910696,0.000000,1.398635,-1.460525,0.475299,1.683885,2.110560,1.85e-06
41,phi = 0,14.081646,20.115418,-58.066427,0.000000,1.398839,-1.460534,0.475301,1.689553,2.110568,9.19e-06
42,beta = 0,14.081646,20.281676,-58.091058,-96.855676,1.398870,-1.460539,0.475303,-0.000000,2.110551,7.17e-06
43,beta = 0,14.412761,20.465695,-58.117409,-96.910714,1.398903,-1.460538,0.475303,-0.000000,2.110552,6.97e-06
44,phi = 0,14.752979,20.963525,-58.186792,0.000000,1.398988,-1.460526,0.475299,1.693941,2.110560,1.53e-06
45,phi = 0,15.435674,22.015562,-58.323155,0.000000,1.399150,-1.460534,0.475301,1.698922,2.110568,9.67e-06
46,beta = 0,15.435674,22.190512,-58.344811,-97.386417,1.399175,-1.460537,0.475303,-0.000000,2.110555,3.05e-06
47,beta = 0,15.778152,22.312562,-58.359446,-97.417086,1.399192,-1.460536,0.475303,-0.000000,2.110555,3.96e-06
48,phi = 0,16.120629,22.813094,-58.418237,0.000000,1.399258,-1.460526,0.475299,1.702400,2.110560,1.50e-06
49,phi = 0,16.805584,23.955914,-58.543257,0.000000,1.399395,-1.460533,0.475301,1.706980,2.110569,1.07e-05
50,beta = 0,16.805584,24.131712,-58.561664,-97.841412,1.399414,-1.460536,0.475302,-0.000000,2.110558,3.69e-07
51,beta = 0,17.150898,24.160156,-58.564556,-97.847490,1.399417,-1.460535,0.475302,-0.000000,2.110558,7.83e-07
52,phi = 0,17.496212,24.662978,-58.614986,0.000000,1.399470,-1.460526,0.475299,1.709611,2.110559,7.20e-07
53,phi = 0,17.852711,25.269046,-58.673004,0.000000,1.399529,-1.460525,0.475297,1.711741,2.110551,7.12e-06
54,beta = 0,17.852711,25.455232,-58.690322,-98.111994,1.399547,-1.460529,0.475299,-0.000000,2.110542,1.64e-05
55,beta = 0,18.209211,26.008329,-58.740333,-98.217293,1.399596,-1.460533,0.475301,-0.000000,2.110556,2.84e-06
56,phi = 0,18.587458,26.513115,-58.784074,0.000000,1.399638,-1.460526,0.475299,1.715824,2.110558,6.95e-07
57,phi = 0,19.320472,27.400447,-58.857079,0.000000,1.399708,-1.460529,0.475299,1.718510,2.110560,1.09e-06
