n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.768330,1.891264,-27.566845,0.000000,1.174187,-1.454725,0.466088,0.736460,2.037923,5.96e-02
2,beta = 0,0.768330,1.908796,-27.917502,-42.762234,1.179533,-1.455743,0.466638,-0.000107,2.031411,6.61e-02
3,beta = 0,1.240706,2.391930,-35.208271,-54.642726,1.263170,-1.468937,0.475829,-0.000011,2.097336,2.05e-04
4,phi = 0,1.372143,2.648095,-37.853581,0.000000,1.286556,-1.464755,0.474188,1.031301,2.097054,4.87e-04
5,phi = 0,2.115542,3.594091,-44.188741,-0.000000,1.342244,-1.462299,0.471804,1.223654,2.094624,2.92e-03
6,beta = 0,2.115542,3.641390,-44.418579,-70.522879,1.343907,-1.462666,0.472000,-0.000028,2.092144,5.40e-03
7,beta = 0,2.469968,4.054636,-46.156825,-73.660298,1.354858,-1.463722,0.472867,-0.000027,2.097091,4.50e-04
8,phi = 0,2.805829,4.424066,-47.435922,0.000000,1.362114,-1.462486,0.472426,1.326470,2.097530,1.07e-05
9,phi = 0,3.406944,5.311784,-49.743752,0.000000,1.374793,-1.462291,0.472041,1.401592,2.096752,7.89e-04
10,beta = 0,3.406944,5.384395,-49.900475,-80.602104,1.375558,-1.462460,0.472123,-0.000012,2.095867,1.67e-03
11,beta = 0,3.804129,5.833035,-50.769961,-82.254040,1.379397,-1.462818,0.472399,-0.000010,2.097372,1.69e-04
12,phi = 0,4.000943,6.252691,-51.472316,0.000000,1.382258,-1.462321,0.472223,1.459089,2.097527,1.43e-05
13,phi = 0,4.877255,7.361523,-52.926964,0.000000,1.387877,-1.462514,0.472218,1.508352,2.097748,2.07e-04
14,beta = 0,4.877255,7.452672,-53.029458,-86.623008,1.388227,-1.462570,0.472253,-0.000002,2.097375,1.66e-04
15,beta = 0,5.111013,7.651265,-53.237507,-87.031309,1.388901,-1.462552,0.472267,-0.000006,2.097436,1.05e-04
16,phi = 0,5.344771,8.098219,-53.674768,0.000000,1.390285,-1.462322,0.472186,1.534005,2.097529,1.16e-05
17,phi = 0,6.084570,8.981760,-54.404885,0.000000,1.392521,-1.462364,0.472157,1.559275,2.097468,7.29e-05
18,beta = 0,6.084570,9.089923,-54.485444,-89.500580,1.392751,-1.462413,0.472180,-0.000002,2.097276,2.65e-04
19,beta = 0,6.337590,9.487268,-54.763570,-90.055988,1.393501,-1.462470,0.472227,-0.000001,2.097521,2.01e-05
20,phi = 0,6.814302,9.951241,-55.058312,0.000000,1.394259,-1.462338,0.472179,1.582083,2.097544,2.69e-06
21,phi = 0,7.552429,11.077631,-55.672143,0.000000,1.395774,-1.462411,0.472191,1.603679,2.097632,9.11e-05
22,beta = 0,7.552429,11.185613,-55.725334,-91.991711,1.395895,-1.462428,0.472201,-0.000000,2.097512,2.87e-05
23,beta = 0,7.816407,11.332739,-55.794162,-92.131196,1.396047,-1.462418,0.472201,-0.000001,2.097510,3.10e-05
24,phi = 0,8.082158,11.808227,-56.007398,0.000000,1.396510,-1.462343,0.472174,1.615544,2.097538,2.88e-06
25,phi = 0,8.873953,12.908977,-56.440792,0.000000,1.397417,-1.462390,0.472183,1.630958,2.097595,5.40e-05
26,beta = 0,8.873953,13.027999,-56.483852,-93.535041,1.397502,-1.462402,0.472191,-0.000000,2.097521,2.00e-05
27,beta = 0,9.148726,13.183746,-56.537667,-93.645137,1.397604,-1.462396,0.472191,-0.000001,2.097520,2.06e-05
28,phi = 0,9.432785,13.667566,-56.698546,0.000000,1.397906,-1.462348,0.472174,1.640166,2.097540,9.23e-07
29,phi = 0,9.993896,14.386962,-56.917996,0.000000,1.398311,-1.462347,0.472164,1.648030,2.097505,3.63e-05
30,beta = 0,9.993896,14.515399,-56.954957,-94.501194,1.398377,-1.462361,0.472170,-0.000001,2.097452,8.87e-05
31,beta = 0,10.573616,15.038291,-57.098899,-94.797542,1.398624,-1.462387,0.472187,-0.000000,2.097537,3.86e-06
32,phi = 0,10.876284,15.528411,-57.224318,0.000000,1.398831,-1.462351,0.472174,1.659044,2.097544,2.86e-06
33,phi = 0,11.483578,16.506051,-57.452631,0.000000,1.399199,-1.462367,0.472175,1.667282,2.097553,1.15e-05
34,beta = 0,11.483578,16.652836,-57.484941,-95.595157,1.399248,-1.462376,0.472179,-0.000000,2.097522,1.93e-05
35,beta = 0,11.788205,16.895256,-57.536252,-95.701490,1.399325,-1.462374,0.472181,-0.000000,2.097528,1.32e-05
36,phi = 0,12.118584,17.390288,-57.637080,0.000000,1.399474,-1.462353,0.472173,1.673956,2.097541,3.92e-08
37,phi = 0,12.753426,18.258039,-57.800849,0.000000,1.399711,-1.462360,0.472172,1.679895,2.097540,1.35e-06
38,beta = 0,12.753426,18.405867,-57.827355,-96.306023,1.399748,-1.462368,0.472176,-0.000000,2.097517,2.42e-05
39,beta = 0,13.057888,18.753906,-57.887590,-96.431412,1.399830,-1.462370,0.472179,-0.000000,2.097532,9.11e-06
40,phi = 0,13.366547,19.252886,-57.970428,0.000000,1.399940,-1.462353,0.472173,1.686058,2.097540,1.14e-06
41,phi = 0,13.989941,19.938136,-58.077187,0.000000,1.400081,-1.462354,0.472170,1.689945,2.097528,1.28e-05
42,beta = 0,13.989941,20.093452,-58.100435,-96.875262,1.400110,-1.462360,0.472172,-0.000000,2.097509,3.19e-05
43,beta = 0,14.304676,20.613800,-58.175783,-97.032684,1.400204,-1.462369,0.472178,-0.000000,2.097538,2.65e-06
44,phi = 0,14.650287,21.116022,-58.244868,0.000000,1.400288,-1.462354,0.472173,1.696061,2.097540,6.07e-07
45,phi = 0,15.353916,21.812773,-58.335115,0.000000,1.400396,-1.462355,0.472171,1.699359,2.097533,8.48e-06
46,beta = 0,15.353916,21.998378,-58.358323,-97.414737,1.400424,-1.462361,0.472173,-0.000000,2.097520,2.13e-05
47,beta = 0,15.711934,22.474641,-58.415944,-97.535530,1.400489,-1.462365,0.472176,-0.000000,2.097535,6.34e-06
48,phi = 0,16.042255,22.979566,-58.474523,0.000000,1.400555,-1.462355,0.472173,1.704461,2.097540,6.93e-07
49,phi = 0,16.708007,23.746738,-58.558582,0.000000,1.400647,-1.462357,0.472172,1.707542,2.097537,3.85e-06
50,beta = 0,16.708007,23.917517,-58.576637,-97.872882,1.400667,-1.462361,0.472174,-0.000000,2.097527,1.40e-05
51,beta = 0,17.043439,24.336204,-58.619630,-97.963267,1.400712,-1.462363,0.472176,-0.000000,2.097536,4.58e-06
52,phi = 0,17.383929,24.843422,-58.669843,0.000000,1.400764,-1.462356,0.472173,1.711625,2.097540,5.19e-07
53,phi = 0,18.070227,25.658816,-58.746324,0.000000,1.400842,-1.462358,0.472173,1.714435,2.097540,1.33e-06
54,beta = 0,18.070227,25.837467,-58.762517,-98.264027,1.400858,-1.462362,0.472174,-0.000000,2.097532,8.99e-06
55,beta = 0,18.416034,26.198342,-58.794339,-98.331090,1.400889,-1.462362,0.472175,-0.000000,2.097537,4.30e-06
56,phi = 0,18.768043,26.707527,-58.837872,0.000000,1.400930,-1.462357,0.472173,1.717803,2.097541,3.55e-08
57,phi = 0,19.479293,27.658910,-58.914903,0.000000,1.401003,-1.462360,0.472174,1.720640,2.097544,2.55e-06
58,beta = 0,19.479293,27.847765,-58.929674,-98.616611,1.401017,-1.462362,0.472175,-0.000000,2.097538,3.36e-06
59,beta = 0,19.838534,28.060939,-58.945915,-98.650914,1.401032,-1.462362,0.472175,-0.000000,2.097538,3.07e-06
60,phi = 0,20.228339,28.571832,-58.984009,0.000000,1.401066,-1.462357,0.472173,1.723188,2.097542,1.08e-06
61,phi = 0,21.007948,29.885925,-59.076058,0.000000,1.401146,-1.462361,0.472175,1.726585,2.097548,6.72e-06
62,phi = 0,21.409006,30.436299,-59.112236,0.000000,1.401177,-1.462357,0.472173,1.727921,2.097541,3.33e-07
63,phi = 0,22.192090,31.466954,-59.176592,0.000000,1.401230,-1.462360,0.472174,1.730300,2.097544,3.03e-06
64,beta = 0,22.192090,31.673788,-59.189106,-99.165418,1.401240,-1.462361,0.472175,-0.000000,2.097540,9.60e-07
65,beta = 0,22.574115,31.787193,-59.195805,-99.179615,1.401246,-1.462361,0.472175,-0.000000,2.097540,1.30e-06
66,phi = 0,22.963910,32.300900,-59.225738,0.000000,1.401269,-1.462357,0.472173,1.732118,2.097542,5.39e-07
67,phi = 0,23.361347,32.995284,-59.264625,0.000000,1.401300,-1.462358,0.472173,1.733558,2.097539,1.90e-06
68,beta = 0,23.361347,33.214437,-59.276610,-99.350965,1.401309,-1.462359,0.472173,-0.000000,2.097536,5.30e-06
69,beta = 0,23.758785,33.650736,-59.299921,-99.400432,1.401327,-1.462360,0.472174,-0.000000,2.097538,2.56e-06
70,phi = 0,24.148546,34.165616,-59.326707,0.000000,1.401347,-1.462358,0.472173,1.735857,2.097541,3.35e-07
71,phi = 0,24.951605,35.367422,-59.386180,0.000000,1.401391,-1.462360,0.472174,1.738062,2.097544,3.46e-06
72,phi = 0,25.364903,36.030426,-59.417319,0.000000,1.401413,-1.462357,0.472173,1.739217,2.097541,3.25e-07
73,phi = 0,26.183844,37.039285,-59.462493,0.000000,1.401444,-1.462359,0.472174,1.740893,2.097543,1.66e-06
74,beta = 0,26.183844,37.265914,-59.472382,-99.766885,1.401451,-1.462360,0.472174,-0.000000,2.097540,5.95e-07
75,beta = 0,26.589487,37.378439,-59.477190,-99.777113,1.401455,-1.462360,0.472174,-0.000000,2.097540,7.97e-07
76,phi = 0,27.002175,37.895317,-59.499034,0.000000,1.401469,-1.462358,0.472173,1.742250,2.097541,1.94e-07
77,phi = 0,27.435575,38.713614,-59.532303,0.000000,1.401492,-1.462358,0.472173,1.743486,2.097541,1.19e-07
78,beta = 0,27.435575,38.963622,-59.542257,-99.915605,1.401498,-1.462360,0.472174,-0.000000,2.097539,1.79e-06
79,beta = 0,27.868975,39.242545,-59.553133,-99.938767,1.401505,-1.462359,0.472174,-0.000000,2.097539,1.53e-06
80,phi = 0,28.315694,39.760278,-59.572999,0.000000,1.401518,-1.462358,0.472173,1.744999,2.097542,5.21e-07
81,phi = 0,28.762413,40.554695,-59.602415,0.000000,1.401537,-1.462358,0.472173,1.746093,2.097541,2.42e-07
