n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.764394,1.889490,-27.582131,0.000000,1.177368,-1.461388,0.472568,0.736886,2.075275,5.87e-02
2,beta = 0,0.764394,1.907059,-27.935122,-42.790416,1.182753,-1.462419,0.473130,-0.000108,2.068811,6.52e-02
3,beta = 0,1.112565,2.377978,-35.109006,-54.477156,1.265394,-1.475275,0.482144,-0.000007,2.133872,1.43e-04
4,phi = 0,1.363604,2.630532,-37.752458,0.000000,1.289024,-1.471085,0.480492,1.028307,2.133511,5.04e-04
5,phi = 0,2.097857,3.580894,-44.196347,0.000000,1.346191,-1.468701,0.478140,1.223892,2.131350,2.67e-03
6,beta = 0,2.097857,3.627965,-44.427338,-70.538535,1.347868,-1.469067,0.478339,-0.000027,2.128846,5.17e-03
7,beta = 0,2.452105,4.022328,-46.108459,-73.572229,1.358545,-1.470041,0.479162,-0.000026,2.133585,4.31e-04
8,phi = 0,2.784867,4.387445,-47.397625,0.000000,1.365943,-1.468772,0.478710,1.325239,2.134014,1.78e-06
9,phi = 0,3.352069,5.263314,-49.716520,0.000000,1.378857,-1.468583,0.478319,1.400695,2.133203,8.12e-04
10,beta = 0,3.352069,5.328080,-49.859068,-80.523730,1.379563,-1.468739,0.478394,-0.000010,2.132243,1.77e-03
11,beta = 0,3.735349,5.782158,-50.756125,-82.227687,1.383576,-1.469115,0.478683,-0.000011,2.133825,1.90e-04
12,phi = 0,4.125771,6.197420,-51.465767,0.000000,1.386506,-1.468618,0.478509,1.458869,2.134016,8.18e-07
13,phi = 0,4.778856,7.241413,-52.871239,0.000000,1.392036,-1.468783,0.478483,1.506449,2.134141,1.26e-04
14,beta = 0,4.778856,7.328704,-52.972534,-86.511553,1.392391,-1.468847,0.478520,-0.000003,2.133755,2.61e-04
15,beta = 0,5.001347,7.581852,-53.246608,-87.049136,1.393298,-1.468855,0.478554,-0.000005,2.133925,9.01e-05
16,phi = 0,5.461362,8.024428,-53.687951,0.000000,1.394713,-1.468621,0.478472,1.534459,2.134019,3.27e-06
17,phi = 0,5.934300,8.790243,-54.340851,0.000000,1.396755,-1.468613,0.478418,1.557050,2.133834,1.81e-04
18,beta = 0,5.934300,8.890541,-54.418592,-89.367360,1.396984,-1.468662,0.478439,-0.000003,2.133612,4.03e-04
