n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.772223,1.897343,-27.727095,0.000000,1.177780,-1.458515,0.465183,0.740925,2.038067,5.82e-02
2,beta = 0,0.772223,1.914943,-28.076814,-43.016898,1.183089,-1.459532,0.465735,-0.000106,2.031509,6.48e-02
3,beta = 0,1.244766,2.396118,-35.303501,-54.801212,1.265845,-1.472489,0.474791,-0.000007,2.096159,1.31e-04
4,phi = 0,1.376896,2.654164,-37.956063,0.000000,1.289333,-1.468292,0.473140,1.034337,2.095801,4.90e-04
5,phi = 0,2.121814,3.606530,-44.299751,-0.000000,1.345059,-1.465882,0.470786,1.227118,2.093482,2.81e-03
6,beta = 0,2.121814,3.654276,-44.530291,-70.722985,1.346722,-1.466248,0.470982,-0.000027,2.091019,5.27e-03
7,beta = 0,2.478686,4.065838,-46.251306,-73.832308,1.357558,-1.467275,0.471830,-0.000027,2.095848,4.43e-04
8,phi = 0,2.815885,4.437678,-47.532340,0.000000,1.364825,-1.466039,0.471390,1.329573,2.096282,8.19e-06
9,phi = 0,3.425099,5.344625,-49.868775,0.000000,1.377627,-1.465887,0.471027,1.405714,2.095603,6.88e-04
10,beta = 0,3.425099,5.418731,-50.026972,-80.841466,1.378395,-1.466054,0.471109,-0.000012,2.094739,1.55e-03
11,beta = 0,3.825193,5.851627,-50.858811,-82.423691,1.382055,-1.466380,0.471367,-0.000009,2.096141,1.50e-04
12,phi = 0,4.022216,6.273897,-51.559799,0.000000,1.384908,-1.465882,0.471189,1.462028,2.096268,2.22e-05
13,phi = 0,4.686093,7.043294,-52.611809,0.000000,1.389084,-1.465811,0.471054,1.497608,2.095844,4.47e-04
14,beta = 0,4.686093,7.137052,-52.725249,-86.028293,1.389504,-1.465901,0.471092,-0.000006,2.095430,8.60e-04
15,beta = 0,5.164610,7.677349,-53.321079,-87.195522,1.391531,-1.466113,0.471234,-0.000006,2.096190,1.00e-04
16,phi = 0,5.410056,8.126996,-53.756443,0.000000,1.392907,-1.465888,0.471153,1.536821,2.096274,1.62e-05
17,phi = 0,6.117099,9.066644,-54.525547,0.000000,1.395252,-1.465947,0.471135,1.563473,2.096274,1.65e-05
18,beta = 0,6.117099,9.163697,-54.596670,-89.722464,1.395453,-1.465989,0.471156,-0.000002,2.096074,2.17e-04
19,beta = 0,6.349998,9.520858,-54.843683,-90.216342,1.396114,-1.466030,0.471195,-0.000001,2.096273,1.76e-05
20,phi = 0,6.828263,9.987550,-55.138093,0.000000,1.396871,-1.465899,0.471146,1.584881,2.096293,2.59e-06
21,phi = 0,7.568641,11.117830,-55.749943,0.000000,1.398379,-1.465971,0.471158,1.606428,2.096381,9.04e-05
22,beta = 0,7.568641,11.226560,-55.803145,-92.149347,1.398500,-1.465988,0.471169,-0.000000,2.096262,2.83e-05
23,beta = 0,7.833489,11.373850,-55.871587,-92.288184,1.398651,-1.465978,0.471169,-0.000001,2.096260,3.06e-05
24,phi = 0,8.100001,11.852082,-56.084606,0.000000,1.399113,-1.465904,0.471142,1.618284,2.096288,2.83e-06
25,phi = 0,8.894156,12.958507,-56.517212,0.000000,1.400017,-1.465950,0.471151,1.633685,2.096345,5.40e-05
26,beta = 0,8.894156,13.078337,-56.560261,-93.691339,1.400102,-1.465962,0.471158,-0.000000,2.096271,1.93e-05
27,beta = 0,9.170025,13.232379,-56.613109,-93.799565,1.400202,-1.465956,0.471158,-0.000001,2.096270,2.03e-05
28,phi = 0,9.454655,13.718962,-56.773795,0.000000,1.400503,-1.465908,0.471141,1.642860,2.096290,8.22e-07
29,phi = 0,10.017221,14.443542,-56.993261,0.000000,1.400908,-1.465908,0.471132,1.650732,2.096255,3.51e-05
30,beta = 0,10.017221,14.572874,-57.030212,-94.656073,1.400974,-1.465922,0.471138,-0.000001,2.096204,8.68e-05
31,beta = 0,10.599528,15.094450,-57.172797,-94.949912,1.401218,-1.465947,0.471154,-0.000000,2.096287,3.37e-06
32,phi = 0,10.903898,15.587345,-57.298048,0.000000,1.401424,-1.465912,0.471141,1.661702,2.096293,2.84e-06
33,phi = 0,11.512919,16.577135,-57.527462,0.000000,1.401793,-1.465928,0.471143,1.669988,2.096303,1.27e-05
34,beta = 0,11.512919,16.724351,-57.559615,-95.749909,1.401842,-1.465937,0.471147,-0.000000,2.096273,1.80e-05
35,beta = 0,11.817570,16.958940,-57.608886,-95.852115,1.401916,-1.465935,0.471148,-0.000000,2.096278,1.28e-05
36,phi = 0,12.146756,17.456758,-57.709573,0.000000,1.402064,-1.465914,0.471141,1.676583,2.096291,7.49e-08
37,phi = 0,12.781362,18.327767,-57.872797,0.000000,1.402300,-1.465921,0.471140,1.682508,2.096289,1.21e-06
38,beta = 0,12.781362,18.476608,-57.899298,-96.455788,1.402337,-1.465928,0.471143,-0.000000,2.096267,2.38e-05
39,beta = 0,13.086783,18.825118,-57.959189,-96.580579,1.402418,-1.465930,0.471146,-0.000000,2.096281,9.05e-06
40,phi = 0,13.396446,19.326891,-58.041905,0.000000,1.402528,-1.465914,0.471140,1.688660,2.096289,1.12e-06
41,phi = 0,14.021782,20.016852,-58.148629,0.000000,1.402669,-1.465914,0.471138,1.692549,2.096278,1.24e-05
42,beta = 0,14.021782,20.173196,-58.171862,-97.024494,1.402698,-1.465920,0.471140,-0.000000,2.096259,3.13e-05
43,beta = 0,14.337454,20.692539,-58.246519,-97.180621,1.402791,-1.465929,0.471146,-0.000000,2.096288,2.77e-06
44,phi = 0,14.684966,21.197559,-58.315495,0.000000,1.402875,-1.465914,0.471140,1.698642,2.096290,6.70e-07
45,phi = 0,15.393549,21.905967,-58.406572,0.000000,1.402984,-1.465916,0.471139,1.701973,2.096283,7.90e-06
46,beta = 0,15.393549,22.094229,-58.429930,-97.564862,1.403011,-1.465921,0.471141,-0.000000,2.096270,2.04e-05
47,beta = 0,15.754621,22.560907,-58.485949,-97.682407,1.403075,-1.465925,0.471144,-0.000000,2.096284,6.61e-06
48,phi = 0,16.086278,23.068636,-58.544435,0.000000,1.403140,-1.465916,0.471141,1.707023,2.096290,6.17e-07
49,phi = 0,16.754614,23.857156,-58.630165,0.000000,1.403235,-1.465918,0.471140,1.710168,2.096287,3.02e-06
50,beta = 0,16.754614,24.029238,-58.648207,-98.023371,1.403254,-1.465922,0.471142,-0.000000,2.096278,1.29e-05
51,beta = 0,17.091293,24.429998,-58.689019,-98.109251,1.403297,-1.465924,0.471143,-0.000000,2.096286,4.75e-06
52,phi = 0,17.433153,24.940024,-58.739147,0.000000,1.403348,-1.465916,0.471141,1.714171,2.096290,4.19e-07
53,phi = 0,18.122479,25.781820,-58.817481,0.000000,1.403428,-1.465919,0.471140,1.717053,2.096290,5.24e-07
54,beta = 0,18.122479,25.962100,-58.833683,-98.414040,1.403444,-1.465922,0.471142,-0.000000,2.096282,8.01e-06
55,beta = 0,18.469945,26.299662,-58.863196,-98.476297,1.403473,-1.465923,0.471143,-0.000000,2.096286,4.30e-06
56,phi = 0,18.824215,26.811660,-58.906654,0.000000,1.403514,-1.465917,0.471141,1.720336,2.096291,2.09e-07
57,phi = 0,19.582691,27.845651,-58.989501,0.000000,1.403592,-1.465921,0.471142,1.723390,2.096294,3.96e-06
58,beta = 0,19.582691,28.069026,-59.006779,-98.779518,1.403608,-1.465923,0.471143,-0.000000,2.096289,1.24e-06
59,beta = 0,19.986898,28.169786,-59.014357,-98.795540,1.403615,-1.465923,0.471143,-0.000000,2.096289,1.71e-06
60,phi = 0,20.391105,28.683493,-59.052470,0.000000,1.403649,-1.465917,0.471141,1.725714,2.096291,2.69e-07
61,phi = 0,20.795312,29.473882,-59.108252,0.000000,1.403698,-1.465918,0.471140,1.727774,2.096289,1.18e-06
62,beta = 0,20.795312,29.697833,-59.123632,-99.026733,1.403712,-1.465921,0.471142,-0.000000,2.096285,5.41e-06
63,beta = 0,21.199519,30.040288,-59.146539,-99.075242,1.403731,-1.465921,0.471142,-0.000000,2.096287,3.63e-06
64,phi = 0,21.579007,30.555492,-59.180161,0.000000,1.403759,-1.465918,0.471141,1.730432,2.096291,7.70e-07
65,phi = 0,22.344143,31.792156,-59.256341,0.000000,1.403822,-1.465921,0.471142,1.733251,2.096296,5.23e-06
66,phi = 0,22.738523,32.427623,-59.293261,0.000000,1.403851,-1.465917,0.471141,1.734618,2.096290,4.05e-07
67,phi = 0,23.518534,33.349920,-59.344247,0.000000,1.403891,-1.465919,0.471141,1.736507,2.096292,1.10e-06
68,beta = 0,23.518534,33.560460,-59.355570,-99.518582,1.403900,-1.465921,0.471142,-0.000000,2.096288,2.02e-06
69,beta = 0,23.904165,33.782165,-59.367225,-99.543340,1.403909,-1.465921,0.471142,-0.000000,2.096289,1.88e-06
70,phi = 0,24.321390,34.299868,-59.393959,0.000000,1.403929,-1.465918,0.471141,1.738350,2.096291,7.73e-07
71,phi = 0,24.738616,34.957500,-59.426751,0.000000,1.403953,-1.465918,0.471140,1.739567,2.096289,1.84e-06
72,beta = 0,24.738616,35.193571,-59.438251,-99.694294,1.403962,-1.465920,0.471141,-0.000000,2.096286,4.67e-06
73,beta = 0,25.155842,35.653453,-59.460153,-99.740872,1.403977,-1.465920,0.471142,-0.000000,2.096288,2.34e-06
74,phi = 0,25.556900,36.172207,-59.484230,0.000000,1.403994,-1.465918,0.471141,1.741701,2.096291,3.98e-07
75,phi = 0,26.372663,37.445390,-59.540475,0.000000,1.404034,-1.465920,0.471142,1.743790,2.096294,3.22e-06
76,phi = 0,26.795561,38.044628,-59.565641,0.000000,1.404051,-1.465918,0.471141,1.744725,2.096290,1.75e-07
77,phi = 0,27.688326,39.240680,-59.613548,0.000000,1.404082,-1.465920,0.471141,1.746507,2.096293,2.22e-06
78,phi = 0,28.097477,39.917117,-59.639424,0.000000,1.404099,-1.465918,0.471141,1.747470,2.096290,2.01e-07
79,phi = 0,28.930673,40.959401,-59.677538,0.000000,1.404123,-1.465919,0.471141,1.748889,2.096292,1.41e-06
80,beta = 0,28.930673,41.202439,-59.686218,-100.222458,1.404129,-1.465920,0.471142,-0.000000,2.096290,2.28e-07
81,phi = 0,29.354717,41.789667,-59.706615,0.000000,1.404141,-1.465918,0.471141,1.749972,2.096290,1.11e-07
82,beta = 0,29.354717,41.268326,-59.688525,-100.227381,1.404130,-1.465920,0.471142,-0.000000,2.096290,3.51e-07
83,phi = 0,30.200229,42.702824,-59.737170,0.000000,1.404160,-1.465919,0.471141,1.751110,2.096291,5.14e-07
84,beta = 0,30.200229,42.944011,-59.745079,-100.348095,1.404164,-1.465920,0.471141,-0.000000,2.096290,8.15e-07
85,beta = 0,30.621697,43.140217,-59.751394,-100.361580,1.404168,-1.465920,0.471141,-0.000000,2.096290,8.54e-07
86,phi = 0,31.068415,43.662270,-59.767991,0.000000,1.404178,-1.465918,0.471141,1.752259,2.096291,3.01e-07
87,phi = 0,31.521741,44.514988,-59.794191,0.000000,1.404193,-1.465919,0.471141,1.753236,2.096291,1.26e-07
88,beta = 0,31.521741,44.784128,-59.802305,-100.470342,1.404198,-1.465920,0.471141,-0.000000,2.096290,8.88e-07
89,beta = 0,31.975067,45.012213,-59.809055,-100.484766,1.404202,-1.465920,0.471141,-0.000000,2.096290,8.78e-07
90,phi = 0,32.431486,45.534918,-59.824343,-0.000000,1.404210,-1.465918,0.471141,1.754360,2.096291,1.74e-07
91,phi = 0,32.903321,46.469991,-59.850723,0.000000,1.404225,-1.465919,0.471141,1.755345,2.096291,4.60e-07
92,beta = 0,32.903321,46.756486,-59.858658,-100.590815,1.404229,-1.465920,0.471141,-0.000000,2.096290,3.72e-07
93,phi = 0,33.375156,47.407607,-59.876225,0.000000,1.404239,-1.465918,0.471141,1.756297,2.096290,1.56e-07
94,beta = 0,33.375156,46.884300,-59.862135,-100.598251,1.404231,-1.465920,0.471141,-0.000000,2.096290,4.55e-07
95,phi = 0,34.303096,48.500710,-59.904627,0.000000,1.404254,-1.465919,0.471141,1.757357,2.096291,9.85e-07
96,phi = 0,34.759200,49.280332,-59.924156,0.000000,1.404264,-1.465918,0.471141,1.758087,2.096290,1.60e-07
97,phi = 0,35.689646,50.472289,-59.952804,0.000000,1.404279,-1.465919,0.471141,1.759157,2.096292,1.07e-06
98,phi = 0,36.163988,51.153090,-59.968579,0.000000,1.404287,-1.465919,0.471141,1.759747,2.096290,5.63e-08
99,phi = 0,37.126272,52.562249,-59.999934,0.000000,1.404302,-1.465919,0.471141,1.760919,2.096292,1.08e-06
