n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.655126,1.755738,-24.653457,0.000000,1.128237,-1.452813,0.466936,0.655861,2.023442,9.91e-02
2,beta = 0,0.655126,1.769725,-24.985795,-38.108637,1.134123,-1.453452,0.467208,-0.000118,2.015820,1.07e-01
3,beta = 0,1.118195,2.382858,-35.152698,-54.550070,1.265083,-1.473823,0.480036,-0.000009,2.122313,2.00e-04
4,phi = 0,1.370603,2.636786,-37.797807,0.000000,1.288663,-1.469648,0.478392,1.029649,2.122012,5.01e-04
5,phi = 0,2.107781,3.592011,-44.235657,0.000000,1.345566,-1.467282,0.476055,1.225118,2.119905,2.61e-03
6,beta = 0,2.107781,3.639362,-44.466483,-70.608630,1.347234,-1.467647,0.476253,-0.000027,2.117421,5.09e-03
7,beta = 0,2.464445,4.033823,-46.137312,-73.624696,1.357803,-1.468610,0.477068,-0.000026,2.122091,4.22e-04
8,phi = 0,2.798908,4.400596,-47.424481,0.000000,1.365161,-1.467341,0.476617,1.326102,2.122512,1.10e-06
9,phi = 0,3.370160,5.285168,-49.748539,0.000000,1.378044,-1.467169,0.476234,1.401750,2.121742,7.71e-04
10,beta = 0,3.370160,5.350271,-49.890633,-80.583395,1.378743,-1.467323,0.476309,-0.000010,2.120794,1.72e-03
11,beta = 0,3.755342,5.800405,-50.773105,-82.260092,1.382671,-1.467686,0.476590,-0.000011,2.122326,1.87e-04
12,phi = 0,4.147084,6.217375,-51.481192,0.000000,1.385583,-1.467189,0.476416,1.459387,2.122513,8.90e-08
13,phi = 0,4.806229,7.275231,-52.893429,0.000000,1.391110,-1.467361,0.476395,1.507207,2.122655,1.42e-04
14,beta = 0,4.806229,7.363402,-52.994816,-86.555178,1.391463,-1.467423,0.476431,-0.000003,2.122273,2.40e-04
15,beta = 0,5.031080,7.606846,-53.255921,-87.067445,1.392323,-1.467425,0.476461,-0.000005,2.122418,9.44e-05
16,phi = 0,5.490491,8.051140,-53.696413,0.000000,1.393729,-1.467192,0.476379,1.534751,2.122515,2.16e-06
17,phi = 0,5.967038,8.831051,-54.355604,0.000000,1.395780,-1.467191,0.476329,1.557563,2.122344,1.69e-04
18,beta = 0,5.967038,8.931850,-54.433027,-89.396118,1.396007,-1.467240,0.476350,-0.000003,2.122127,3.86e-04
19,beta = 0,6.467078,9.431143,-54.790198,-90.109331,1.396989,-1.467335,0.476416,-0.000002,2.122473,4.02e-05
20,phi = 0,6.728844,9.892460,-55.087144,0.000000,1.397761,-1.467209,0.476370,1.583094,2.122511,1.49e-06
21,phi = 0,7.479598,11.000603,-55.700021,-0.000000,1.399289,-1.467279,0.476381,1.604663,2.122601,8.86e-05
22,beta = 0,7.479598,11.107982,-55.753682,-92.049125,1.399412,-1.467297,0.476392,-0.000001,2.122480,3.28e-05
23,beta = 0,7.739860,11.264894,-55.828160,-92.200117,1.399578,-1.467287,0.476393,-0.000001,2.122480,3.26e-05
24,phi = 0,8.004380,11.737745,-56.043000,0.000000,1.400049,-1.467212,0.476366,1.616807,2.122509,3.45e-06
