n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.654123,1.755059,-24.636833,0.000000,1.128385,-1.453307,0.469050,0.655404,2.033927,9.90e-02
2,beta = 0,0.654123,1.769016,-24.968870,-38.081926,1.134267,-1.453952,0.469327,-0.000118,2.026332,1.07e-01
3,beta = 0,1.116434,2.377628,-35.089152,-54.444639,1.264687,-1.474231,0.482118,-0.000016,2.132625,3.42e-04
4,phi = 0,1.368166,2.629878,-37.733276,0.000000,1.288326,-1.470088,0.480493,1.027739,2.132467,5.00e-04
5,phi = 0,2.102326,3.586285,-44.208911,0.000000,1.345700,-1.467741,0.478162,1.224283,2.130443,2.52e-03
6,beta = 0,2.102326,3.633478,-44.439844,-70.560908,1.347369,-1.468105,0.478361,-0.000027,2.127951,5.02e-03
7,beta = 0,2.444707,4.021122,-46.088138,-73.535493,1.357807,-1.469019,0.479150,-0.000030,2.132467,5.00e-04
8,phi = 0,2.787087,4.385852,-47.378243,0.000000,1.365212,-1.467767,0.478708,1.324615,2.132965,1.74e-06
9,phi = 0,3.355101,5.266043,-49.707885,0.000000,1.378177,-1.467588,0.478320,1.400411,2.132180,7.87e-04
10,beta = 0,3.355101,5.330777,-49.850226,-80.507012,1.378880,-1.467743,0.478396,-0.000010,2.131223,1.74e-03
11,beta = 0,3.738451,5.780013,-50.737430,-82.192000,1.382844,-1.468110,0.478680,-0.000011,2.132778,1.89e-04
12,phi = 0,4.128465,6.194874,-51.447058,0.000000,1.385773,-1.467611,0.478505,1.458240,2.132967,2.20e-07
13,phi = 0,4.783722,7.245877,-52.861193,0.000000,1.391332,-1.467782,0.478483,1.506106,2.133106,1.39e-04
14,beta = 0,4.783722,7.333452,-52.962712,-86.492319,1.391687,-1.467845,0.478519,-0.000003,2.132720,2.48e-04
15,beta = 0,5.007132,7.578774,-53.228000,-87.012600,1.392564,-1.467849,0.478550,-0.000005,2.132873,9.40e-05
16,phi = 0,5.465118,8.020930,-53.669571,0.000000,1.393979,-1.467614,0.478468,1.533826,2.132970,2.51e-06
17,phi = 0,5.938581,8.793881,-54.328264,0.000000,1.396038,-1.467610,0.478416,1.556613,2.132793,1.75e-04
