n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.768694,1.892281,-27.561548,0.000000,1.174016,-1.453568,0.470476,0.736313,2.057532,5.83e-02
2,beta = 0,0.768694,1.909798,-27.911606,-42.752726,1.179321,-1.454596,0.471038,-0.000106,2.051091,6.47e-02
3,beta = 0,1.117980,2.380288,-35.046441,-54.373026,1.260873,-1.467419,0.480039,-0.000007,2.115672,1.50e-04
4,phi = 0,1.369978,2.632537,-37.677813,0.000000,1.284212,-1.463237,0.478390,1.026099,2.115323,4.99e-04
5,phi = 0,2.106971,3.583340,-44.105596,0.000000,1.340910,-1.460829,0.476024,1.221063,2.113131,2.69e-03
6,beta = 0,2.106971,3.630269,-44.335238,-70.373684,1.342568,-1.461195,0.476222,-0.000027,2.110639,5.18e-03
7,beta = 0,2.461919,4.025914,-46.016795,-73.405561,1.353177,-1.462178,0.477051,-0.000026,2.115390,4.32e-04
8,phi = 0,2.795692,4.390365,-47.299678,0.000000,1.360488,-1.460912,0.476601,1.322091,2.115820,2.24e-06
9,phi = 0,3.363551,5.261461,-49.602369,0.000000,1.373247,-1.460704,0.476199,1.396937,2.114970,8.52e-04
10,beta = 0,3.363551,5.325980,-49.744251,-80.306844,1.373947,-1.460860,0.476274,-0.000010,2.114011,1.81e-03
11,beta = 0,3.748044,5.786624,-50.652781,-82.030533,1.377989,-1.461250,0.476571,-0.000011,2.115631,1.91e-04
12,phi = 0,4.140401,6.201047,-51.358807,0.000000,1.380886,-1.460756,0.476398,1.455279,2.115824,1.43e-06
13,phi = 0,4.792401,7.233693,-52.748195,0.000000,1.386327,-1.460910,0.476366,1.502253,2.115923,1.01e-04
14,beta = 0,4.792401,7.320163,-52.848566,-86.269020,1.386678,-1.460976,0.476403,-0.000003,2.115538,2.84e-04
15,beta = 0,5.014061,7.587051,-53.137694,-86.835313,1.387631,-1.460993,0.476443,-0.000004,2.115740,8.17e-05
16,phi = 0,5.479634,8.028698,-53.576406,0.000000,1.389028,-1.460759,0.476360,1.530618,2.115826,4.20e-06
17,phi = 0,5.953897,8.782474,-54.218743,0.000000,1.391027,-1.460742,0.476303,1.552811,2.115627,1.95e-04
18,beta = 0,5.953897,8.883028,-54.296680,-89.124668,1.391257,-1.460791,0.476324,-0.000003,2.115404,4.18e-04
19,beta = 0,6.448875,9.405306,-54.672848,-89.874661,1.392292,-1.460896,0.476394,-0.000002,2.115775,4.69e-05
20,phi = 0,6.704791,9.863892,-54.969704,0.000000,1.393062,-1.460770,0.476348,1.578980,2.115818,4.44e-06
21,phi = 0,7.449574,10.916449,-55.557329,0.000000,1.394530,-1.460834,0.476355,1.599627,2.115888,6.59e-05
22,beta = 0,7.449574,11.023096,-55.611300,-91.760984,1.394655,-1.460855,0.476368,-0.000001,2.115768,5.37e-05
23,beta = 0,7.703793,11.232978,-55.712229,-91.965242,1.394879,-1.460849,0.476372,-0.000002,2.115787,3.55e-05
24,phi = 0,7.975372,11.703059,-55.927078,0.000000,1.395350,-1.460773,0.476344,1.612697,2.115817,5.33e-06
25,phi = 0,8.770224,12.747099,-56.346785,0.000000,1.396238,-1.460817,0.476351,1.627607,2.115865,4.26e-05
26,beta = 0,8.770224,12.865255,-56.390553,-93.344404,1.396325,-1.460832,0.476359,-0.000000,2.115791,3.15e-05
27,beta = 0,9.037990,13.066209,-56.461662,-93.489716,1.396462,-1.460827,0.476361,-0.000001,2.115799,2.35e-05
28,phi = 0,9.326330,13.544606,-56.623691,0.000000,1.396768,-1.460779,0.476344,1.637489,2.115820,2.59e-06
29,phi = 0,9.889005,14.226580,-56.835911,0.000000,1.397164,-1.460775,0.476334,1.645086,2.115779,4.31e-05
30,beta = 0,9.889005,14.353392,-56.873189,-94.333084,1.397231,-1.460789,0.476339,-0.000001,2.115723,9.87e-05
31,beta = 0,10.457467,14.902987,-57.027386,-94.650236,1.397498,-1.460818,0.476357,-0.000000,2.115815,7.46e-06
32,phi = 0,10.751594,15.387670,-57.153705,-0.000000,1.397708,-1.460783,0.476344,1.656501,2.115825,2.58e-06
33,phi = 0,11.355295,16.298504,-57.371086,0.000000,1.398062,-1.460795,0.476344,1.664337,2.115826,3.45e-06
34,beta = 0,11.355295,16.448416,-57.404867,-95.429386,1.398115,-1.460806,0.476349,-0.000000,2.115795,2.72e-05
35,beta = 0,11.664868,16.742183,-57.468473,-95.561065,1.398211,-1.460806,0.476351,-0.000001,2.115808,1.46e-05
36,phi = 0,11.959442,17.231769,-57.570215,0.000000,1.398362,-1.460784,0.476343,1.671535,2.115821,1.08e-06
37,phi = 0,12.553676,17.933707,-57.706164,-0.000000,1.398562,-1.460784,0.476339,1.676459,2.115805,1.70e-05
38,beta = 0,12.553676,18.078483,-57.732957,-96.109731,1.398600,-1.460792,0.476343,-0.000000,2.115779,4.32e-05
39,beta = 0,12.853335,18.583066,-57.823084,-96.297128,1.398724,-1.460804,0.476351,-0.000000,2.115820,2.48e-06
40,phi = 0,13.514865,19.076598,-57.906490,0.000000,1.398836,-1.460784,0.476343,1.683732,2.115822,6.15e-08
