n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.770362,1.896323,-27.722417,0.000000,1.178848,-1.460894,0.468422,0.740795,2.055665,5.78e-02
2,beta = 0,0.770362,1.913928,-28.073016,-43.010822,1.184170,-1.461917,0.468979,-0.000106,2.049136,6.43e-02
3,beta = 0,1.119626,2.388653,-35.238538,-54.692636,1.266344,-1.474720,0.477956,-0.000002,2.113421,3.93e-05
4,phi = 0,1.372732,2.644626,-37.887122,0.000000,1.289907,-1.470508,0.476292,1.032294,2.112962,4.99e-04
5,phi = 0,2.113020,3.598930,-44.285908,0.000000,1.346357,-1.468129,0.473952,1.226686,2.110773,2.69e-03
6,beta = 0,2.113020,3.646509,-44.516860,-70.698901,1.348026,-1.468494,0.474149,-0.000027,2.108298,5.16e-03
7,beta = 0,2.469743,4.048285,-46.208995,-73.755216,1.358718,-1.469482,0.474976,-0.000027,2.113028,4.33e-04
8,phi = 0,2.805328,4.417583,-47.494523,0.000000,1.366049,-1.468229,0.474530,1.328356,2.113457,3.60e-06
9,phi = 0,3.376062,5.292479,-49.782279,0.000000,1.378705,-1.468024,0.474136,1.402862,2.112624,8.37e-04
10,beta = 0,3.376062,5.357916,-49.924617,-80.647677,1.379406,-1.468179,0.474210,-0.000010,2.111676,1.78e-03
11,beta = 0,3.762786,5.823795,-50.833119,-82.374718,1.383447,-1.468566,0.474503,-0.000011,2.113272,1.89e-04
12,phi = 0,4.157485,6.243425,-51.539276,0.000000,1.386342,-1.468078,0.474332,1.461338,2.113462,1.52e-06
13,phi = 0,4.813441,7.284808,-52.922730,0.000000,1.391747,-1.468232,0.474302,1.508207,2.113566,1.05e-04
14,beta = 0,4.813441,7.372489,-53.023198,-86.610780,1.392098,-1.468297,0.474339,-0.000003,2.113186,2.74e-04
15,beta = 0,5.036730,7.639199,-53.308354,-87.170443,1.393036,-1.468312,0.474377,-0.000004,2.113379,8.22e-05
16,phi = 0,5.504240,8.086213,-53.746815,0.000000,1.394431,-1.468081,0.474295,1.536489,2.113465,4.01e-06
17,phi = 0,5.981419,8.849053,-54.388086,0.000000,1.396421,-1.468067,0.474241,1.558691,2.113276,1.85e-04
18,beta = 0,5.981419,8.950819,-54.465876,-89.461589,1.396649,-1.468116,0.474262,-0.000003,2.113057,4.03e-04
19,beta = 0,6.480088,9.472483,-54.836560,-90.202158,1.397667,-1.468218,0.474330,-0.000002,2.113416,4.49e-05
20,phi = 0,6.738656,9.936527,-55.132912,0.000000,1.398434,-1.468093,0.474285,1.584699,2.113457,3.83e-06
21,phi = 0,7.488923,11.009487,-55.723235,0.000000,1.399904,-1.468158,0.474293,1.605484,2.113532,7.10e-05
22,beta = 0,7.488923,11.117593,-55.777108,-92.096592,1.400028,-1.468178,0.474305,-0.000001,2.113414,4.69e-05
23,beta = 0,7.746047,11.315205,-55.870666,-92.286326,1.400236,-1.468171,0.474308,-0.000002,2.113426,3.46e-05
24,phi = 0,8.016988,11.790800,-56.085046,-0.000000,1.400704,-1.468096,0.474281,1.618299,2.113456,4.88e-06
25,phi = 0,8.813585,12.852546,-56.505771,0.000000,1.401592,-1.468141,0.474288,1.633276,2.113506,4.50e-05
26,beta = 0,8.813585,12.972116,-56.549403,-93.669123,1.401678,-1.468154,0.474296,-0.000000,2.113433,2.80e-05
27,beta = 0,9.083928,13.163496,-56.616107,-93.805710,1.401806,-1.468149,0.474297,-0.000001,2.113438,2.27e-05
28,phi = 0,9.372038,13.647444,-56.777749,-0.000000,1.402111,-1.468102,0.474280,1.643001,2.113459,2.18e-06
29,phi = 0,9.936174,14.341881,-56.990753,-0.000000,1.402507,-1.468099,0.474271,1.650642,2.113420,4.03e-05
30,beta = 0,9.936174,14.470455,-57.027995,-94.651510,1.402574,-1.468113,0.474276,-0.000001,2.113367,9.42e-05
31,beta = 0,10.509759,15.015338,-57.178721,-94.962140,1.402834,-1.468141,0.474293,-0.000000,2.113454,6.27e-06
32,phi = 0,10.807318,15.505599,-57.304702,0.000000,1.403043,-1.468106,0.474281,1.661942,2.113463,2.70e-06
33,phi = 0,11.413260,16.441986,-57.524801,0.000000,1.403400,-1.468119,0.474281,1.669891,2.113467,6.32e-06
34,beta = 0,11.413260,16.592014,-57.558077,-95.746723,1.403452,-1.468129,0.474286,-0.000000,2.113437,2.40e-05
35,beta = 0,11.721642,16.869602,-57.617249,-95.869470,1.403541,-1.468129,0.474288,-0.000000,2.113447,1.40e-05
36,phi = 0,12.018272,17.364785,-57.718690,0.000000,1.403691,-1.468107,0.474280,1.676914,2.113460,8.82e-07
37,phi = 0,12.616404,18.086686,-57.856438,0.000000,1.403893,-1.468108,0.474276,1.681913,2.113446,1.50e-05
38,beta = 0,12.616404,18.233461,-57.883185,-96.422236,1.403931,-1.468116,0.474280,-0.000000,2.113420,4.03e-05
39,beta = 0,12.917906,18.725553,-57.969731,-96.602544,1.404050,-1.468127,0.474287,-0.000000,2.113457,3.47e-06
40,phi = 0,13.255105,19.224698,-58.052879,0.000000,1.404161,-1.468107,0.474280,1.689059,2.113460,5.91e-07
41,phi = 0,13.935168,19.887479,-58.156388,0.000000,1.404298,-1.468108,0.474277,1.692832,2.113447,1.36e-05
42,beta = 0,13.935168,20.062598,-58.182729,-97.047215,1.404332,-1.468114,0.474279,-0.000000,2.113429,3.18e-05
43,beta = 0,14.278032,20.582763,-58.258270,-97.205216,1.404427,-1.468122,0.474285,-0.000000,2.113455,5.76e-06
44,phi = 0,14.636451,21.085154,-58.327604,0.000000,1.404512,-1.468109,0.474280,1.699084,2.113459,1.36e-06
45,phi = 0,15.319198,21.880479,-58.430810,0.000000,1.404636,-1.468112,0.474279,1.702860,2.113457,3.71e-06
46,beta = 0,15.319198,22.044043,-58.451210,-97.609501,1.404660,-1.468117,0.474281,-0.000000,2.113444,1.68e-05
47,beta = 0,15.643526,22.440913,-58.499200,-97.710224,1.404714,-1.468119,0.474283,-0.000000,2.113455,5.67e-06
48,phi = 0,15.972701,22.946014,-58.557988,0.000000,1.404780,-1.468110,0.474280,1.707520,2.113460,6.78e-07
49,phi = 0,16.636079,23.716014,-58.642670,0.000000,1.404874,-1.468112,0.474279,1.710627,2.113457,3.63e-06
50,beta = 0,16.636079,23.887034,-58.660815,-98.049897,1.404894,-1.468116,0.474281,-0.000000,2.113447,1.38e-05
51,beta = 0,16.970282,24.299791,-58.703352,-98.139422,1.404939,-1.468118,0.474283,-0.000000,2.113456,4.67e-06
52,phi = 0,17.309557,24.807190,-58.753777,0.000000,1.404991,-1.468110,0.474280,1.714709,2.113460,4.93e-07
53,phi = 0,17.993484,25.627617,-58.831009,0.000000,1.405070,-1.468113,0.474280,1.717551,2.113460,1.06e-06
54,beta = 0,17.993484,25.806605,-58.847289,-98.442738,1.405086,-1.468116,0.474281,-0.000000,2.113452,8.74e-06
55,beta = 0,18.338137,26.159244,-58.878492,-98.508573,1.405117,-1.468117,0.474282,-0.000000,2.113456,4.34e-06
56,phi = 0,18.689152,26.668615,-58.922209,-0.000000,1.405159,-1.468111,0.474280,1.720909,2.113461,9.35e-08
57,phi = 0,19.398389,27.628835,-59.000227,0.000000,1.405233,-1.468115,0.474281,1.723786,2.113464,2.86e-06
58,beta = 0,19.398389,27.818182,-59.015085,-98.797079,1.405247,-1.468117,0.474282,-0.000000,2.113458,3.10e-06
59,beta = 0,19.756612,28.019157,-59.030447,-98.829561,1.405261,-1.468116,0.474282,-0.000000,2.113458,2.97e-06
60,phi = 0,20.142224,28.530239,-59.068705,0.000000,1.405295,-1.468112,0.474280,1.726313,2.113462,1.09e-06
61,phi = 0,20.913448,29.841460,-59.160902,0.000000,1.405376,-1.468115,0.474281,1.729720,2.113468,6.79e-06
62,phi = 0,21.313061,30.392028,-59.197232,0.000000,1.405407,-1.468112,0.474280,1.731064,2.113460,3.35e-07
63,phi = 0,22.093314,31.420455,-59.261696,0.000000,1.405461,-1.468114,0.474281,1.733449,2.113464,3.06e-06
64,beta = 0,22.093314,31.627606,-59.274277,-99.346014,1.405471,-1.468116,0.474282,-0.000000,2.113460,9.55e-07
65,beta = 0,22.473954,31.740048,-59.280945,-99.360161,1.405476,-1.468116,0.474281,-0.000000,2.113459,1.29e-06
66,phi = 0,22.862160,32.253951,-59.311005,0.000000,1.405500,-1.468112,0.474280,1.735275,2.113461,5.42e-07
67,phi = 0,23.258333,32.948144,-59.350029,0.000000,1.405531,-1.468112,0.474280,1.736721,2.113459,1.87e-06
68,beta = 0,23.258333,33.167778,-59.362086,-99.532423,1.405541,-1.468114,0.474280,-0.000000,2.113455,5.28e-06
69,beta = 0,23.654506,33.600909,-59.385315,-99.581773,1.405558,-1.468114,0.474281,-0.000000,2.113458,2.58e-06
70,phi = 0,24.043035,34.115988,-59.412214,0.000000,1.405579,-1.468112,0.474280,1.739028,2.113461,3.52e-07
71,phi = 0,24.842387,35.319746,-59.472006,0.000000,1.405623,-1.468114,0.474281,1.741247,2.113464,3.52e-06
