n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.634698,1.273108,-11.827976,0.000000,0.561062,-0.393897,0.499963,0.310767,1.303715,3.00e-01
2,beta = 0,0.634698,1.275905,-11.897177,-17.911159,0.563206,-0.394358,0.500191,-0.000010,1.299416,3.04e-01
3,beta = 0,1.176649,1.584410,-18.073356,-27.340900,0.605918,-0.454533,0.539971,-0.000007,1.601837,1.88e-03
4,phi = 0,1.274231,1.637661,-18.961095,0.000000,0.598208,-0.450758,0.538543,0.501057,1.603076,6.41e-04
5,phi = 0,1.844296,1.998131,-23.464557,0.000000,0.626598,-0.424824,0.520351,0.623258,1.540891,6.28e-02
6,beta = 0,1.844296,2.006384,-23.544794,-35.836206,0.627523,-0.425408,0.520640,-0.000007,1.535980,6.77e-02
7,beta = 0,2.330944,2.294067,-26.004801,-39.712873,0.633482,-0.440623,0.530848,-0.000005,1.602552,1.17e-03
8,phi = 0,2.451638,2.376711,-26.608449,0.000000,0.631875,-0.438103,0.529873,0.709829,1.603091,6.26e-04
9,phi = 0,3.117665,2.806326,-29.113664,0.000000,0.643706,-0.432406,0.525291,0.779703,1.588978,1.47e-02
10,beta = 0,3.117665,2.818917,-29.175438,-44.773175,0.643993,-0.432832,0.525530,-0.000003,1.586569,1.71e-02
11,beta = 0,3.535580,3.041926,-30.182897,-46.397794,0.644734,-0.436647,0.528363,-0.000002,1.603318,3.98e-04
12,phi = 0,3.673835,3.140749,-30.583400,0.000000,0.644428,-0.435188,0.527794,0.821108,1.603494,2.23e-04
13,phi = 0,4.258886,3.534539,-31.943408,0.000000,0.649163,-0.432568,0.525680,0.859718,1.595511,8.21e-03
14,beta = 0,4.258886,3.549869,-31.990285,-49.334840,0.649344,-0.432807,0.525801,-0.000002,1.593971,9.75e-03
15,beta = 0,4.714893,3.805655,-32.715596,-50.521982,0.650204,-0.435085,0.527410,-0.000001,1.603379,3.37e-04
16,phi = 0,4.869692,3.914382,-32.995126,0.000000,0.650205,-0.434250,0.527089,0.889783,1.603564,1.53e-04
17,phi = 0,5.504272,4.346454,-33.962486,-0.000000,0.652796,-0.433381,0.526243,0.917605,1.600542,3.17e-03
18,beta = 0,5.504272,4.364200,-33.998313,-52.634155,0.652882,-0.433542,0.526331,-0.000001,1.599675,4.04e-03
19,beta = 0,5.831448,4.577390,-34.404866,-53.307113,0.653210,-0.434405,0.527005,-0.000001,1.603482,2.34e-04
20,phi = 0,5.994138,4.692726,-34.609640,0.000000,0.653273,-0.433883,0.526806,0.936311,1.603617,9.97e-05
21,phi = 0,6.692046,5.113348,-35.274491,0.000000,0.654718,-0.433407,0.526322,0.955610,1.601749,1.97e-03
22,beta = 0,6.692046,5.135346,-35.306462,-54.805776,0.654782,-0.433527,0.526386,-0.000001,1.601214,2.50e-03
23,beta = 0,7.064573,5.353713,-35.607883,-55.308786,0.655036,-0.434050,0.526791,-0.000001,1.603493,2.24e-04
24,phi = 0,7.255141,5.473762,-35.763377,0.000000,0.655115,-0.433720,0.526666,0.969856,1.603620,9.71e-05
25,phi = 0,7.814372,5.843457,-36.201377,0.000000,0.655900,-0.433296,0.526301,0.982658,1.602020,1.70e-03
26,beta = 0,7.814372,5.864945,-36.225171,-56.342071,0.655947,-0.433367,0.526335,-0.000000,1.601584,2.13e-03
27,beta = 0,8.171076,6.132891,-36.507781,-56.816574,0.656217,-0.433910,0.526710,-0.000000,1.603689,2.75e-05
28,phi = 0,8.356211,6.256450,-36.629784,0.000000,0.656275,-0.433650,0.526609,0.995217,1.603704,1.28e-05
29,phi = 0,9.137277,6.718033,-37.044606,0.000000,0.656909,-0.433578,0.526471,1.007413,1.603206,5.11e-04
30,beta = 0,9.137277,6.744181,-37.066594,-57.757605,0.656936,-0.433640,0.526507,-0.000000,1.602969,7.48e-04
31,phi = 0,9.555560,7.040258,-37.302725,0.000000,0.657074,-0.433601,0.526566,1.015020,1.603697,1.95e-05
32,beta = 0,9.555560,6.913977,-37.204640,-57.990628,0.657025,-0.433793,0.526640,-0.000000,1.603699,1.78e-05
33,phi = 0,10.178153,7.384998,-37.552967,0.000000,0.657413,-0.433387,0.526384,1.022408,1.602852,8.65e-04
34,beta = 0,10.178153,7.410223,-37.570401,-58.609178,0.657439,-0.433425,0.526400,-0.000000,1.602615,1.10e-03
35,beta = 0,10.571792,7.696392,-37.760167,-58.930727,0.657599,-0.433707,0.526590,-0.000000,1.603674,4.29e-05
36,phi = 0,10.772663,7.824843,-37.840732,0.000000,0.657643,-0.433571,0.526537,1.030920,1.603687,3.00e-05
37,phi = 0,11.378953,8.172260,-38.045745,0.000000,0.657886,-0.433428,0.526412,1.036995,1.603101,6.16e-04
38,beta = 0,11.378953,8.199075,-38.060873,-59.441175,0.657906,-0.433458,0.526426,-0.000000,1.602926,7.90e-04
39,beta = 0,11.788051,8.479771,-38.213369,-59.700462,0.658023,-0.433653,0.526559,-0.000000,1.603664,5.24e-05
40,phi = 0,11.994928,8.609990,-38.280694,0.000000,0.658060,-0.433555,0.526520,1.043969,1.603686,3.04e-05
41,phi = 0,12.618729,8.992399,-38.467057,0.000000,0.658258,-0.433480,0.526443,1.049509,1.603333,3.84e-04
42,beta = 0,12.618729,9.020351,-38.480095,-60.154677,0.658271,-0.433507,0.526456,-0.000000,1.603213,5.04e-04
43,beta = 0,13.041501,9.263872,-38.590048,-60.342181,0.658345,-0.433619,0.526538,-0.000000,1.603663,5.35e-05
44,phi = 0,13.253649,9.395558,-38.647160,0.000000,0.658375,-0.433548,0.526512,1.054871,1.603700,1.71e-05
45,phi = 0,13.920041,9.856898,-38.835040,0.000000,0.658551,-0.433544,0.526481,1.060471,1.603582,1.34e-04
46,beta = 0,13.920041,9.888914,-38.847504,-60.781824,0.658561,-0.433567,0.526495,-0.000000,1.603506,2.10e-04
47,beta = 0,14.152021,10.048526,-38.908128,-60.885471,0.658594,-0.433602,0.526529,-0.000000,1.603690,2.64e-05
48,phi = 0,14.374634,10.181450,-38.957102,0.000000,0.658619,-0.433538,0.526503,1.064114,1.603697,2.00e-05
49,phi = 0,15.041954,10.588367,-39.099406,0.000000,0.658743,-0.433511,0.526466,1.068365,1.603526,1.90e-04
50,beta = 0,15.041954,10.618940,-39.109694,-61.230429,0.658751,-0.433529,0.526475,-0.000000,1.603457,2.60e-04
51,beta = 0,15.496198,10.833616,-39.180092,-61.351032,0.658791,-0.433586,0.526519,-0.000000,1.603694,2.26e-05
52,phi = 0,15.735857,10.967596,-39.222676,0.000000,0.658811,-0.433538,0.526502,1.072051,1.603716,6.03e-07
53,phi = 0,16.204828,11.346863,-39.337453,0.000000,0.658904,-0.433502,0.526463,1.075487,1.603534,1.82e-04
54,beta = 0,16.204828,11.378885,-39.346824,-61.636928,0.658912,-0.433517,0.526470,-0.000000,1.603475,2.42e-04
55,beta = 0,16.668295,11.619052,-39.415315,-61.754476,0.658950,-0.433571,0.526510,-0.000000,1.603691,2.54e-05
56,phi = 0,16.920759,11.753948,-39.452588,0.000000,0.658967,-0.433534,0.526497,1.078936,1.603715,2.04e-06
57,phi = 0,17.408184,12.139042,-39.554261,0.000000,0.659043,-0.433508,0.526468,1.081984,1.603575,1.41e-04
58,beta = 0,17.408184,12.172252,-39.562752,-62.007725,0.659049,-0.433520,0.526474,-0.000000,1.603528,1.89e-04
59,beta = 0,17.884893,12.404770,-39.620818,-62.107541,0.659079,-0.433563,0.526506,-0.000000,1.603699,1.72e-05
60,phi = 0,18.138484,12.540464,-39.653749,0.000000,0.659094,-0.433531,0.526495,1.084969,1.603716,1.79e-07
61,phi = 0,18.631847,12.948542,-39.748365,0.000000,0.659159,-0.433517,0.526474,1.087811,1.603619,9.72e-05
62,beta = 0,18.631847,12.982792,-39.756066,-62.340212,0.659164,-0.433528,0.526479,-0.000000,1.603583,1.34e-04
63,phi = 0,19.124964,13.327117,-39.831091,0.000000,0.659199,-0.433527,0.526491,1.090296,1.603709,8.05e-06
64,beta = 0,19.124964,13.190718,-39.801884,-62.419088,0.659186,-0.433559,0.526504,-0.000000,1.603712,4.21e-06
65,phi = 0,19.876728,13.775825,-39.923136,0.000000,0.659258,-0.433527,0.526480,1.093064,1.603665,5.17e-05
66,beta = 0,19.876728,13.811202,-39.930171,-62.640090,0.659262,-0.433537,0.526486,-0.000000,1.603636,8.02e-05
67,beta = 0,20.121799,13.976860,-39.962514,-62.695841,0.659276,-0.433550,0.526498,-0.000000,1.603705,1.21e-05
68,phi = 0,20.398737,14.113884,-39.988630,0.000000,0.659287,-0.433525,0.526488,1.095035,1.603705,1.19e-05
69,phi = 0,20.952613,14.449973,-40.050720,0.000000,0.659324,-0.433505,0.526470,1.096904,1.603618,9.90e-05
70,beta = 0,20.952613,14.491490,-40.058197,-62.860863,0.659329,-0.433513,0.526474,-0.000000,1.603588,1.29e-04
71,phi = 0,21.506489,14.900744,-40.129656,0.000000,0.659361,-0.433525,0.526488,1.099281,1.603711,5.75e-06
72,beta = 0,21.506489,14.763165,-40.106084,-62.943496,0.659351,-0.433546,0.526496,-0.000000,1.603707,9.74e-06
73,phi = 0,22.344466,15.405037,-40.212364,0.000000,0.659406,-0.433533,0.526486,1.101774,1.603707,9.60e-06
74,beta = 0,22.344466,15.448159,-40.219232,-63.138873,0.659410,-0.433541,0.526490,-0.000000,1.603690,2.72e-05
75,beta = 0,22.628568,15.549606,-40.235097,-63.166281,0.659416,-0.433539,0.526492,-0.000000,1.603698,1.89e-05
76,phi = 0,22.886940,15.687687,-40.256466,0.000000,0.659424,-0.433526,0.526488,1.103104,1.603716,1.05e-06
77,phi = 0,23.406180,16.087909,-40.316167,0.000000,0.659456,-0.433518,0.526477,1.104905,1.603666,5.09e-05
78,beta = 0,23.406180,16.126629,-40.321803,-63.316135,0.659459,-0.433524,0.526481,-0.000000,1.603647,6.95e-05
79,beta = 0,23.667048,16.336165,-40.351802,-63.368005,0.659471,-0.433540,0.526493,-0.000000,1.603714,2.47e-06
80,phi = 0,23.943833,16.474699,-40.371144,0.000000,0.659478,-0.433523,0.526485,1.106564,1.603709,7.56e-06
81,phi = 0,24.497404,16.780476,-40.412797,0.000000,0.659499,-0.433508,0.526473,1.107822,1.603649,6.78e-05
82,beta = 0,24.497404,16.822385,-40.418389,-63.483186,0.659502,-0.433513,0.526475,-0.000000,1.603627,8.98e-05
83,beta = 0,25.054275,17.122826,-40.457687,-63.551191,0.659519,-0.433535,0.526490,-0.000000,1.603706,1.03e-05
84,phi = 0,25.347119,17.261770,-40.475436,0.000000,0.659525,-0.433524,0.526486,1.109714,1.603717,5.41e-08
85,phi = 0,25.911314,17.758617,-40.536429,0.000000,0.659554,-0.433529,0.526484,1.111557,1.603709,7.38e-06
86,beta = 0,25.911314,17.799602,-40.541336,-63.696017,0.659556,-0.433533,0.526487,-0.000000,1.603697,1.99e-05
87,beta = 0,26.182664,17.909575,-40.554302,-63.718475,0.659561,-0.433532,0.526488,-0.000000,1.603705,1.17e-05
88,phi = 0,26.454751,18.048894,-40.570547,0.000000,0.659567,-0.433524,0.526485,1.112588,1.603715,1.59e-06
89,phi = 0,27.001477,18.456257,-40.616589,0.000000,0.659588,-0.433520,0.526479,1.113981,1.603686,3.07e-05
90,beta = 0,27.001477,18.497980,-40.621203,-63.834385,0.659590,-0.433524,0.526482,-0.000000,1.603674,4.24e-05
91,beta = 0,27.276117,18.696401,-40.642821,-63.871852,0.659597,-0.433532,0.526488,-0.000000,1.603711,5.35e-06
92,phi = 0,27.573703,18.836064,-40.657727,0.000000,0.659603,-0.433522,0.526484,1.115225,1.603711,5.55e-06
93,phi = 0,28.168955,19.210878,-40.696734,0.000000,0.659620,-0.433517,0.526478,1.116405,1.603683,3.33e-05
94,beta = 0,28.168955,19.257364,-40.701475,-63.973544,0.659622,-0.433522,0.526480,-0.000000,1.603673,4.37e-05
95,beta = 0,28.466621,19.483295,-40.724169,-64.012902,0.659630,-0.433531,0.526488,-0.000000,1.603712,4.82e-06
96,phi = 0,28.765800,19.623274,-40.737932,0.000000,0.659634,-0.433522,0.526484,1.117653,1.603712,4.99e-06
97,phi = 0,29.366583,19.999990,-40.774076,0.000000,0.659649,-0.433518,0.526479,1.118747,1.603688,2.89e-05
98,beta = 0,29.366583,20.047400,-40.778538,-64.107224,0.659651,-0.433522,0.526481,-0.000000,1.603679,3.80e-05
99,beta = 0,29.668188,20.270250,-40.799200,-64.143081,0.659658,-0.433529,0.526487,-0.000000,1.603712,5.12e-06
