n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.772277,1.896767,-27.683768,-0.000000,1.176216,-1.455733,0.466255,0.739718,2.040194,5.81e-02
2,beta = 0,0.772277,1.914336,-28.032953,-42.946718,1.181506,-1.456753,0.466810,-0.000106,2.033673,6.46e-02
3,beta = 0,1.244455,2.392164,-35.222895,-54.666635,1.263664,-1.469668,0.475850,-0.000003,2.098216,5.58e-05
4,phi = 0,1.376415,2.648577,-37.865870,-0.000000,1.287038,-1.465459,0.474189,1.031665,2.097779,4.93e-04
5,phi = 0,2.119652,3.600931,-44.231381,-0.000000,1.342958,-1.463048,0.471830,1.224984,2.095498,2.77e-03
6,beta = 0,2.119652,3.648434,-44.461431,-70.599600,1.344616,-1.463413,0.472027,-0.000027,2.093030,5.24e-03
7,beta = 0,2.476221,4.055507,-46.170166,-73.684551,1.355367,-1.464428,0.472870,-0.000027,2.097832,4.40e-04
8,phi = 0,2.812691,4.425183,-47.450612,0.000000,1.362630,-1.463184,0.472427,1.326943,2.098266,6.22e-06
9,phi = 0,3.423298,5.337190,-49.808531,0.000000,1.375554,-1.463046,0.472069,1.403727,2.097617,6.55e-04
10,beta = 0,3.423298,5.411310,-49.967207,-80.728325,1.376323,-1.463215,0.472152,-0.000012,2.096755,1.52e-03
11,beta = 0,3.823157,5.834542,-50.783909,-82.280579,1.379914,-1.463530,0.472405,-0.000008,2.098132,1.41e-04
12,phi = 0,4.019481,6.254510,-51.484305,0.000000,1.382766,-1.463028,0.472224,1.459491,2.098247,2.51e-05
13,phi = 0,4.687611,7.038145,-52.559756,0.000000,1.387036,-1.462969,0.472094,1.495837,2.097851,4.21e-04
14,beta = 0,4.687611,7.132792,-52.674479,-85.929209,1.387459,-1.463060,0.472134,-0.000006,2.097445,8.27e-04
15,beta = 0,5.146072,7.653436,-53.251235,-87.058203,1.389419,-1.463264,0.472273,-0.000004,2.098192,8.03e-05
16,phi = 0,5.369221,8.100706,-53.687121,0.000000,1.390797,-1.463028,0.472188,1.534431,2.098259,1.36e-05
17,phi = 0,6.116297,9.031534,-54.452524,0.000000,1.393133,-1.463086,0.472168,1.560932,2.098243,2.94e-05
18,beta = 0,6.116297,9.144633,-54.536008,-89.601420,1.393370,-1.463135,0.472193,-0.000002,2.098060,2.12e-04
19,beta = 0,6.378260,9.490138,-54.775369,-90.079677,1.394010,-1.463164,0.472225,-0.000002,2.098223,4.88e-05
20,phi = 0,6.854048,9.954386,-55.071815,0.000000,1.394775,-1.463040,0.472181,1.582557,2.098276,3.38e-06
21,phi = 0,7.368373,10.749366,-55.517295,0.000000,1.395896,-1.463048,0.472159,1.598215,2.098199,7.31e-05
22,beta = 0,7.368373,10.866154,-55.577710,-91.693130,1.396041,-1.463079,0.472172,-0.000002,2.098081,1.91e-04
23,beta = 0,7.889639,11.336240,-55.807928,-92.159023,1.396564,-1.463131,0.472209,-0.000000,2.098269,2.84e-06
24,phi = 0,8.147461,11.812053,-56.020245,0.000000,1.397024,-1.463049,0.472178,1.616000,2.098275,2.36e-06
25,phi = 0,8.669811,12.558018,-56.322005,0.000000,1.397668,-1.463048,0.472163,1.626725,2.098219,5.30e-05
26,beta = 0,8.669811,12.676552,-56.366833,-93.296001,1.397759,-1.463068,0.472171,-0.000001,2.098141,1.32e-04
27,beta = 0,9.222219,13.187931,-56.550671,-93.671720,1.398119,-1.463104,0.472195,-0.000000,2.098263,9.00e-06
28,phi = 0,9.511975,13.672066,-56.711240,0.000000,1.398420,-1.463053,0.472177,1.640620,2.098275,3.10e-06
29,phi = 0,10.100757,14.560307,-56.978612,0.000000,1.398910,-1.463067,0.472174,1.650206,2.098269,3.31e-06
30,beta = 0,10.100757,14.702140,-57.018657,-94.632277,1.398980,-1.463081,0.472181,-0.000000,2.098225,4.73e-05
31,beta = 0,10.399783,15.043167,-57.110829,-94.822161,1.399136,-1.463085,0.472187,-0.000001,2.098255,1.78e-05
32,phi = 0,10.683821,15.533586,-57.236951,0.000000,1.399345,-1.463053,0.472175,1.659499,2.098270,1.92e-06
33,phi = 0,11.608806,16.728705,-57.512154,0.000000,1.399784,-1.463079,0.472182,1.669434,2.098306,3.34e-05
34,beta = 0,11.608806,16.885821,-57.546039,-95.721753,1.399835,-1.463084,0.472185,-0.000000,2.098272,5.05e-07
35,beta = 0,11.929279,16.900785,-57.549140,-95.728182,1.399840,-1.463083,0.472185,-0.000000,2.098271,1.22e-06
36,phi = 0,12.249752,17.396135,-57.649834,0.000000,1.399988,-1.463057,0.472176,1.674418,2.098274,2.03e-06
37,phi = 0,12.890699,18.501741,-57.855285,0.000000,1.400283,-1.463073,0.472179,1.681871,2.098292,1.95e-05
38,beta = 0,12.890699,18.660063,-57.883103,-96.422054,1.400321,-1.463078,0.472182,-0.000000,2.098269,3.76e-06
39,beta = 0,13.211172,18.760116,-57.900056,-96.457366,1.400344,-1.463076,0.472182,-0.000000,2.098267,5.44e-06
40,phi = 0,13.531645,19.259413,-57.982691,0.000000,1.400454,-1.463059,0.472176,1.686504,2.098274,1.91e-06
41,phi = 0,14.182876,20.285774,-58.139882,0.000000,1.400658,-1.463068,0.472177,1.692230,2.098283,1.02e-05
42,beta = 0,14.182876,20.451906,-58.164103,-97.008270,1.400689,-1.463073,0.472180,-0.000000,2.098266,6.07e-06
43,beta = 0,14.513633,20.620689,-58.187892,-97.058006,1.400718,-1.463072,0.472180,-0.000000,2.098266,6.33e-06
44,phi = 0,14.853856,21.123225,-58.256900,0.000000,1.400802,-1.463060,0.472176,1.696501,2.098274,1.55e-06
45,phi = 0,15.538154,22.184980,-58.392489,0.000000,1.400963,-1.463068,0.472177,1.701458,2.098282,9.59e-06
46,beta = 0,15.538154,22.361117,-58.413970,-97.531383,1.400987,-1.463071,0.472179,-0.000000,2.098269,2.92e-06
47,beta = 0,15.882229,22.482199,-58.428275,-97.561388,1.401003,-1.463070,0.472179,-0.000000,2.098268,3.81e-06
48,phi = 0,16.226847,22.987441,-58.486748,0.000000,1.401069,-1.463060,0.472176,1.704909,2.098274,1.47e-06
49,phi = 0,16.916374,24.138609,-58.610836,0.000000,1.401204,-1.463067,0.472177,1.709459,2.098283,1.05e-05
50,beta = 0,16.916374,24.316172,-58.629155,-97.983290,1.401223,-1.463070,0.472179,-0.000000,2.098272,3.55e-07
51,beta = 0,17.264427,24.344434,-58.631986,-97.989246,1.401226,-1.463069,0.472179,-0.000000,2.098272,7.55e-07
52,phi = 0,17.612479,24.851970,-58.682141,0.000000,1.401278,-1.463060,0.472175,1.712077,2.098273,7.03e-07
53,phi = 0,17.972049,25.464439,-58.739904,0.000000,1.401337,-1.463059,0.472174,1.714199,2.098265,6.87e-06
54,beta = 0,17.972049,25.652879,-58.757172,-98.252768,1.401354,-1.463063,0.472175,-0.000000,2.098256,1.59e-05
55,beta = 0,18.331618,26.207247,-58.806552,-98.356833,1.401402,-1.463067,0.472178,-0.000000,2.098269,2.87e-06
56,phi = 0,18.713925,26.716751,-58.850051,0.000000,1.401444,-1.463060,0.472175,1.718252,2.098272,6.70e-07
57,phi = 0,19.454352,27.621887,-58.923398,0.000000,1.401514,-1.463064,0.472176,1.720953,2.098274,1.37e-06
58,beta = 0,19.454352,27.810040,-58.938142,-98.634494,1.401527,-1.463066,0.472177,-0.000000,2.098268,4.50e-06
59,beta = 0,19.812473,28.070520,-58.958025,-98.676494,1.401545,-1.463066,0.472177,-0.000000,2.098269,3.44e-06
60,phi = 0,20.215881,28.581730,-58.996108,0.000000,1.401579,-1.463062,0.472176,1.723634,2.098273,1.06e-06
61,phi = 0,21.022697,29.918097,-59.089615,0.000000,1.401661,-1.463065,0.472177,1.727086,2.098279,6.60e-06
62,phi = 0,21.429099,30.446872,-59.124319,0.000000,1.401690,-1.463061,0.472175,1.728368,2.098272,1.96e-07
63,phi = 0,22.259525,31.578212,-59.194686,0.000000,1.401749,-1.463064,0.472176,1.730969,2.098276,3.96e-06
64,phi = 0,22.683549,32.312148,-59.237777,0.000000,1.401783,-1.463061,0.472175,1.732564,2.098272,5.22e-07
65,phi = 0,23.495097,33.283843,-59.291771,0.000000,1.401825,-1.463063,0.472176,1.734563,2.098274,1.81e-06
66,beta = 0,23.495097,33.495482,-59.303204,-99.407397,1.401834,-1.463065,0.472177,-0.000000,2.098271,1.38e-06
67,beta = 0,23.882620,33.662337,-59.312014,-99.426098,1.401841,-1.463065,0.472177,-0.000000,2.098271,1.54e-06
68,phi = 0,24.287928,34.177537,-59.338806,0.000000,1.401861,-1.463062,0.472176,1.736306,2.098273,6.40e-07
69,phi = 0,24.693236,34.864901,-59.373257,0.000000,1.401886,-1.463062,0.472175,1.737583,2.098271,1.61e-06
70,beta = 0,24.693236,35.090909,-59.384328,-99.579676,1.401894,-1.463063,0.472176,-0.000000,2.098268,4.45e-06
71,beta = 0,25.098544,35.526772,-59.405208,-99.624047,1.401909,-1.463064,0.472176,-0.000000,2.098270,2.26e-06
