n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.655609,1.755076,-24.573490,0.000000,1.125002,-1.446363,0.467956,0.653663,2.021636,9.91e-02
2,beta = 0,0.655609,1.768987,-24.903838,-37.979321,1.130838,-1.447005,0.468231,-0.000117,2.014081,1.07e-01
3,beta = 0,1.119079,2.377599,-35.008845,-54.310931,1.260487,-1.467352,0.481067,-0.000015,2.120459,3.24e-04
4,phi = 0,1.371105,2.628925,-37.640628,0.000000,1.283869,-1.463210,0.479441,1.024999,2.120287,4.96e-04
5,phi = 0,2.106530,3.583540,-44.103656,0.000000,1.340914,-1.460831,0.477090,1.221002,2.118208,2.57e-03
6,beta = 0,2.106530,3.630468,-44.333364,-70.370315,1.342570,-1.461196,0.477289,-0.000027,2.115719,5.06e-03
7,beta = 0,2.462851,4.019241,-45.988753,-73.354544,1.353012,-1.462146,0.478099,-0.000025,2.120368,4.14e-04
8,phi = 0,2.626976,4.382585,-47.273159,0.000000,1.360340,-1.460866,0.477644,1.321239,2.120782,3.88e-07
9,phi = 0,3.367424,5.269377,-49.616760,0.000000,1.373326,-1.460703,0.477261,1.397411,2.120029,7.54e-04
10,beta = 0,3.367424,5.333865,-49.758273,-80.333298,1.374021,-1.460858,0.477337,-0.000010,2.119077,1.71e-03
11,beta = 0,3.751490,5.775899,-50.630365,-81.987781,1.377895,-1.461213,0.477616,-0.000011,2.120597,1.86e-04
12,phi = 0,3.946526,6.189169,-51.337317,0.000000,1.380799,-1.460712,0.477440,1.454558,2.120779,4.01e-06
13,phi = 0,4.800594,7.248535,-52.762161,0.000000,1.386376,-1.460888,0.477420,1.502729,2.120935,1.52e-04
14,beta = 0,4.800594,7.336165,-52.863601,-86.298402,1.386728,-1.460950,0.477456,-0.000003,2.120550,2.33e-04
15,beta = 0,5.025435,7.572269,-53.118535,-86.797780,1.387566,-1.460949,0.477484,-0.000005,2.120685,9.76e-05
16,phi = 0,5.481954,8.012726,-53.559154,0.000000,1.388973,-1.460713,0.477402,1.530024,2.120784,1.35e-06
17,phi = 0,5.958002,8.794379,-54.224887,0.000000,1.391045,-1.460714,0.477352,1.553025,2.120615,1.68e-04
18,beta = 0,5.958002,8.894462,-54.302343,-89.135928,1.391272,-1.460764,0.477374,-0.000003,2.120396,3.87e-04
19,beta = 0,6.458212,9.386442,-54.657135,-89.843239,1.392247,-1.460859,0.477439,-0.000002,2.120744,3.89e-05
20,phi = 0,6.720399,9.843854,-54.954066,0.000000,1.393019,-1.460731,0.477393,1.578432,2.120782,7.54e-07
21,phi = 0,7.469798,10.956727,-55.574436,0.000000,1.394565,-1.460803,0.477405,1.600230,2.120876,9.33e-05
22,beta = 0,7.469798,11.063025,-55.627945,-91.794633,1.394688,-1.460820,0.477416,-0.000000,2.120753,3.02e-05
23,beta = 0,7.730300,11.210052,-55.698244,-91.936923,1.394844,-1.460810,0.477416,-0.000001,2.120751,3.21e-05
24,phi = 0,7.992963,11.678952,-55.913136,0.000000,1.395316,-1.460734,0.477388,1.612203,2.120780,3.05e-06
25,phi = 0,8.775244,12.763669,-56.349747,0.000000,1.396239,-1.460781,0.477397,1.627713,2.120837,5.46e-05
26,beta = 0,8.775244,12.880867,-56.393102,-93.349606,1.396325,-1.460794,0.477405,-0.000000,2.120761,2.16e-05
27,beta = 0,9.046158,13.039221,-56.449056,-93.463947,1.396432,-1.460787,0.477405,-0.000001,2.120761,2.15e-05
28,phi = 0,9.327305,13.516431,-56.611260,0.000000,1.396740,-1.460739,0.477388,1.637044,2.120782,1.13e-06
29,phi = 0,9.882037,14.222860,-56.831619,0.000000,1.397151,-1.460737,0.477378,1.644932,2.120744,3.88e-05
30,beta = 0,9.882037,14.349295,-56.868834,-94.324134,1.397218,-1.460752,0.477384,-0.000001,2.120690,9.32e-05
31,beta = 0,10.453296,14.871936,-57.015923,-94.626631,1.397473,-1.460778,0.477401,-0.000000,2.120778,4.76e-06
32,phi = 0,10.750967,15.355431,-57.142416,0.000000,1.397684,-1.460742,0.477388,1.656095,2.120786,2.92e-06
33,phi = 0,11.351147,16.307611,-57.369974,-0.000000,1.398054,-1.460757,0.477388,1.664297,2.120793,9.73e-06
34,beta = 0,11.351147,16.453171,-57.402777,-95.425059,1.398105,-1.460767,0.477393,-0.000000,2.120761,2.18e-05
35,beta = 0,11.653654,16.707075,-57.457791,-95.538946,1.398189,-1.460766,0.477395,-0.000000,2.120769,1.39e-05
36,phi = 0,11.983891,17.195472,-57.559500,0.000000,1.398340,-1.460744,0.477387,1.671147,2.120783,2.24e-07
37,phi = 0,12.614835,18.054511,-57.725272,0.000000,1.398582,-1.460751,0.477386,1.677152,2.120781,1.41e-06
38,beta = 0,12.614835,18.200100,-57.751962,-96.149227,1.398620,-1.460759,0.477390,-0.000000,2.120758,2.50e-05
39,beta = 0,12.915544,18.543905,-57.812801,-96.275747,1.398704,-1.460761,0.477393,-0.000000,2.120773,9.38e-06
40,phi = 0,13.220321,19.036242,-57.896377,0.000000,1.398816,-1.460744,0.477387,1.683365,2.120782,1.18e-06
41,phi = 0,13.835963,19.711575,-58.003979,0.000000,1.398959,-1.460745,0.477384,1.687279,2.120769,1.35e-05
42,beta = 0,13.835963,19.864549,-58.027398,-96.722814,1.398990,-1.460751,0.477386,-0.000000,2.120749,3.33e-05
43,beta = 0,14.146826,20.381981,-58.104034,-96.882770,1.399086,-1.460760,0.477392,-0.000000,2.120780,2.54e-06
44,phi = 0,14.487257,20.877554,-58.173750,0.000000,1.399172,-1.460745,0.477387,1.693466,2.120782,5.31e-07
45,phi = 0,15.179107,21.555540,-58.263593,0.000000,1.399280,-1.460746,0.477385,1.696745,2.120773,9.35e-06
46,beta = 0,15.179107,21.736792,-58.286788,-97.264908,1.399308,-1.460752,0.477387,-0.000000,2.120760,2.29e-05
47,beta = 0,15.530526,22.221007,-58.346756,-97.390500,1.399377,-1.460756,0.477390,-0.000000,2.120777,6.09e-06
48,phi = 0,15.856602,22.719278,-58.405875,0.000000,1.399444,-1.460746,0.477387,1.701947,2.120782,7.68e-07
49,phi = 0,16.513810,23.456032,-58.488494,0.000000,1.399536,-1.460748,0.477386,1.704973,2.120778,4.93e-06
50,beta = 0,16.513810,23.624126,-58.506695,-97.725957,1.399556,-1.460752,0.477388,-0.000000,2.120767,1.56e-05
51,beta = 0,16.844940,24.060758,-58.552615,-97.822406,1.399604,-1.460755,0.477390,-0.000000,2.120778,4.40e-06
52,phi = 0,17.180946,24.561319,-58.603301,0.000000,1.399657,-1.460747,0.477387,1.709182,2.120782,6.17e-07
53,phi = 0,17.857988,25.339883,-58.678055,0.000000,1.399734,-1.460749,0.477386,1.711927,2.120780,2.33e-06
54,beta = 0,17.857988,25.515494,-58.694362,-98.120495,1.399751,-1.460752,0.477388,-0.000000,2.120772,1.04e-05
55,beta = 0,18.199023,25.901085,-58.729196,-98.193839,1.399785,-1.460753,0.477389,-0.000000,2.120778,4.30e-06
56,phi = 0,18.545607,26.403610,-58.773143,0.000000,1.399827,-1.460748,0.477387,1.715421,2.120783,1.61e-07
57,phi = 0,19.245970,27.305680,-58.847946,0.000000,1.399899,-1.460751,0.477387,1.718174,2.120784,1.59e-06
58,beta = 0,19.245970,27.490955,-58.862798,-98.475453,1.399913,-1.460753,0.477389,-0.000000,2.120778,4.50e-06
59,beta = 0,19.599750,27.741874,-58.882392,-98.516801,1.399931,-1.460753,0.477389,-0.000000,2.120779,3.51e-06
60,phi = 0,19.996072,28.246103,-58.920838,0.000000,1.399966,-1.460749,0.477387,1.720859,2.120784,1.09e-06
61,phi = 0,20.788716,29.558667,-59.014856,0.000000,1.400049,-1.460752,0.477389,1.724326,2.120790,6.84e-06
62,phi = 0,21.187833,30.088760,-59.050479,0.000000,1.400079,-1.460748,0.477387,1.725641,2.120783,2.59e-07
63,phi = 0,21.965509,31.137545,-59.117413,0.000000,1.400135,-1.460751,0.477388,1.728113,2.120786,3.56e-06
64,beta = 0,21.965509,31.342239,-59.130064,-99.040350,1.400145,-1.460753,0.477389,-0.000000,2.120782,6.61e-07
65,beta = 0,22.344069,31.424513,-59.135029,-99.050863,1.400149,-1.460752,0.477389,-0.000000,2.120782,1.00e-06
66,phi = 0,22.725745,31.931552,-59.165254,0.000000,1.400173,-1.460748,0.477387,1.729881,2.120783,3.73e-07
67,phi = 0,23.122345,32.645523,-59.206101,0.000000,1.400206,-1.460749,0.477387,1.731392,2.120781,1.63e-06
68,beta = 0,23.122345,32.864603,-59.218342,-99.227387,1.400215,-1.460751,0.477388,-0.000000,2.120778,4.99e-06
69,beta = 0,23.518946,33.266250,-59.240265,-99.273872,1.400232,-1.460751,0.477388,-0.000000,2.120780,2.72e-06
70,phi = 0,23.906311,33.774461,-59.267315,0.000000,1.400253,-1.460749,0.477387,1.733657,2.120783,4.80e-07
71,phi = 0,24.694975,34.999333,-59.329262,0.000000,1.400299,-1.460751,0.477388,1.735952,2.120787,3.84e-06
72,phi = 0,25.099414,35.617464,-59.358919,0.000000,1.400320,-1.460749,0.477387,1.737051,2.120782,2.98e-07
73,phi = 0,25.905449,36.629205,-59.405251,0.000000,1.400353,-1.460750,0.477388,1.738769,2.120785,1.84e-06
74,beta = 0,25.905449,36.853219,-59.415246,-99.645382,1.400360,-1.460751,0.477388,-0.000000,2.120782,5.16e-07
75,beta = 0,26.307045,36.950344,-59.419489,-99.654402,1.400363,-1.460751,0.477388,-0.000000,2.120782,7.25e-07
76,phi = 0,26.713044,37.460549,-59.441548,0.000000,1.400378,-1.460749,0.477387,1.740116,2.120783,1.21e-07
77,phi = 0,27.143775,38.282948,-59.475735,0.000000,1.400401,-1.460750,0.477387,1.741385,2.120783,2.15e-08
78,beta = 0,27.143775,38.531503,-59.485854,-99.795547,1.400408,-1.460751,0.477388,-0.000000,2.120781,1.72e-06
79,beta = 0,27.574506,38.792646,-59.496266,-99.817703,1.400415,-1.460751,0.477388,-0.000000,2.120781,1.53e-06
80,phi = 0,28.011877,39.303706,-59.516331,0.000000,1.400428,-1.460749,0.477387,1.742893,2.120783,4.85e-07
81,phi = 0,28.449248,40.096002,-59.546335,0.000000,1.400447,-1.460749,0.477387,1.744008,2.120783,2.10e-07
82,beta = 0,28.449248,40.350683,-59.555783,-99.944410,1.400453,-1.460751,0.477388,-0.000000,2.120781,1.67e-06
83,beta = 0,28.886618,40.635085,-59.566123,-99.966434,1.400459,-1.460750,0.477388,-0.000000,2.120781,1.43e-06
84,phi = 0,29.335919,41.146923,-59.584448,0.000000,1.400471,-1.460749,0.477387,1.745425,2.120783,4.63e-07
85,phi = 0,29.785219,41.966904,-59.612787,0.000000,1.400488,-1.460750,0.477387,1.746479,2.120783,6.47e-10
86,beta = 0,29.785219,42.232513,-59.621786,-100.085045,1.400494,-1.460751,0.477388,-0.000000,2.120782,1.19e-06
87,beta = 0,30.234519,42.477645,-59.629930,-100.102408,1.400499,-1.460750,0.477388,-0.000000,2.120782,1.13e-06
88,phi = 0,30.683819,42.990193,-59.646742,0.000000,1.400509,-1.460749,0.477387,1.747742,2.120783,2.46e-07
89,phi = 0,31.138203,43.882924,-59.674969,0.000000,1.400525,-1.460750,0.477387,1.748793,2.120783,3.93e-07
90,beta = 0,31.138203,44.153484,-59.683362,-100.216364,1.400530,-1.460751,0.477388,-0.000000,2.120782,6.30e-07
91,phi = 0,31.592587,44.833510,-59.703908,0.000000,1.400542,-1.460749,0.477387,1.749871,2.120783,5.66e-08
92,beta = 0,31.592587,44.320311,-59.688441,-100.227201,1.400533,-1.460750,0.477388,-0.000000,2.120782,7.08e-07
93,phi = 0,32.478401,45.801006,-59.732013,0.000000,1.400558,-1.460750,0.477387,1.750918,2.120784,7.36e-07
94,beta = 0,32.478401,46.051537,-59.739155,-100.335446,1.400562,-1.460750,0.477388,-0.000000,2.120782,3.23e-07
95,phi = 0,32.909831,46.676868,-59.756547,0.000000,1.400571,-1.460749,0.477387,1.751832,2.120783,4.92e-08
96,beta = 0,32.909831,46.163069,-59.742279,-100.342117,1.400563,-1.460750,0.477388,-0.000000,2.120782,4.24e-07
97,phi = 0,33.786799,47.623163,-59.781940,0.000000,1.400585,-1.460750,0.477387,1.752779,2.120783,5.69e-07
98,beta = 0,33.786799,47.878290,-59.788664,-100.441193,1.400588,-1.460750,0.477388,-0.000000,2.120782,3.42e-07
99,phi = 0,34.223204,48.520263,-59.805188,0.000000,1.400597,-1.460749,0.477387,1.753646,2.120783,3.41e-08
100,beta = 0,34.223204,48.005910,-59.791972,-100.448259,1.400590,-1.460750,0.477388,-0.000000,2.120782,4.28e-07
