n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.768811,1.891114,-27.537830,0.000000,1.172849,-1.452220,0.466083,0.735652,2.035319,5.96e-02
2,beta = 0,0.768811,1.908623,-27.887907,-42.714915,1.178179,-1.453238,0.466634,-0.000107,2.028826,6.61e-02
3,beta = 0,1.241382,2.390916,-35.166637,-54.573321,1.261522,-1.466435,0.475830,-0.000010,2.094743,1.89e-04
4,phi = 0,1.372805,2.646420,-37.806403,-0.000000,1.284815,-1.462251,0.474187,1.029904,2.094445,4.87e-04
5,phi = 0,2.116117,3.591998,-44.144154,0.000000,1.340472,-1.459787,0.471796,1.222264,2.092011,2.92e-03
6,beta = 0,2.116117,3.639167,-44.373553,-70.442276,1.342129,-1.460155,0.471993,-0.000027,2.089531,5.40e-03
7,beta = 0,2.470404,4.051516,-46.109742,-73.574628,1.353053,-1.461210,0.472861,-0.000027,2.094482,4.50e-04
8,phi = 0,2.806143,4.420029,-47.387373,0.000000,1.360291,-1.459973,0.472419,1.324909,2.094922,1.04e-05
9,phi = 0,3.406859,5.306457,-49.695331,0.000000,1.372963,-1.459775,0.472031,1.399997,2.094136,7.96e-04
10,beta = 0,3.406859,5.378832,-49.851795,-80.510073,1.373726,-1.459944,0.472114,-0.000012,2.093248,1.68e-03
11,beta = 0,3.803862,5.827603,-50.722889,-82.164198,1.377569,-1.460304,0.472391,-0.000010,2.094762,1.70e-04
12,phi = 0,4.000626,6.246252,-51.424708,0.000000,1.380425,-1.459807,0.472215,1.457490,2.094918,1.40e-05
13,phi = 0,4.875704,7.351169,-52.877154,0.000000,1.386034,-1.459999,0.472209,1.506651,2.095135,2.03e-04
14,beta = 0,4.875704,7.441903,-52.979415,-86.524995,1.386383,-1.460055,0.472244,-0.000002,2.094761,1.71e-04
15,beta = 0,5.108812,7.643468,-53.191089,-86.940166,1.387069,-1.460037,0.472259,-0.000006,2.094827,1.05e-04
16,phi = 0,5.341920,8.089371,-53.628176,0.000000,1.388451,-1.459807,0.472178,1.532400,2.094921,1.07e-05
17,phi = 0,6.077730,8.961354,-54.350778,0.000000,1.390664,-1.459844,0.472146,1.557395,2.094848,8.39e-05
18,beta = 0,6.077730,9.068363,-54.430775,-89.391615,1.390893,-1.459894,0.472170,-0.000003,2.094654,2.78e-04
19,beta = 0,6.329081,9.477082,-54.718003,-89.964826,1.391668,-1.459958,0.472221,-0.000001,2.094920,1.25e-05
20,phi = 0,6.806115,9.939987,-55.012228,0.000000,1.392424,-1.459824,0.472170,1.580469,2.094934,2.04e-06
21,phi = 0,7.542923,11.048485,-55.618424,0.000000,1.393921,-1.459894,0.472181,1.601782,2.095017,8.46e-05
22,beta = 0,7.542923,11.156147,-55.671688,-91.883124,1.394042,-1.459912,0.472192,-0.000001,2.094898,3.45e-05
23,beta = 0,7.804610,11.320165,-55.748765,-92.039222,1.394212,-1.459902,0.472193,-0.000001,2.094899,3.27e-05
24,phi = 0,8.072073,11.794562,-55.961995,0.000000,1.394675,-1.459828,0.472166,1.613934,2.094928,3.70e-06
