n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.772029,1.896299,-27.659198,-0.000000,1.175514,-1.454555,0.467331,0.739033,2.044007,5.79e-02
2,beta = 0,0.772029,1.913852,-28.008225,-42.907159,1.180796,-1.455577,0.467888,-0.000105,2.037510,6.44e-02
3,beta = 0,1.122126,2.388884,-35.168535,-54.575944,1.262534,-1.468442,0.476905,-0.000001,2.101924,1.50e-05
4,phi = 0,1.375540,2.644088,-37.805917,-0.000000,1.285861,-1.464229,0.475239,1.029889,2.101444,4.96e-04
5,phi = 0,2.117165,3.596741,-44.191714,0.000000,1.341995,-1.461821,0.472880,1.223747,2.099202,2.74e-03
6,beta = 0,2.117165,3.644086,-44.421556,-70.528184,1.343651,-1.462186,0.473077,-0.000027,2.096730,5.21e-03
7,beta = 0,2.473564,4.047218,-46.119102,-73.591616,1.354332,-1.463188,0.473914,-0.000027,2.101503,4.37e-04
8,phi = 0,2.809399,4.415329,-47.399891,0.000000,1.361603,-1.461937,0.473469,1.325311,2.101935,4.55e-06
9,phi = 0,3.421959,5.333781,-49.780400,0.000000,1.374659,-1.461818,0.473117,1.402800,2.101325,6.15e-04
10,beta = 0,3.421959,5.408114,-49.939791,-80.676447,1.375430,-1.461986,0.473202,-0.000011,2.100466,1.47e-03
11,beta = 0,3.821808,5.821007,-50.739098,-82.194994,1.378944,-1.462289,0.473449,-0.000008,2.101811,1.28e-04
12,phi = 0,4.017471,6.239329,-51.439172,0.000000,1.381798,-1.461783,0.473265,1.457976,2.101912,2.75e-05
13,phi = 0,4.663870,7.021709,-52.519159,0.000000,1.386096,-1.461722,0.473133,1.494457,2.101518,4.22e-04
14,beta = 0,4.663870,7.104280,-52.619764,-85.822423,1.386468,-1.461803,0.473168,-0.000005,2.101081,8.59e-04
15,beta = 0,5.110633,7.634643,-53.209457,-86.976234,1.388473,-1.462009,0.473309,-0.000006,2.101832,1.07e-04
16,phi = 0,5.347101,8.080199,-53.646765,0.000000,1.389860,-1.461780,0.473228,1.533040,2.101924,1.50e-05
17,phi = 0,6.104199,9.011568,-54.415980,0.000000,1.392211,-1.461841,0.473209,1.559661,2.101912,2.71e-05
18,beta = 0,6.104199,9.123675,-54.499094,-89.527789,1.392447,-1.461889,0.473233,-0.000002,2.101728,2.12e-04
19,beta = 0,6.364514,9.466043,-54.737374,-90.003667,1.393085,-1.461918,0.473265,-0.000002,2.101891,4.89e-05
20,phi = 0,6.839029,9.928573,-55.034181,0.000000,1.393852,-1.461793,0.473221,1.581238,2.101943,3.40e-06
21,phi = 0,7.352022,10.721006,-55.480477,0.000000,1.394977,-1.461801,0.473198,1.596918,2.101865,7.42e-05
22,beta = 0,7.352022,10.837344,-55.540966,-91.618883,1.395123,-1.461832,0.473212,-0.000002,2.101747,1.93e-04
23,beta = 0,7.872027,11.306857,-55.772058,-92.086332,1.395649,-1.461885,0.473249,-0.000000,2.101936,3.08e-06
24,phi = 0,8.129206,11.780940,-55.984678,0.000000,1.396111,-1.461802,0.473218,1.614738,2.101942,2.36e-06
25,phi = 0,8.650084,12.523703,-56.286704,0.000000,1.396756,-1.461801,0.473203,1.625468,2.101885,5.40e-05
26,beta = 0,8.650084,12.641732,-56.331577,-93.224041,1.396848,-1.461820,0.473211,-0.000001,2.101806,1.33e-04
27,beta = 0,9.200634,13.153260,-56.516411,-93.601629,1.397210,-1.461857,0.473235,-0.000000,2.101930,9.36e-06
28,phi = 0,9.489243,13.635656,-56.677227,0.000000,1.397512,-1.461806,0.473217,1.639403,2.101943,3.07e-06
29,phi = 0,10.076762,14.517571,-56.944134,0.000000,1.398002,-1.461820,0.473213,1.648968,2.101935,4.26e-06
30,beta = 0,10.076762,14.659225,-56.984352,-94.561667,1.398073,-1.461834,0.473220,-0.000000,2.101891,4.85e-05
31,beta = 0,10.375671,15.003208,-57.077835,-94.754167,1.398231,-1.461839,0.473227,-0.000001,2.101922,1.78e-05
32,phi = 0,10.658910,15.491881,-57.204164,0.000000,1.398441,-1.461806,0.473215,1.658318,2.101938,1.91e-06
33,phi = 0,11.579596,16.677439,-57.478675,0.000000,1.398880,-1.461832,0.473222,1.668223,2.101973,3.33e-05
34,beta = 0,11.579596,16.833321,-57.512488,-95.652215,1.398931,-1.461837,0.473225,-0.000000,2.101939,7.91e-07
35,beta = 0,11.898318,16.855538,-57.517118,-95.661812,1.398938,-1.461836,0.473225,-0.000000,2.101938,1.82e-06
36,phi = 0,12.217041,17.349139,-57.617982,0.000000,1.399087,-1.461810,0.473216,1.673264,2.101942,2.16e-06
37,phi = 0,12.854486,18.437825,-57.821518,0.000000,1.399379,-1.461826,0.473219,1.680645,2.101958,1.86e-05
38,beta = 0,12.854486,18.594903,-57.849293,-96.351669,1.399417,-1.461831,0.473222,-0.000000,2.101935,4.61e-06
39,beta = 0,13.173209,18.709582,-57.868849,-96.392385,1.399444,-1.461829,0.473222,-0.000000,2.101933,6.17e-06
40,phi = 0,13.493605,19.207126,-57.951632,-0.000000,1.399554,-1.461812,0.473216,1.685374,2.101941,1.85e-06
41,phi = 0,14.146164,20.218390,-58.107431,0.000000,1.399757,-1.461821,0.473217,1.691047,2.101949,9.45e-06
42,beta = 0,14.146164,20.385362,-58.131925,-96.941030,1.399788,-1.461826,0.473220,-0.000000,2.101933,6.75e-06
43,beta = 0,14.478327,20.564868,-58.157378,-96.994222,1.399820,-1.461825,0.473220,-0.000000,2.101933,6.72e-06
