n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,phi = 0,0.772049,1.896846,-27.697818,0.000000,1.176862,-1.456936,0.466258,0.740109,2.041447,5.81e-02
2,beta = 0,0.772049,1.914426,-28.047281,-42.969642,1.182160,-1.457956,0.466812,-0.000106,2.034917,6.46e-02
3,beta = 0,1.244137,2.392651,-35.242851,-54.699912,1.264455,-1.470869,0.475849,-0.000003,2.099463,6.36e-05
4,phi = 0,1.376104,2.649382,-37.888471,0.000000,1.287874,-1.466661,0.474189,1.032334,2.099033,4.93e-04
5,phi = 0,2.119384,3.601951,-44.252803,0.000000,1.343810,-1.464253,0.471834,1.225653,2.096754,2.77e-03
6,beta = 0,2.119384,3.649516,-44.483063,-70.638352,1.345471,-1.464619,0.472030,-0.000027,2.094287,5.24e-03
7,beta = 0,2.476026,4.057005,-46.192724,-73.725615,1.356234,-1.465633,0.472873,-0.000027,2.099087,4.40e-04
8,phi = 0,2.812556,4.427123,-47.473872,0.000000,1.363506,-1.464390,0.472430,1.327691,2.099520,6.33e-06
9,phi = 0,3.423395,5.339847,-49.831895,0.000000,1.376434,-1.464254,0.472073,1.404498,2.098875,6.51e-04
10,beta = 0,3.423395,5.414088,-49.990705,-80.772799,1.377203,-1.464423,0.472157,-0.000012,2.098014,1.51e-03
11,beta = 0,3.823361,5.837151,-50.806467,-82.323654,1.380792,-1.464737,0.472409,-0.000008,2.099387,1.40e-04
12,phi = 0,4.019713,6.257603,-51.507106,0.000000,1.383646,-1.464235,0.472228,1.460257,2.099501,2.52e-05
13,phi = 0,4.688552,7.043070,-52.583995,0.000000,1.387922,-1.464177,0.472099,1.496662,2.099110,4.17e-04
14,beta = 0,4.688552,7.137987,-52.698913,-85.976888,1.388347,-1.464268,0.472139,-0.000006,2.098705,8.22e-04
15,beta = 0,5.147222,7.657180,-53.273509,-87.101958,1.390299,-1.464471,0.472277,-0.000004,2.099448,7.92e-05
16,phi = 0,5.370260,8.104955,-53.709467,0.000000,1.391678,-1.464236,0.472192,1.535201,2.099513,1.36e-05
17,phi = 0,6.118854,9.040191,-54.477517,0.000000,1.394022,-1.464295,0.472173,1.561801,2.099501,2.55e-05
18,beta = 0,6.118854,9.153864,-54.561294,-89.651876,1.394259,-1.464343,0.472197,-0.000002,2.099319,2.08e-04
19,beta = 0,6.381632,9.495029,-54.797251,-90.123473,1.394891,-1.464370,0.472228,-0.000003,2.099476,5.07e-05
20,phi = 0,6.857513,9.959790,-55.093912,0.000000,1.395656,-1.464246,0.472185,1.583331,2.099530,3.20e-06
21,phi = 0,7.371727,10.762049,-55.542727,0.000000,1.396786,-1.464257,0.472163,1.599112,2.099457,6.93e-05
22,beta = 0,7.371727,10.878511,-55.602859,-91.743964,1.396930,-1.464288,0.472177,-0.000001,2.099340,1.87e-04
