n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,beta = 0,1.157456,1.993959,89.310031,89.771124,0.535754,0.465814,0.031054,-1.538668,0.174950,1.57e-04
2,phi = 0,4.358416,3.715443,99.517046,0.000000,0.558983,0.391785,0.056789,2.651972,0.180899,5.79e-03
3,beta = 0,4.358416,3.857823,99.931078,-150.770827,0.559157,0.390817,0.057245,-0.000014,0.174815,2.92e-04
4,beta = 0,5.690320,4.329913,101.053061,-147.609092,0.559516,0.390510,0.057709,-0.000033,0.175085,2.25e-05
5,phi = 0,10.734112,6.902176,104.533705,0.000000,0.562371,0.400402,0.054576,2.409601,0.175117,1.03e-05
6,phi = 0,16.449278,10.324646,106.489192,0.000000,0.564453,0.398378,0.055098,2.319273,0.175342,2.35e-04
7,beta = 0,16.449278,10.637931,106.608671,-132.572988,0.564513,0.398274,0.055156,-0.000001,0.175095,1.22e-05
8,beta = 0,17.780470,10.998846,106.730261,-132.256561,0.564567,0.398319,0.055161,-0.000005,0.175097,9.92e-06
9,phi = 0,21.996296,13.367218,107.382973,0.000000,0.564895,0.399152,0.054885,2.278806,0.175112,4.85e-06
10,phi = 0,28.155792,16.869876,108.012759,0.000000,0.565225,0.398792,0.054983,2.250602,0.175159,5.22e-05
11,beta = 0,28.155792,17.255090,108.067766,-128.809582,0.565244,0.398764,0.054999,-0.000000,0.175105,1.91e-06
12,beta = 0,29.863504,17.521816,108.102472,-128.721069,0.565255,0.398778,0.054998,-0.000001,0.175104,2.78e-06
13,phi = 0,33.278929,19.832353,108.371374,0.000000,0.565348,0.399003,0.054922,2.234657,0.175109,1.60e-06
14,phi = 0,38.408326,22.524954,108.615426,0.000000,0.565437,0.398917,0.054939,2.223854,0.175118,1.13e-05
15,beta = 0,38.408326,22.927036,108.647244,-127.336933,0.565447,0.398890,0.054951,-0.000000,0.175098,8.66e-06
16,beta = 0,40.191909,24.015851,108.727387,-127.134237,0.565468,0.398870,0.054964,-0.000000,0.175107,5.59e-07
17,phi = 0,46.020366,26.299279,108.873733,0.000000,0.565506,0.398968,0.054931,2.212462,0.175107,1.75e-08
