n, event_type, t, r, theta, phi,pr, ptheta, pphi, beta, E, dE
1,ptheta = 0,1.486727,1.571500,81.878026,95.696550,0.047420,0.000000,0.048074,-1.051586,-0.009258,1.31e-04
2,pr = 0,2.188382,1.592815,80.990751,126.033558,0.000000,-0.083557,0.073455,-0.477581,-0.009598,4.71e-04
3,beta = 0,2.539861,1.582398,79.778011,149.947780,-0.040710,-0.109776,0.079088,0.000027,-0.009496,3.69e-04
4,phi = 0,3.209323,1.546209,78.332239,0.000000,-0.085804,-0.103331,0.072354,-2.546283,0.071644,8.08e-02
5,beta = 0,3.209323,1.557828,78.667828,146.827149,-0.075359,-0.109109,0.075498,0.000010,-0.012776,3.65e-03
6,ptheta = 0,4.163277,1.413722,76.660513,-152.251355,-0.156196,0.000000,0.027360,-5.123238,-0.009429,3.02e-04
7,pphi = 0,4.712441,1.341725,77.125608,-148.944895,-0.179598,0.068447,0.000000,-5.087711,-0.009683,5.57e-04
8,phi = 0,5.825931,1.055605,85.820966,0.000000,-0.351890,0.270658,-0.082476,-2.923547,0.268230,2.77e-01
9,beta = 0,5.825931,1.028629,86.895093,170.704054,-0.377300,0.276175,-0.085102,0.000011,-0.010374,1.25e-03
10,collision,6.122550,1.000000,88.022840,174.247390,-0.406420,0.276979,-0.085894,0.003040,-0.009127,5.64e-13
11,beta = 0,6.124756,1.000731,88.051407,174.158718,0.405657,0.276949,-0.085895,0.000000,-0.009127,8.82e-08
12,beta = 0,6.298519,1.022427,88.901949,171.452221,0.383477,0.274976,-0.085468,-0.091707,-0.009152,2.52e-05
13,pphi = 0,7.532735,1.350229,98.390580,136.146952,0.176988,0.040885,0.000000,5.084500,-0.009270,1.43e-04
14,ptheta = 0,7.787134,1.391506,98.536343,137.252105,0.164137,0.000000,0.015053,5.096467,-0.009329,2.02e-04
15,phi = 0,9.267441,1.560871,95.665591,0.000000,0.081729,-0.140802,0.068978,2.846840,0.073744,8.29e-02
16,beta = 0,9.267441,1.572951,95.171103,-164.570024,0.070920,-0.146680,0.071561,-0.000008,-0.010877,1.75e-03
17,beta = 0,9.591505,1.591090,94.125915,-167.665410,0.048267,-0.148760,0.073292,-0.000014,-0.009304,1.77e-04
18,pr = 0,10.577803,1.607901,91.901124,-138.389892,0.000000,-0.117126,0.064145,0.626764,-0.009300,1.73e-04
19,ptheta = 0,11.767493,1.577688,90.310831,-108.054977,-0.045944,0.000000,0.025516,1.239403,-0.009499,3.72e-04
20,pphi = 0,12.197417,1.545238,90.877142,-103.702799,-0.060008,0.076728,0.000000,1.285717,-0.009675,5.48e-04
21,beta = 0,14.053912,1.352647,101.356916,-146.776428,-0.173886,0.296412,-0.066776,-0.000331,-0.009730,6.03e-04
